College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Citrus,CCC000408390,ART103      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000527702,BUS170      ,050640,D,03.00,03.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000599184,BUS171      ,050100,D,03.00,03.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000613517,KIN141      ,083570,D,01.00,01.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000554280,KIN144      ,083570,D,01.00,01.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000608617,NRS101      ,123030,D,05.00,05.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000621389,AJ108       ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20250705
Citrus,CCC000385696,AJ135       ,210510,D,03.00,03.00,N,C,Y,Y,Y,,,20250705
Citrus,CCC000574903,AJ136       ,210510,D,03.00,03.00,N,C,Y,Y,Y,,,20250705
Citrus,CCC000567904,BIOL125     ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20250705
Citrus,CCC000648516,BIOT160     ,043000,D,02.00,02.00,N,C,Y,Y,B,,,20250705
Citrus,CCC000567903,CHEM111     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20250705
Citrus,CCC000598581,CHLD121     ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20250705
Citrus,CCC000598582,CHLD123     ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20250705
Citrus,CCC000650483,HUM102H     ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000386952,HUM111      ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000650484,HUM166      ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000650485,HUM169      ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000460201,KIN169      ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000650489,KINC222     ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000650458,MATH189     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000582769,MUSP256     ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000621732,MUSP258     ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000650490,PHIL108H    ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000399285,PHIL109     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Citrus,CCC000403537,SPAN141     ,110500,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
Citrus,CCC000407838,SPAN201     ,110500,D,05.00,05.00,N,E,Y,Y,Y,,,20250613
Citrus,CCC000396415,REAL212     ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20221222
Citrus,CCC000396429,ART 180     ,100220,D,03.00,02.00,N,E,Y,Y,Y,,,20070919
Citrus,CCC000396458,ENGL294     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20201127
Citrus,CCC000396508,SPAN 101    ,110500,D,05.00,04.00,N,E,Y,Y,Y,,,20070919
Citrus,CCC000396552,NC  301     ,493087,N,00.00,00.00,B,E,B,A,Y,54,54,20160120
Citrus,CCC000396560,PUB162      ,210210,D,03.00,03.00,N,C,Y,Y,Y,,,20210116
Citrus,CCC000396595,CS111       ,070710,D,04.00,04.00,N,D,Y,Y,Y,,,20221218
Citrus,CCC000396604,OFF 261     ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Citrus,CCC000396631,MUSP 291    ,100500,D,02.00,02.00,N,C,Y,Y,Y,,,20140204
Citrus,CCC000396641,NRS 161L    ,123020,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Citrus,CCC000396661,BUS 151     ,050100,D,03.00,03.00,N,D,Y,Y,Y,,,20070919
Citrus,CCC000396712,THEA 220    ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Citrus,CCC000579429,COS221      ,300700,D,01.50,01.50,N,C,Y,Y,Y,,,20251212
Citrus,CCC000384807,ENGLC1002   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20251212
Citrus,CCC000459620,ESCI121     ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20251212
Citrus,CCC000648689,UAS100      ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20250709
Citrus,CCC000648690,UAS110      ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20250709
Citrus,CCC000581280,KIN177      ,083500,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Citrus,CCC000408499,KINC224     ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20251214
Citrus,CCC000550569,KINC225     ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20251214
Citrus,CCC000399790,CHLD191     ,130500,D,03.00,03.00,N,B,Y,Y,Y,,,20250925
Citrus,CCC000621403,CM121       ,095700,D,02.00,02.00,N,C,Y,Y,B,,,20250925
Citrus,CCC000562552,REC215      ,100500,D,04.00,04.00,N,C,Y,Y,Y,,,20250925
Citrus,CCC000550198,KINC232     ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20251213
Citrus,CCC000550199,KINC233     ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20251213
Citrus,CCC000550197,KINC234     ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20251213
Citrus,CCC000550706,KINC235     ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20251213
Citrus,CCC000631533,COUN125     ,493013,D,02.00,02.00,N,E,Y,Y,Y,,,20220527
Citrus,CCC000631636,COS151      ,300700,D,02.50,02.50,N,C,Y,Y,Y,,,20220527
Citrus,CCC000631637,COUN142     ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20220527
Citrus,CCC000608614,HUM125      ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000553896,HUM127      ,499900,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000421708,KINC212     ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20251220
Citrus,CCC000387109,KINC213     ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20251220
Citrus,CCC000612395,CM295       ,095700,D,03.00,03.00,N,B,Y,Y,B,,,20250702
Citrus,CCC000529208,SPAN130     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250613
Citrus,CCC000527703,BUS175      ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000561417,COMM200     ,060100,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000426009,COMMC1004   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000648688,COS185      ,300700,D,09.00,09.00,N,C,Y,Y,Y,,,20260123
Citrus,CCC000612585,COUN110     ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000642524,COUN130     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000621466,COUN158     ,493013,D,02.00,02.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000612401,COUN203     ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000612402,COUN207     ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000612403,COUN208     ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000620263,COUN212     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000386201,ECONC2001   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000420966,ECONC2002   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000562423,ENGL213     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000562422,ENGL213H    ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
Citrus,CCC000617605,GEOG130     ,220600,D,03.00,03.00,N,E,Y,Y,Y,,,20260123
