College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Coalinga College,CCC000109856,PSYTEC-16   ,123900,D,17.00,17.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000109926,PE-30       ,083500,C,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000110393,ART-30A     ,100200,D,02.00,00.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000110710,PE-7A       ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000110893,IT-72       ,095230,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000111007,HRCM-62B    ,130730,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000111182,PE-30.1     ,083500,C,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000171281,MATH010A    ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20220312
Coalinga College,CCC000224314,ART-1A      ,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000271154,ART-17      ,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000271523,MUS-1B      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000271647,CIS-16      ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000312451,PE-57       ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000312837,CRPSCI-61   ,010300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000313078,CIS-14      ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000039390,PE-12A      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000039580,AOJ-50      ,210550,C,04.00,00.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000040397,POLSCI-31B  ,220710,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000047572,PE-31C      ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000047841,PE-7D       ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000048033,WT-49       ,095600,D,02.00,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000048290,ART-30D     ,100200,D,02.00,00.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000048629,CRPSCI-16C  ,010300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000049715,PE-16A      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000152964,SPAN001     ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20210307
Coalinga College,CCC000153190,AOJ001      ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20241108
Coalinga College,CCC000153193,PHIL001     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20230705
Coalinga College,CCC000153465,BUSRE-40    ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000160100,PA-30.3     ,100700,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000160394,WT-53       ,095650,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Coalinga College,CCC000167026,JOURN-3C    ,060200,D,02.00,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000167168,GEOG-2B     ,220600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000175234,EQSCI-2     ,010240,D,01.50,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000175772,CIS-82C     ,070210,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000181769,AGMEC-56B   ,011600,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000182372,DT-82       ,094700,D,06.00,04.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000189022,MUS-2A      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000194885,CRPSCI-11   ,010300,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000195192,IT-71       ,095200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000195279,HRCM-62A    ,130700,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000201675,EQSCI-30.1  ,010240,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000202295,ART-52      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000202415,CIS-10A     ,070100,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000212123,PE-42       ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000212364,ASCI-21     ,010200,D,03.00,02.00,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000212502,ART005B     ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20230216
Coalinga College,CCC000212539,PE-29B      ,083550,D,02.00,00.00,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000218131,ASCI-59     ,010200,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000218395,PE-23A      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Coalinga College,CCC000225372,ART049      ,100200,D,02.00,01.00,N,E,Y,Y,Y,,,20180728
Coalinga College,CCC000225614,GEOL003     ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20220820
Coalinga College,CCC000225996,DT-78       ,094700,D,04.00,04.00,N,B,Y,Y,Y,,,20070917
Coalinga College,CCC000226017,AOJ-56      ,210550,D,23.50,18.50,N,C,Y,Y,Y,,,20070917
Coalinga College,CCC000226160,ASCI-6A     ,010240,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Coalinga College,CCC000231491,PE019       ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20210627
Coalinga College,CCC000231733,PHYSICS002B ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20230216
