College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Coastline,CCC000004183,CS C161     ,070210,D,02.00,02.00,N,D,Y,Y,Y,,,20080428
Coastline,CCC000004308,OAC C124P   ,051420,D,03.00,01.50,N,C,Y,Y,Y,,,20080428
Coastline,CCC000004440,IA C130     ,083900,D,02.00,02.00,N,E,Y,Y,Y,,,20080428
Coastline,CCC000005599,COMP C176L  ,070210,C,00.00,00.00,N,B,Y,Y,Y,,,20110108
Coastline,CCC000005723,CST C180    ,070900,D,01.50,01.50,N,B,Y,Y,Y,,,20080428
Coastline,CCC000005785,PE C112     ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20080428
Coastline,CCC000005796,ENGL C016P  ,152000,C,01.00,01.00,B,E,Y,Y,Y,,,20100401
Coastline,CCC000005860,ACCT C169   ,050200,D,01.00,01.00,N,C,Y,Y,Y,,,20080428
Coastline,CCC000005883,DTCH C101   ,070210,D,01.50,01.50,N,C,Y,Y,Y,,,20080428
Coastline,CCC000006053,SPANC280A   ,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20220818
Coastline,CCC000006062,ARTC205     ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20200124
Coastline,CCC000006593,ARTC222B    ,100210,D,01.50,01.50,N,E,Y,Y,Y,,,20220604
Coastline,CCC000006834,CST C141    ,070810,D,03.00,03.00,N,B,Y,Y,Y,,,20110107
Coastline,CCC000006952,BCTC284     ,095720,D,04.00,04.00,N,C,Y,Y,Y,,,20210530
Coastline,CCC000007409,COMP C111L  ,070210,C,00.00,00.00,N,C,Y,Y,Y,,,20110108
Coastline,CCC000007640,MS C120     ,050630,D,03.00,03.00,N,B,Y,Y,Y,,,20080428
Coastline,CCC000007660,TRVL C384   ,300900,D,04.00,04.00,N,D,Y,Y,Y,,,20080428
Coastline,CCC000014232,IBUS C130P  ,050800,D,02.00,02.00,N,B,Y,Y,Y,,,20080428
Coastline,CCC000014459,ART C111B   ,100200,D,01.50,01.50,N,E,Y,Y,Y,,,20080428
