College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Columbia,CCC000018212,OFTEC141    ,051400,D,03.00,03.00,N,B,Y,Y,Y,,,20190713
Columbia,CCC000018492,CAUTO-34    ,094800,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Columbia,CCC000019105,CRLEST-5    ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Columbia,CCC000019352,BUSAD-199   ,050100,D,02.00,02.00,N,C,Y,Y,Y,,,20170110
Columbia,CCC000026507,CEMS-3      ,125000,D,06.00,06.00,N,C,Y,Y,Y,,,20070917
Columbia,CCC000026637,CJRNAL-98   ,060200,D,03.00,01.00,N,E,Y,Y,Y,,,20090206
Columbia,CCC000028573,CART-400    ,100100,N,00.00,00.00,N,D,Y,I,Y,,,20070917
Columbia,CCC000029314,CBIOL-99    ,040100,D,03.00,01.00,N,E,Y,Y,Y,,,20160706
Columbia,CCC000030027,CHPMGT-140A ,130600,D,03.50,03.50,N,C,Y,Y,Y,,,20070917
Columbia,CCC000030034,CMUSIC-400  ,100400,N,00.00,00.00,N,D,Y,I,Y,,,20070917
Columbia,CCC000592540,ART43       ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000532590,CHEM4A      ,190500,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000634375,CHEM4AL     ,190500,D,02.00,02.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000156454,COMM5       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000636560,COMP340     ,070200,N,00.00,00.00,N,C,Y,I,Y,,,20250717
Columbia,CCC000636563,COMP350     ,070200,N,00.00,00.00,N,C,Y,I,Y,,,20250717
Columbia,CCC000069661,ESC10       ,193000,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000551897,ESC23       ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000446361,ESC33       ,193000,D,04.00,04.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000160014,ESC5        ,193000,D,04.00,04.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000157451,FIRE50      ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20250717
Columbia,CCC000580560,FNR97       ,011500,D,04.00,01.00,N,C,Y,Y,Y,,,20250717
Columbia,CCC000640385,GEOGR15L    ,220600,D,01.00,01.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000186335,HHP18A      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000333962,HHP18B      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000552689,HHP76       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000581248,HHP82       ,083550,D,01.50,01.50,N,E,Y,Y,Y,,,20250717
Columbia,CCC000581251,HHP86       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Columbia,CCC000654922,CHILD17     ,130580,D,03.00,03.00,N,C,Y,Y,Y,,,20251114
Columbia,CCC000654923,CHILD30     ,130580,D,03.00,03.00,N,C,Y,Y,Y,,,20251114
Columbia,CCC000654924,CHILD31     ,130580,D,03.00,03.00,N,C,Y,Y,Y,,,20251114
Columbia,CCC000561748,EDUC11      ,080100,D,03.00,03.00,N,E,Y,Y,Y,,,20251114
Columbia,CCC000218898,EDUC12      ,080100,D,03.00,03.00,N,E,Y,Y,Y,,,20251114
