College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Cosumnes River,CCC000633004,KINES498    ,083500,D,04.00,00.50,N,E,Y,Y,Y,,,20250704
Cosumnes River,CCC000632964,MGMT498     ,050600,D,04.00,00.50,N,C,Y,Y,Y,,,20250704
Cosumnes River,CCC000103035,MATH295     ,170100,D,03.00,01.00,N,E,A,Y,Y,,,20250711
Cosumnes River,CCC000457492,MUFHL495    ,100400,D,03.00,01.00,N,E,Y,Y,Y,,,20250711
Cosumnes River,CCC000457493,MUP495      ,100400,D,03.00,01.00,N,E,Y,Y,Y,,,20250711
Cosumnes River,CCC000164463,POLS495     ,220700,D,03.00,01.00,N,E,Y,Y,Y,,,20250711
Cosumnes River,CCC000305646,PSYC495     ,200100,D,03.00,01.00,N,E,Y,Y,Y,,,20250711
Cosumnes River,CCC000161928,SGVT495     ,220710,D,03.00,01.00,N,E,Y,Y,Y,,,20250711
Cosumnes River,CCC000658931,MEDA140     ,120800,D,03.50,03.50,N,B,Y,Y,Y,,,20260307
Cosumnes River,CCC000109980,ENVT3069020 ,030300,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000110347,BUS025B3282 ,050100,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000170844,CISP456743  ,070100,D,04.00,03.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000170849,MUFHL315    ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20231202
Cosumnes River,CCC000171781,HORT49878440,010900,D,04.00,01.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000171952,PER0018636  ,083500,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000224272,ESL2104390  ,493086,C,06.00,01.33,B,E,B,Y,Y,,,20191019
Cosumnes River,CCC000224275,HCD34211156 ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000224324,MUIVI320    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20231202
Cosumnes River,CCC000224697,MUFHL311    ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20231202
Cosumnes River,CCC000224792,ECE331      ,130590,D,03.00,03.00,N,C,Y,Y,Y,,,20231109
Cosumnes River,CCC000224808,PAC32010253 ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000225186,MUSM49975   ,100400,D,04.00,00.50,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000271193,ESL310112190,493085,D,04.00,04.00,N,E,B,Y,Y,,,20191019
Cosumnes River,CCC000271206,ESL220L4404 ,493086,C,06.00,02.00,B,E,C,Y,Y,,,20191019
Cosumnes River,CCC000271393,GEOG306     ,220600,D,03.00,03.00,N,E,Y,Y,Y,,,20231116
Cosumnes River,CCC000271458,CIS30824617 ,070210,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000271619,FT302       ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20231116
Cosumnes River,CCC000271761,JOUR300     ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20221104
Cosumnes River,CCC000271856,CJ10001606  ,210500,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
Cosumnes River,CCC000271927,SOCSC49989  ,220100,D,04.00,00.50,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000271932,PER0018090  ,083500,D,03.00,01.50,N,E,Y,Y,Y,,,20191019
Cosumnes River,CCC000271954,IDES3807500 ,130200,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
Cosumnes River,CCC000312368,E340111149  ,030300,D,01.50,01.50,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000312383,ENGLC1000   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20241127
Cosumnes River,CCC000312437,JOUR4003721 ,060200,D,03.00,02.00,N,C,Y,Y,Y,,,20191019
Cosumnes River,CCC000312470,MATH30      ,170100,C,05.00,05.00,B,E,C,Y,Y,,,20241204
