College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Cypress,CCC000008142,COUN199ABCD ,493010,D,02.00,00.50,N,D,Y,Y,Y,,,20070917
Cypress,CCC000008145,COUN 199ABCD,493010,D,02.00,00.50,N,E,Y,Y,Y,,,20070917
Cypress,CCC000008148,COUN199 C   ,493010,D,02.00,00.50,N,D,Y,Y,Y,,,20070917
Cypress,CCC000008483,PE173 C     ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Cypress,CCC000008802,DH109 C     ,124020,D,04.50,04.50,N,C,Y,Y,Y,,,20131009
Cypress,CCC000657975,DH301C      ,124020,D,02.00,02.00,N,B,Y,Y,Y,,,20260126
Cypress,CCC000657976,JAPN210C    ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20260126
Cypress,CCC000657978,MORT214C    ,125500,D,03.00,03.00,N,B,Y,Y,Y,,,20260126
Cypress,CCC000657769,ASL203C     ,085000,D,04.00,04.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657770,ASL204C     ,085000,D,04.00,04.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657771,ASL206C     ,085000,D,03.00,03.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657772,CHIN125C    ,110700,D,03.00,03.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657773,CIS167C     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Cypress,CCC000657774,CIS267C     ,070200,C,03.00,03.00,N,C,Y,Y,Y,,,20260124
Cypress,CCC000657775,ETHS201C    ,220160,D,03.00,03.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657776,GEOL113C    ,191400,D,01.00,01.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657777,HRC130C     ,130600,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Cypress,CCC000657778,JAPN115C    ,110800,D,02.00,02.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000657779,JAPN205C    ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20260124
Cypress,CCC000619081,JAPN101C    ,110800,D,05.00,05.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000294989,JAPN102C    ,110800,D,05.00,05.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000291869,JAPN200C    ,110800,D,02.00,02.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000270592,JAPN203C    ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000188904,JAPN204C    ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000416381,JOUR110C    ,060200,D,03.00,03.00,N,C,Y,Y,Y,,,20250709
Cypress,CCC000549635,KIN109C     ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20250709
Cypress,CCC000634847,KIN156AC    ,083520,D,01.00,01.00,N,C,Y,Y,Y,,,20250709
Cypress,CCC000634848,KIN156BC    ,083520,D,01.00,01.00,N,C,Y,Y,Y,,,20250709
Cypress,CCC000634849,KIN156CC    ,083520,D,01.00,01.00,N,C,Y,Y,Y,,,20250709
