College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
East LA,CCC000653663,ENGTEK220   ,095600,D,03.00,03.00,N,C,Y,Y,Y,,,20250904
East LA,CCC000653664,FAMCS088    ,130110,D,03.00,03.00,N,C,Y,Y,Y,,,20250904
East LA,CCC000653665,KINATH509   ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20250904
East LA,CCC000649720,ESLNC067CE  ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250131
East LA,CCC000649721,ESLNC068CE  ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250131
East LA,CCC000649722,ESLNC069CE  ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250131
East LA,CCC000646543,READING098  ,152000,C,03.00,03.00,B,E,A,Y,Y,,,20250131
East LA,CCC000648201,ALDHTH056   ,120100,D,01.00,01.00,N,C,Y,Y,Y,,,20250709
East LA,CCC000648207,ASL005      ,085010,D,03.00,03.00,N,B,Y,Y,Y,,,20250709
East LA,CCC000648208,ASL023      ,085010,D,01.00,01.00,N,B,Y,Y,Y,,,20250709
East LA,CCC000648209,ASL025      ,085010,D,02.00,02.00,N,C,Y,Y,Y,,,20250709
East LA,CCC000648210,ASL040      ,085010,D,03.00,03.00,N,C,Y,Y,Y,,,20250709
East LA,CCC000649430,MATHNC105NCE,170100,N,00.00,00.00,B,E,B,C,Y,,,20250117
East LA,CCC000526912,MUSIC721    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20260114
East LA,CCC000603396,MUSIC775    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20260114
East LA,CCC000549121,EET120      ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20251105
East LA,CCC000596633,ELECTRN130  ,093410,D,04.00,04.00,N,B,Y,Y,Y,,,20251105
