College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Feather River,CCC000005585,HES214      ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000005596,NURS125     ,126000,D,03.50,03.50,N,C,Y,Y,Y,,,20191019
Feather River,CCC000005965,PE188AD     ,083510,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000006265,MUS097AD    ,100400,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000006334,PSY202      ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000006394,COLL120     ,493013,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000006953,PE102AD     ,083510,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000013846,PE C341AD   ,083500,C,03.00,01.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000014139,FRN102      ,110200,D,04.00,04.00,N,E,Y,Y,Y,,,20220625
Feather River,CCC000014145,HES238      ,083550,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000014214,WILD051     ,011500,C,02.00,02.00,N,D,Y,Y,Y,,,20070917
Feather River,CCC000014614,FACS197.15  ,130600,D,03.50,03.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000015045,ECE097.6    ,130500,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000648810,AG291       ,019900,D,05.00,00.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000647357,AGAB364     ,010100,D,03.00,03.00,N,B,Y,Y,Y,,,20250821
Feather River,CCC000643973,AGAB410     ,010100,D,03.00,03.00,N,B,Y,Y,Y,,,20250821
Feather River,CCC000652302,AGAS130     ,010200,D,02.00,02.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000652303,AGAS131     ,010200,D,02.00,02.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000655759,AGAB112     ,011200,D,03.00,03.00,N,D,Y,Y,Y,,,20251213
Feather River,CCC000655760,ENVR039     ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20251213
Feather River,CCC000655761,ENVR041     ,213310,D,01.00,01.00,N,C,Y,Y,Y,,,20251213
Feather River,CCC000655762,ENVR042     ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20251213
Feather River,CCC000655763,ENVR106     ,011400,D,01.00,01.00,N,D,Y,Y,Y,,,20251213
Feather River,CCC000655847,NURS124     ,123020,D,03.00,03.00,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655892,NURS126     ,123020,D,03.50,03.50,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655893,NURS202     ,123020,D,03.00,03.00,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655895,NURS212     ,123020,D,03.50,03.50,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655897,NURS216     ,123020,D,02.00,02.00,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655898,NURS222     ,123020,D,03.50,03.50,N,C,Y,Y,Y,,,20251217
Feather River,CCC000655899,NURS224     ,123020,D,03.50,03.50,N,C,Y,Y,Y,,,20251217
Feather River,CCC000035702,NURS120     ,123020,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Feather River,CCC000044435,GEOL110     ,191400,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000045563,FACS197.22  ,130600,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000054022,PE197AD.20  ,083550,D,02.00,01.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000054515,ECE097.1AD  ,130500,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000063343,LSKL440     ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Feather River,CCC000063507,MUS197.3AD  ,100400,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000063548,ENGL260     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000064365,OCT291AD    ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000072433,HIST197.2   ,220500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000079751,ENGL371     ,150600,C,01.00,00.50,N,E,Y,Y,Y,,,20100609
Feather River,CCC000080042,LSKL300     ,493032,C,00.50,00.50,B,E,Y,Y,Y,,,20070917
Feather River,CCC000080700,COMMC1000   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20241204
Feather River,CCC000088052,COLL150AD   ,220710,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000088387,PSY697      ,493031,N,00.00,00.00,B,D,Y,E,Y,0,0,20160120
Feather River,CCC000088501,ADMJ197.1   ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000088619,WILD162     ,011500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000088723,HIST150     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000088799,BIOL142     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000088894,THEA197AD   ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000089001,BUS100      ,050100,D,03.00,03.00,N,C,Y,Y,Y,,,20230107
Feather River,CCC000089113,FACS197.2   ,130600,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000096573,PE185AD     ,083510,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000097230,HON276      ,011510,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000097831,ART097.1    ,101100,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000104782,CT103       ,095210,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000105180,PE C333AD   ,083500,C,06.00,01.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000105494,RECLE106    ,011510,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000106250,WRT010      ,011500,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000008603,ADMJ206     ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Feather River,CCC000009932,HIST197.1   ,220500,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000259959,ORL180      ,011510,D,02.00,02.00,N,C,Y,Y,Y,,,20260123
Feather River,CCC000527751,HIST111     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20260306
Feather River,CCC000020600,MUS150AD    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000021171,BUS086      ,050600,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000021194,ENGL405     ,493090,N,00.00,00.00,B,E,Y,B,Y,0,0,20160120
Feather River,CCC000030582,ENGL228     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Feather River,CCC000571644,AGAS308     ,010240,D,02.00,02.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648811,AGAS313     ,010200,D,03.00,03.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648812,AGAS350     ,010200,D,03.00,03.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648813,AGAS421     ,010240,D,03.00,03.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000652364,AGEQ015     ,010200,D,02.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000330537,AGEQ106     ,010200,D,02.00,02.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000541715,AGEQ115     ,010240,D,03.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000547768,AGEQ116     ,010240,D,03.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000547767,AGEQ117     ,010240,D,03.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000547766,AGEQ118     ,010240,D,03.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000441412,AGEQ140     ,010200,D,02.00,02.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000652304,AGEQ165     ,010200,D,10.00,10.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000555749,AGEQ216     ,010240,D,01.00,01.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000555809,AGEQ217     ,010240,D,01.00,01.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648866,AGEQ280     ,010200,D,04.00,01.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648814,AGEQ281     ,010200,D,04.00,01.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000648815,AGMA404     ,011200,D,03.00,03.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000335548,BIOL110     ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250821
Feather River,CCC000651497,CWEE180     ,011500,D,06.00,00.50,N,C,Y,Y,Y,,,20250821
Feather River,CCC000651500,ENVR199     ,011500,D,03.00,00.50,N,D,Y,Y,Y,,,20250821
Feather River,CCC000651501,ENVR231     ,011500,D,02.00,01.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000651502,ENVR232     ,011500,D,02.00,01.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000651503,ENVR233     ,011500,D,02.00,01.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000651504,ENVR234     ,011500,D,02.00,01.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000648819,ENVR250     ,011520,D,03.00,03.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000651505,ENVR499     ,011500,D,03.00,00.50,N,D,Y,Y,Y,,,20250821
Feather River,CCC000643977,HIST400     ,220500,D,03.00,03.00,N,D,Y,Y,Y,,,20250821
Feather River,CCC000652797,ORL154      ,011510,D,01.00,01.00,N,C,Y,Y,Y,,,20250821
Feather River,CCC000517624,HES001      ,083510,N,00.00,00.00,N,E,Y,D,Y,,,20251211
Feather River,CCC000517625,HES002      ,083510,N,00.00,00.00,N,E,Y,D,Y,,,20251211
Feather River,CCC000293528,ART100      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20260307
Feather River,CCC000657243,ECONC2001   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260116
Feather River,CCC000657242,ECONC2002   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260116
Feather River,CCC000039170,ADMJ070AD   ,210550,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Feather River,CCC000039473,BIOL263     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000524480,NURS111     ,123020,D,03.00,03.00,N,B,Y,Y,Y,,,20260125
Feather River,CCC000656210,NURS214     ,123020,D,03.00,03.00,N,C,Y,Y,Y,,,20260125
Feather River,CCC000046170,ART120      ,100210,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000046223,ART107      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20221218
Feather River,CCC000046446,RECLE322AD  ,011510,C,01.00,01.00,N,D,Y,Y,Y,,,20070917
Feather River,CCC000046578,BIOL050     ,040100,C,02.00,02.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000047002,PE297AD.22  ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000047827,MATH394ABC  ,170100,C,01.00,01.00,B,E,C,Y,Y,,,20100623
Feather River,CCC000047969,BIOL062     ,040100,C,04.00,04.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000048237,ART132      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20221218
Feather River,CCC000048417,ENGLC1000   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20241204
Feather River,CCC000049251,ECE074      ,130500,C,01.00,01.00,N,D,Y,Y,Y,,,20070917
Feather River,CCC000160247,CT130       ,095210,D,04.00,03.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000166979,ENGL097.4   ,150100,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000167394,ENGL372     ,150600,C,01.00,00.50,N,E,Y,Y,Y,,,20100609
Feather River,CCC000167596,AOM019      ,051420,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000002409,ENVR197.1   ,011500,D,03.00,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000003649,NR120       ,011500,D,04.00,04.00,N,D,Y,Y,Y,,,20070917
Feather River,CCC000012340,PE097AD     ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Feather River,CCC000012407,ECE154      ,130500,D,03.00,03.00,N,B,Y,Y,Y,,,20240218
Feather River,CCC000012524,PHSC100     ,190100,D,04.00,04.00,N,E,Y,Y,Y,,,20120731
Feather River,CCC000013274,ECE166      ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Feather River,CCC000168726,HUMN100     ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20250427
Feather River,CCC000648714,ECE001      ,130500,N,00.00,00.00,N,C,Y,I,Y,,,20250110
Feather River,CCC000015690,NURS223     ,126000,D,02.00,02.00,N,B,Y,Y,Y,,,20191019
Feather River,CCC000016137,ORL170      ,011510,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Feather River,CCC000016225,PE126AD     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Feather River,CCC000024381,THEA106     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20220625
