College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Folsom Lake,CCC000000302,CME30522304 ,061210,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Folsom Lake,CCC000000622,CIS31121806 ,070210,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Folsom Lake,CCC000010395,PHIL495     ,150900,D,03.00,01.00,N,E,Y,Y,Y,,,20220904
Folsom Lake,CCC000010872,ECE321      ,130540,D,04.00,04.00,N,B,Y,Y,Y,,,20230927
Folsom Lake,CCC000011435,PHIL350     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20240106
Folsom Lake,CCC000011486,HIST308     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20220903
Folsom Lake,CCC000011849,MUFHL330    ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20220904
Folsom Lake,CCC000648956,CISD351     ,070700,D,04.00,04.00,N,D,Y,Y,Y,,,20250118
Folsom Lake,CCC000648957,CISD355     ,070200,D,04.00,04.00,N,C,Y,Y,Y,,,20250118
Folsom Lake,CCC000648958,DANCE327    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250118
Folsom Lake,CCC000648959,DANCE328    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250118
Folsom Lake,CCC000648960,EMT105      ,125000,D,02.00,02.00,N,C,Y,Y,Y,,,20250118
Folsom Lake,CCC000626737,ETHNS300    ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Folsom Lake,CCC000649029,ETHNS495    ,220300,D,03.00,01.00,N,E,Y,Y,Y,,,20250118
Folsom Lake,CCC000356441,FITNS324    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250118
Folsom Lake,CCC000648896,FT100       ,213350,D,02.50,02.50,N,C,Y,Y,Y,,,20250118
Folsom Lake,CCC000602584,TAFILM360   ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000551505,TAP300      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000551504,TAP301      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000551503,TAP302      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000552657,TAP310      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000552715,TAP311      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000552716,TAP312      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000552656,TAP313      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000552655,TAP320      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000552654,TAP321      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000553289,TAP322      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000548776,TAP323      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000574089,TAP330      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000551508,TAP331      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000577330,TAP332      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000554201,TAP333      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000550248,TAP340      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000554200,TAP341      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000554320,TAP342      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000554319,TAP343      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000554645,TAP350      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000554454,TAP351      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000554644,TAP352      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000552522,TAP353      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000553912,TAP360      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000552658,TAP361      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000554545,TAP362      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000555100,TAP363      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000555543,TAP370      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000555284,TAP371      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000554318,TAP372      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000555285,TAP373      ,100600,D,03.00,01.00,N,C,Y,Y,Y,,,20250312
Folsom Lake,CCC000583120,TAP380      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000583119,TAP381      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250312
Folsom Lake,CCC000651044,ASTR320     ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20250316
Folsom Lake,CCC000591623,ENGWR33     ,150100,C,02.00,02.00,B,E,A,Y,Y,,,20250316
Folsom Lake,CCC000651058,FIRE299     ,213300,C,04.00,00.50,N,D,Y,Y,Y,,,20250316
Folsom Lake,CCC000651059,FIRE499     ,213300,C,04.00,00.50,N,D,Y,Y,Y,,,20250316
