College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Fullerton,CCC000004294,IDES 142 F  ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000004710,LIB100HF    ,160100,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Fullerton,CCC000004880,CDES173 F   ,130500,D,03.00,03.00,N,E,Y,Y,Y,,,20080718
Fullerton,CCC000005618,OFF  46/ISP ,051400,D,02.00,00.50,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000005851,THEA 144AB  ,100700,D,03.00,02.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000006499,PLEG090EF   ,140200,D,01.50,01.50,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000006535,IDES146 F   ,130200,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000007021,BOT 268 F   ,040200,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000007125,FOOD 130    ,130600,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Fullerton,CCC000013839,CSTR035F    ,095200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000014058,CHEM 211BL  ,190500,D,00.00,00.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000014658,GERM 299ABC ,110300,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000014708,JOUR240 F   ,060200,D,03.00,03.00,N,C,Y,Y,Y,,,20080718
Fullerton,CCC000283409,FASH183F    ,130300,D,03.00,03.00,N,C,Y,Y,Y,,,20250302
Fullerton,CCC000589990,MKT103F     ,050910,D,03.00,03.00,N,D,Y,Y,Y,,,20250302
Fullerton,CCC000570256,MUS113F     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20250302
Fullerton,CCC000545102,PHOT214F    ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20250302
Fullerton,CCC000642112,PHOT228F    ,101200,D,03.00,03.00,N,D,Y,Y,Y,,,20250302
Fullerton,CCC000559431,THEA148F    ,100600,D,02.00,01.00,N,D,Y,Y,Y,,,20250302
Fullerton,CCC000543718,MUS291F     ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000580736,MUS292F     ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000332132,READ127F    ,152000,D,02.00,02.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000607197,READ142F    ,152000,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000002021,SPAN 200ABCD,110500,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000002039,ELEC100     ,093400,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000002224,DANC 112ABCD,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000002638,FCIS211     ,070710,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Fullerton,CCC000002768,PHIL 160 F  ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000003274,ENGL 60     ,493021,D,03.00,03.00,B,E,B,Y,Y,,,20070917
Fullerton,CCC000003599,ART129 F    ,100200,D,02.00,02.00,N,E,Y,Y,Y,,,20080718
Fullerton,CCC000012762,DANC 116ABCD,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000013227,ENGL097 F   ,150100,D,03.00,03.00,N,E,A,Y,Y,,,20070917
Fullerton,CCC000013481,MACH089 F   ,095600,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000013484,MACH 89     ,095600,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000013591,FBUS081     ,050600,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000607196,MATH143F    ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20260312
Fullerton,CCC000630421,MATH144F    ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20260312
Fullerton,CCC000410892,MATH203F    ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20260312
Fullerton,CCC000593193,SOC198F     ,220800,D,01.00,01.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000545145,SOC199F     ,220800,D,01.00,01.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000455934,SOC201F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000543847,SOC230F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000545105,SOC250F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000607029,SOC280F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000015802,LIB98AB     ,160100,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000015989,ESC196F     ,191400,D,01.00,01.00,N,E,Y,Y,Y,,,20230110
Fullerton,CCC000016170,MATH 198S/T:,170100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000016175,SOC101HF    ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20080718
Fullerton,CCC000016337,ART148F     ,103000,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Fullerton,CCC000016689,SOSC 198A   ,220800,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000025530,ENGL 027 F  ,493011,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Fullerton,CCC000025590,AUTO070F    ,094800,D,07.00,07.00,N,B,Y,Y,Y,,,20210121
Fullerton,CCC000025766,CIS230 F    ,070710,D,03.00,03.00,N,B,Y,Y,Y,,,20080718
Fullerton,CCC000026204,PHIL 201 F  ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000619178,MATH290F    ,170100,D,02.00,02.00,N,E,Y,Y,Y,,,20260312
Fullerton,CCC000619179,MATH290HF   ,170100,D,02.00,02.00,N,E,Y,Y,Y,,,20260312
Fullerton,CCC000267126,BIOL170F    ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000504757,CIS221F     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000588957,CIS223F     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000578560,CIS270F     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000578564,CIS286F     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20250227
Fullerton,CCC000592977,ENGR105F    ,090100,D,04.00,04.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000000540,ART189CF    ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20080718
Fullerton,CCC000000779,BUS23 F     ,050400,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Fullerton,CCC000000905,PHIL170F    ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20221208
Fullerton,CCC000001122,ENGL076 F   ,150100,D,03.00,03.00,N,E,A,Y,Y,,,20070917
Fullerton,CCC000001264,AJ279F      ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000001343,ENVS274 F   ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000001365,CSTR016F    ,095200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Fullerton,CCC000001615,ENGL 39 F   ,150100,C,03.00,03.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000001841,AJ   137ABCD,210500,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
Fullerton,CCC000010174,AJ091F      ,210500,C,02.00,02.00,N,B,Y,Y,Y,,,20191212
Fullerton,CCC000010233,ART  189CF  ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000010499,PE171F      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Fullerton,CCC000010689,PSY161 F    ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20080718
Fullerton,CCC000010866,ENGL93 F    ,150300,D,03.00,03.00,N,E,A,Y,Y,,,20070917
Fullerton,CCC000011794,ART  188AB  ,100200,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Fullerton,CCC000039467,SOC101F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000454008,SOC101HF    ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000226408,SOC102F     ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250227
Fullerton,CCC000648787,THEA231F    ,100700,D,03.00,02.00,N,E,Y,Y,Y,,,20250118
Fullerton,CCC000648788,THEA236F    ,100700,D,03.00,02.00,N,E,Y,Y,Y,,,20250118
Fullerton,CCC000648789,THEA243F    ,100700,D,03.00,02.00,N,E,Y,Y,Y,,,20250118
Fullerton,CCC000648790,THEA288F    ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20250118
Fullerton,CCC000648791,THEA289F    ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20250118
Fullerton,CCC000648792,WELD250F    ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250118
Fullerton,CCC000081950,HORT162F    ,010910,D,03.00,03.00,N,C,Y,Y,Y,,,20250312
Fullerton,CCC000022679,ACCT202     ,050200,D,04.00,04.00,N,B,Y,Y,Y,,,20070917
Fullerton,CCC000023034,ELEC050 F   ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20080718
