College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Glendale,CCC000007977,ENGR120     ,095300,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
Glendale,CCC000014031,SPCH190     ,150600,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Glendale,CCC000014206,OSC05124CF  ,051400,N,00.00,00.00,N,D,Y,I,Y,,,20191019
Glendale,CCC000014787,SPCH111     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Glendale,CCC000014990,ARCH107     ,020100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Glendale,CCC000646445,FIL101      ,111710,D,05.00,05.00,N,E,Y,Y,Y,,,20250620
Glendale,CCC000650533,MATH104EN   ,170100,N,00.00,00.00,B,E,Y,C,Y,,,20250411
Glendale,CCC000650534,MATH104ES   ,170100,C,01.00,01.00,N,E,A,Y,Y,,,20250411
Glendale,CCC000653704,FIRE178     ,213300,D,04.50,04.50,N,C,Y,Y,Y,,,20250717
Glendale,CCC000653705,FIRE179     ,213300,D,05.00,05.00,N,C,Y,Y,Y,,,20250717
Glendale,CCC000330564,HIST119     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Glendale,CCC000023330,HIST120     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Glendale,CCC000283122,ITAL104     ,110400,D,05.00,05.00,N,E,Y,Y,Y,,,20250717
Glendale,CCC000653707,LING104     ,150110,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Glendale,CCC000653709,LING107     ,150110,D,03.00,03.00,N,E,Y,Y,Y,,,20250717
Glendale,CCC000646449,MATH101E    ,170100,D,04.50,04.50,N,E,Y,Y,Y,,,20250717
Glendale,CCC000642843,MATH103E    ,170100,D,06.00,06.00,N,E,Y,Y,Y,,,20250717
