College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Grossmont,CCC000125998,DANC088A    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260130
Grossmont,CCC000636249,NUTR200     ,130600,D,01.00,01.00,N,D,Y,Y,Y,,,20260130
Grossmont,CCC000658143,SCI110      ,190100,D,03.00,03.00,N,E,Y,Y,Y,,,20260130
Grossmont,CCC000109842,CCS238      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000110309,CSIS151B    ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000110326,ES068B      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000110380,POSC160     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20210910
Grossmont,CCC000110516,CSIS230     ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000110641,JOUR135     ,060200,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000110661,ES206       ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000110906,ART184      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000170556,JOUR232     ,060200,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000170595,THTR146     ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000170728,PDSS101     ,493032,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000171168,RECR199     ,083610,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000171236,ART199      ,100200,D,03.00,00.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000171586,BUS174C     ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000224002,MUS235B     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000224086,MATH088L    ,170200,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000224105,CSIS173B    ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000224221,ES155C      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000224334,SPCH160     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000224493,CCS180      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000224551,BOT103C     ,051400,D,00.50,00.50,N,D,Y,Y,Y,,,20220707
Grossmont,CCC000224620,BOT110      ,051400,D,03.00,03.00,N,B,Y,Y,Y,,,20210623
Grossmont,CCC000224883,ART257      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000224909,MUS171      ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000224954,BIO212      ,040100,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000271131,JOUR130     ,060200,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000271215,HIST151     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000271747,BUS124      ,050200,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000271958,PHYC131     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20220716
Grossmont,CCC000272007,ES196       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000312366,ENGL104     ,152000,C,03.00,03.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000312438,CCS130      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000313123,SLPA200     ,122000,D,04.00,04.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000296588,OTA135      ,121800,D,03.00,03.00,N,B,Y,Y,Y,,,20260115
Grossmont,CCC000547756,OTA141      ,121800,D,01.00,01.00,N,C,Y,Y,Y,,,20260115
Grossmont,CCC000651443,OTA145      ,121800,D,02.00,02.00,N,C,Y,Y,Y,,,20260115
Grossmont,CCC000056151,DANC081B    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000501146,DANC081C    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000501147,DANC081D    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000052049,DANC094A    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000020380,DANC094B    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000329151,DANC094C    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260129
Grossmont,CCC000025431,DANC082B    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260128
Grossmont,CCC000607791,DANC083B    ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20260128
Grossmont,CCC000031031,AOJ122      ,210500,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000037567,CSIS177B    ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000037571,BOT150      ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20210715
Grossmont,CCC000037572,ES072A      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000037802,THTR140B    ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000038770,MCOM216C    ,060400,D,03.00,03.00,N,B,Y,Y,Y,,,20220707
Grossmont,CCC000038878,BUS147B     ,050900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000300135,FREN152     ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20260110
Grossmont,CCC000311039,FREN196     ,110200,D,01.00,01.00,N,E,Y,Y,Y,,,20260110
Grossmont,CCC000040118,NURS211     ,123010,D,07.00,07.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000040143,CHEM232T    ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000040175,OT212       ,121400,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000040232,PDSS098C    ,493032,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000040363,BUS184A     ,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000000054,CSIS125     ,070100,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000000254,COUN137     ,493010,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000000346,BOT198      ,493009,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Grossmont,CCC000000650,AOJ132      ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000000661,ENGL241     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000000682,BOT124      ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20210623
Grossmont,CCC000000774,CD153       ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20220715
Grossmont,CCC000000780,CCS194      ,220300,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000000839,MATH080     ,170100,C,02.00,02.00,B,E,D,Y,Y,,,20191019
Grossmont,CCC000000857,MUS185      ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000001653,THTR218     ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000001982,MUS038      ,100400,N,00.00,00.00,N,E,Y,H,Y,,,20191019
Grossmont,CCC000001984,ART281      ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000010127,BIO198      ,493009,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Grossmont,CCC000010159,THTR102C    ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20220716
Grossmont,CCC000010195,PDSS099C    ,493032,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000010353,DANC068D    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000010364,ESL104D     ,493085,C,03.00,03.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000010908,NURS230     ,123010,D,10.00,06.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000010977,ED214       ,080100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000011655,RESP208     ,121000,D,05.00,02.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000011741,THTR116     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000022521,IDS299      ,493009,N,00.00,00.00,B,D,Y,C,Y,,,20191019
Grossmont,CCC000022906,BOT282B     ,051400,D,00.50,00.50,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000207279,BUS128      ,050100,D,03.00,03.00,N,C,Y,Y,Y,,,20250531
Grossmont,CCC000023343,MUS212      ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000023536,PHYC110     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20230428
Grossmont,CCC000023752,CSIS131     ,070100,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000024010,HESC154     ,210450,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000024073,MUS286      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000189582,BOT176      ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20251202
Grossmont,CCC000651853,MATH171     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251202
Grossmont,CCC000651447,RELG135     ,151000,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Grossmont,CCC000651851,MATH082     ,170100,C,02.00,02.00,B,E,A,Y,Y,,,20250418
Grossmont,CCC000651854,OTA099      ,121800,N,00.00,00.00,N,C,Y,J,Y,,,20250418
Grossmont,CCC000651784,OTA230      ,121800,D,02.00,02.00,N,B,Y,Y,Y,,,20250418
Grossmont,CCC000651857,OTA235      ,121800,D,02.00,02.00,N,C,Y,Y,Y,,,20250418
Grossmont,CCC000651858,RESP101     ,121000,C,00.50,00.50,B,C,Y,Y,Y,,,20250418
Grossmont,CCC000031490,RELG199     ,151000,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000032531,BOT123      ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20210623
Grossmont,CCC000032543,THTR208     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000032875,ES084A      ,083500,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000033217,BUS001      ,050100,N,00.00,00.00,N,C,Y,I,Y,,,20191019
Grossmont,CCC000033385,BIO299      ,040100,D,03.00,00.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000033397,AOJ131      ,210500,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000041029,POSC135     ,220700,D,01.00,01.00,N,E,Y,Y,Y,,,20210910
Grossmont,CCC000041609,BOT095      ,051400,C,01.00,01.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000041945,PDSS099B    ,493032,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000042280,NURS220     ,123010,D,10.50,05.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000042306,PE080D      ,083500,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000050196,MUS258      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000050867,CHEM142T    ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000050934,BOT280C     ,051400,D,00.50,00.50,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000051141,BUS158      ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20200526
Grossmont,CCC000051370,ES172B      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000059334,AOJ103      ,210500,D,06.00,05.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000059700,COMM105A    ,150600,C,03.00,02.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000059816,MUS156      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20221117
Grossmont,CCC000059837,PE280       ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000327076,JAPN120     ,110800,D,05.00,05.00,N,E,Y,Y,Y,,,20260107
Grossmont,CCC000294519,JAPN121     ,110800,D,05.00,05.00,N,E,Y,Y,Y,,,20260107
Grossmont,CCC000004206,ENGL112     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000004487,SPAN120A    ,110500,D,02.50,02.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000004988,CSIS177C    ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000005211,PSY125      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20210611
Grossmont,CCC000005397,CSIS090A    ,493030,C,02.00,02.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000005558,PSY199      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000005812,BOT151      ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20210715
Grossmont,CCC000006290,MCOM216D    ,060400,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000006309,PDSS090A    ,493032,C,01.00,01.00,B,E,Y,Y,Y,,,20191019
Grossmont,CCC000006353,BUS147C     ,050900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000006404,NURS203     ,123010,D,06.00,06.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000006550,CD180       ,130500,D,02.00,02.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000006873,PHIL118     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20210821
Grossmont,CCC000006975,PSY134      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20220714
Grossmont,CCC000007377,BUS184B     ,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000007821,FREN299     ,110200,D,03.00,00.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000013885,DANC219     ,100800,D,02.50,02.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000014008,BIO142      ,040100,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000014400,THTR134     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000014480,PSY170      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20240409
Grossmont,CCC000014678,GEOL230     ,191400,D,03.00,03.00,N,E,Y,Y,Y,,,20220716
Grossmont,CCC000015024,THTR254B    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000015354,ECON199     ,220400,D,03.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000648590,ART299B     ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000378018,CD123       ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Grossmont,CCC000155534,COMM145     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000639198,ECON215     ,220400,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000636163,ENGL271     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000625401,ETHN143     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000625403,ETHN145     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Grossmont,CCC000606183,NUTR159     ,130600,D,03.00,03.00,N,D,Y,Y,Y,,,20250112
Grossmont,CCC000651786,THTR136     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250418
Grossmont,CCC000651855,OTA105      ,121800,D,03.00,03.00,N,B,Y,Y,Y,,,20250522
Grossmont,CCC000501233,RESP200A    ,121000,D,01.00,01.00,N,B,Y,Y,A,,,20250522
Grossmont,CCC000035883,CD170       ,130500,D,02.00,02.00,N,B,Y,Y,Y,,,20191019
Grossmont,CCC000036780,THTR235     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000045227,THTR124B    ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000045230,THTR124A    ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20210920
Grossmont,CCC000651777,AOJ158      ,210500,D,10.00,10.00,N,B,Y,Y,Y,,,20250418
Grossmont,CCC000651832,BOT180      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20250418
Grossmont,CCC000651833,CA187       ,130630,D,03.00,03.00,N,B,Y,Y,Y,,,20250418
Grossmont,CCC000045401,CHEM223     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000045420,CSIS151D    ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Grossmont,CCC000512784,ART227      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20260108
Grossmont,CCC000045569,DANC218     ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000253481,ART229      ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20260108
Grossmont,CCC000046063,MATH126     ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20230428
Grossmont,CCC000053620,MATH089     ,170100,C,05.00,05.00,B,E,C,Y,Y,,,20191019
Grossmont,CCC000054235,CCS129      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000054274,CSIS121     ,070100,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Grossmont,CCC000054553,CA164       ,130630,D,03.00,03.00,N,B,Y,Y,Y,,,20210820
Grossmont,CCC000054563,BOT282A     ,051400,D,00.50,00.50,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000054615,DANC116     ,100800,D,01.50,01.50,N,E,Y,Y,Y,,,20210914
Grossmont,CCC000054737,BUS176      ,050200,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
Grossmont,CCC000054744,MUS129      ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20220716
Grossmont,CCC000055241,CSIS130     ,070100,D,04.00,01.00,N,D,Y,Y,Y,,,20070917
Grossmont,CCC000055354,ES094B      ,083500,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000062634,MATH110L    ,170100,C,01.00,01.00,N,E,Y,Y,Y,,,20191019
Grossmont,CCC000063233,HED120      ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20220714
Grossmont,CCC000064092,BOT122      ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20210623
Grossmont,CCC000071234,CHEM231T    ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
