College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Irvine,CCC000653214,AJ16        ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20250619
Irvine,CCC000653153,DMA520      ,061400,N,00.00,00.00,N,C,Y,I,Y,,,20250619
Irvine,CCC000653154,DMA556      ,061400,N,00.00,00.00,N,C,Y,I,Y,,,20250619
Irvine,CCC000653175,HD28        ,080900,D,03.00,03.00,N,C,Y,Y,Y,,,20250619
Irvine,CCC000653155,MATH26H     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250619
Irvine,CCC000653156,MUS5        ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250619
Irvine,CCC000653157,MUS6        ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250619
Irvine,CCC000653158,RE580       ,051200,N,00.00,00.00,N,C,Y,I,Y,,,20250619
Irvine,CCC000653159,RE582       ,051200,N,00.00,00.00,N,D,Y,I,Y,,,20250619
Irvine,CCC000653176,TA417       ,100700,N,00.00,00.00,N,E,Y,H,Y,,,20250619
Irvine,CCC000653590,ACCT52      ,050200,D,03.00,03.00,N,D,Y,Y,Y,,,20250710
Irvine,CCC000653591,HLTH8       ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250710
Irvine,CCC000653592,HLTH9       ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250710
Irvine,CCC000644086,DNCE19      ,100810,D,01.00,01.00,N,D,Y,Y,Y,,,20260123
Irvine,CCC000600825,TA53        ,100600,D,03.00,03.00,N,B,Y,Y,Y,,,20260123
Irvine,CCC000503613,GEOG14      ,220600,D,02.00,02.00,N,E,Y,Y,Y,,,20260307
Irvine,CCC000650247,CIM284      ,070810,D,03.00,03.00,N,C,Y,Y,Y,,,20250206
Irvine,CCC000650248,HIST41      ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250206
Irvine,CCC000651969,FILM72H     ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000651970,FILM75      ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000651971,POLS12      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000651972,POLS12H     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000390677,HIST24      ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250822
Irvine,CCC000652597,DNCE168B    ,100810,D,02.00,02.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652598,DNCE168C    ,100810,D,03.00,03.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652595,DMP168D     ,095600,D,04.00,04.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652596,DNCE168A    ,100810,D,01.00,01.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652585,AJ168C      ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652586,AJ168D      ,210500,D,04.00,04.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652587,BIO167A     ,493200,D,01.00,01.00,N,D,Y,Y,Y,,,20250529
Irvine,CCC000652588,CIM168A     ,070210,D,01.00,01.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652589,CIM168B     ,070210,D,02.00,02.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652214,CIM190      ,051400,D,03.00,03.00,N,D,Y,Y,Y,,,20250508
Irvine,CCC000652215,CIM517      ,070910,N,00.00,00.00,N,D,Y,I,Y,,,20250508
Irvine,CCC000383162,ESL 362C    ,493086,C,02.00,02.00,B,E,D,Y,Y,,,20120109
Irvine,CCC000383219,CIS 289     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000383291,CIS 213B    ,061460,D,01.50,01.50,N,C,Y,Y,Y,,,20120109
Irvine,CCC000383293,COMM2       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000383322,MUS 289     ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000383440,ART81       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000385095,ART410      ,100210,N,00.00,00.00,N,E,Y,H,Y,,,20191019
Irvine,CCC000385108,HD15        ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000385151,ESL 360C    ,493087,C,04.00,04.00,B,E,D,Y,Y,,,20120109
Irvine,CCC000385167,CIS 289     ,070810,D,02.50,02.50,N,C,Y,Y,Y,,,20120109
Irvine,CCC000385204,ART 50A     ,100210,D,01.50,01.50,N,E,Y,Y,Y,,,20120109
Irvine,CCC000385229,KNES76      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000385232,CIM 214.2   ,070720,D,02.00,02.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000385264,COMMC1000   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20241122
Irvine,CCC000385326,TA8         ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20200312
Irvine,CCC000385356,CIM 246.1   ,061440,D,02.00,02.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000385384,HUM3        ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000385431,ESL 342B    ,493086,C,02.00,02.00,B,E,F,Y,Y,,,20120109
Irvine,CCC000385441,ACCT 212.2  ,050200,D,02.00,02.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000385459,PHOT 180    ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000387097,LIT 410     ,150100,C,01.00,01.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000387108,ART 405     ,100210,N,00.00,00.00,N,E,Y,H,Y,49.8,49.8,20160120
Irvine,CCC000387131,PE 74       ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000387192,CIM 264.1   ,070810,D,03.50,03.50,N,C,Y,Y,Y,,,20120109
Irvine,CCC000387207,HD7         ,130500,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Irvine,CCC000387210,HD191       ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000387240,ET105       ,093400,D,04.00,04.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000387243,ART426      ,100210,N,00.00,00.00,N,E,Y,H,Y,,,20191019
Irvine,CCC000387286,MUS 4       ,100400,D,05.00,05.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000649645,HIST60      ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250125
Irvine,CCC000530776,ARTHC1100   ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000530777,ARTHC1200   ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000649022,CIM118      ,070910,D,03.00,03.00,N,D,Y,Y,Y,,,20251202
Irvine,CCC000652057,DMA72       ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20251202
Irvine,CCC000390189,ENGLC1002   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000635545,ENGLC1002H  ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000582388,ETHN10      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000637989,ETHN10H     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000643910,ETHN50      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000387943,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000396310,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Irvine,CCC000630202,RE180       ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20251202
Irvine,CCC000651965,FILM70      ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000651966,FILM71      ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20250424
Irvine,CCC000650950,ENGL302     ,150100,C,02.00,02.00,B,E,B,Y,Y,,,20250405
Irvine,CCC000650951,ENGL382     ,150100,C,02.00,02.00,B,E,B,Y,Y,,,20250405
Irvine,CCC000657896,IMA191      ,061420,D,03.00,03.00,N,C,Y,Y,Y,,,20260129
Irvine,CCC000658002,MUS75       ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20260129
Irvine,CCC000657897,POLS167A    ,493200,D,01.00,01.00,N,C,Y,Y,Y,,,20260129
Irvine,CCC000541619,BIO 11      ,126000,D,04.00,04.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000541620,BIO 121     ,126000,D,04.00,04.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000541621,BIO 15      ,126000,D,05.00,05.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000541622,BIO 71      ,126000,D,03.00,03.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000541623,BIO 72      ,126000,D,03.00,03.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000541624,CS 130      ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20130407
Irvine,CCC000541625,DNCE 66     ,100810,D,01.00,01.00,N,D,Y,Y,Y,,,20130407
Irvine,CCC000564636,ENGR91      ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000564637,ENGR80      ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000564638,COUN20      ,493012,D,03.00,03.00,N,E,Y,Y,Y,,,20200123
Irvine,CCC000564639,DMA 10      ,103000,D,03.00,03.00,N,D,Y,Y,Y,,,20150604
Irvine,CCC000564640,ART64       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000564641,ART62       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000564642,ART42       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000564643,IA121       ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000564853,ESL 301L    ,493087,N,00.00,00.00,B,E,B,A,Y,16.6,16.6,20160314
Irvine,CCC000564854,ESL 201L    ,493087,N,00.00,00.00,B,E,A,A,Y,16.6,16.6,20160314
Irvine,CCC000564935,MATH20      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000564936,HD10        ,080100,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Irvine,CCC000581397,ESL 201L    ,493087,C,00.50,00.50,B,E,A,Y,Y,,,20170315
Irvine,CCC000581398,ESL301L     ,493087,C,00.50,00.50,B,E,B,Y,Y,,,20191019
Irvine,CCC000581399,CIM110      ,070200,D,04.00,04.00,N,D,Y,Y,Y,,,20211118
Irvine,CCC000581551,PSYC2       ,200100,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000581552,MUS112      ,100500,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
Irvine,CCC000614857,MATH254     ,170100,C,06.00,06.00,N,E,B,Y,Y,,,20200305
Irvine,CCC000614933,MATH254     ,170100,D,06.00,06.00,N,E,A,Y,Y,,,20210109
Irvine,CCC000649892,ACCT219A    ,050210,C,03.00,03.00,N,C,Y,Y,Y,,,20250131
Irvine,CCC000414832,LIT22       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250822
Irvine,CCC000388173,LIT23       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250822
Irvine,CCC000422222,LIT45       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250822
Irvine,CCC000652236,HLTH5H      ,120100,D,03.00,03.00,N,D,Y,Y,Y,,,20250508
Irvine,CCC000652237,HLTH7       ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250508
Irvine,CCC000652216,MUS1        ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20250508
Irvine,CCC000652217,MUS3        ,100400,D,04.00,04.00,N,E,Y,Y,Y,,,20250508
Irvine,CCC000652583,AJ168A      ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652584,AJ168B      ,210500,D,02.00,02.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652591,CIM168D     ,070210,D,04.00,04.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000652592,DMP168A     ,095600,D,01.00,01.00,N,C,Y,Y,Y,,,20250529
Irvine,CCC000391113,IA 12       ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000391164,PE 437      ,083510,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Irvine,CCC000391168,CIS 410     ,070200,C,01.00,01.00,N,D,Y,Y,Y,,,20120109
Irvine,CCC000391283,AJ13        ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20200612
Irvine,CCC000391290,ESL 363A    ,493086,C,02.00,02.00,B,E,D,Y,Y,,,20120109
Irvine,CCC000391300,DNCE97      ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Irvine,CCC000391301,CHI 1A      ,110700,D,02.50,02.50,N,E,Y,Y,Y,,,20120109
Irvine,CCC000391346,MUS 410     ,100400,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Irvine,CCC000391386,MATH 9      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000391424,CIM 208.3   ,070200,D,02.00,02.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000391490,TA18        ,100700,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000393102,ESL 290     ,493085,C,02.50,02.50,B,E,A,Y,Y,,,20120109
Irvine,CCC000393109,DMA 175     ,103000,D,03.00,03.00,N,C,Y,Y,Y,,,20150429
Irvine,CCC000393121,DNCE 85     ,100810,D,03.00,03.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000393180,ESL 343B    ,493086,C,02.00,02.00,B,E,E,Y,Y,,,20120730
Irvine,CCC000393202,BIO 289     ,040100,D,00.50,00.50,N,E,Y,Y,Y,,,20120109
Irvine,CCC000393204,GEOL181     ,191400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000393210,CIM 243.2   ,061430,D,02.00,02.00,N,C,Y,Y,Y,,,20120109
Irvine,CCC000393265,HD160       ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Irvine,CCC000393285,CT 420      ,130310,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Irvine,CCC000393308,ESL 360D    ,493087,C,04.00,04.00,B,E,D,Y,Y,,,20120109
Irvine,CCC000393309,HD 232      ,130500,D,00.50,00.50,N,D,Y,Y,Y,,,20120109
Irvine,CCC000393437,PE 437      ,083510,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Irvine,CCC000393461,MUS81       ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Irvine,CCC000393478,DNCE 50     ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20120109
Irvine,CCC000395193,JRNL 1      ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20120109
Irvine,CCC000395211,ENT 130     ,030300,D,03.00,03.00,N,C,Y,Y,Y,,,20120109
