College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
LA City,CCC000623411,ANIMATN225  ,061440,D,03.00,03.00,N,C,Y,Y,Y,,,20260309
LA City,CCC000616232,DENTEK100   ,124030,D,01.00,01.00,N,C,Y,Y,Y,,,20250315
LA City,CCC000639415,DENTEK102   ,124030,D,03.00,03.00,N,C,Y,Y,Y,,,20250315
LA City,CCC000650902,DENTEK304   ,124030,D,08.00,08.00,N,B,Y,Y,Y,,,20250305
LA City,CCC000650903,DENTEK403   ,124030,D,08.00,08.00,N,B,Y,Y,Y,,,20250305
LA City,CCC000650904,KINMAJ130   ,122800,D,02.00,02.00,N,C,Y,Y,B,,,20250305
LA City,CCC000650905,RADTEC103   ,122500,D,04.00,04.00,N,C,Y,Y,Y,,,20250305
LA City,CCC000650906,RADTEC280   ,122500,D,07.50,07.50,N,B,Y,Y,Y,,,20250305
LA City,CCC000650907,RADTEC281   ,122500,D,12.00,12.00,N,B,Y,Y,Y,,,20250305
LA City,CCC000650908,RADTEC282   ,122500,D,04.00,04.00,N,B,Y,Y,Y,,,20250305
LA City,CCC000604888,DENTEK106   ,124030,D,03.50,03.50,N,C,Y,Y,Y,,,20250315
LA City,CCC000420551,DENTEK108   ,124030,D,03.00,03.00,N,C,Y,Y,Y,,,20250315
LA City,CCC000604889,DENTEK109   ,124030,D,05.00,05.00,N,C,Y,Y,Y,,,20250315
LA City,CCC000602853,DENTEK111   ,124030,D,06.00,06.00,N,B,Y,Y,Y,,,20250315
LA City,CCC000390220,ART202      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000407110,ART204      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000421325,ART502      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000610743,CINEMA001   ,061220,D,03.00,03.00,N,C,Y,Y,Y,,,20250304
LA City,CCC000408923,COMM104     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000590518,COMM151     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000616475,CS136       ,070600,D,03.00,03.00,N,E,Y,Y,Y,,,20250304
LA City,CCC000419783,CS102       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20260219
LA City,CCC000616403,CS113       ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20260219
LA City,CCC000658118,AFROAM019Int,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260207
LA City,CCC000657985,CHEM071     ,011300,D,05.00,05.00,N,C,Y,Y,Y,,,20260207
LA City,CCC000658119,VOCED090CE  ,493012,N,00.00,00.00,N,E,Y,J,Y,,,20260207
LA City,CCC000413667,CHEM101     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260222
LA City,CCC000555370,RADTEC205   ,122500,D,04.00,04.00,N,C,Y,Y,Y,,,20250302
