College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
LA Harbor,CCC000000139,AUTOTEK004  ,094800,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
LA Harbor,CCC000000340,ELECTRN050  ,093400,D,04.00,04.00,N,C,Y,Y,Y,,,20130318
LA Harbor,CCC000000392,COTECH074   ,070800,D,04.00,04.00,N,C,Y,Y,Y,,,20200126
LA Harbor,CCC000000775,NURSING339  ,123010,D,02.00,02.00,N,C,Y,Y,Y,,,20200323
LA Harbor,CCC000001010,MUSIC  252  ,100500,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
LA Harbor,CCC000001044,PHILOS006   ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20240318
LA Harbor,CCC000001363,MATH105     ,170100,C,03.00,03.00,B,E,D,Y,Y,,,20200129
LA Harbor,CCC000001484,CHEM   941  ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000001502,GEOLOGY006  ,191400,D,02.00,02.00,N,E,Y,Y,Y,,,20191223
LA Harbor,CCC000001506,REAL ES941  ,051100,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
LA Harbor,CCC000001890,CO SCI 053  ,070100,D,01.00,01.00,N,C,Y,Y,Y,,,20130318
LA Harbor,CCC000010314,P.E.   718  ,122800,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
LA Harbor,CCC000010376,SOC021      ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20200129
LA Harbor,CCC000010467,ART639      ,103000,D,03.00,03.00,N,D,Y,Y,Y,,,20200126
LA Harbor,CCC000010625,NURSING313  ,123010,D,04.00,04.00,N,D,Y,Y,Y,,,20200322
LA Harbor,CCC000010664,ART    718  ,100900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000619068,NURSING333  ,123010,D,03.00,03.00,N,B,Y,Y,Y,,,20250224
LA Harbor,CCC000022725,CO INFO385  ,070200,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
LA Harbor,CCC000022745,MUSIC 511   ,100400,D,00.50,00.50,N,E,Y,Y,Y,,,20160331
LA Harbor,CCC000022785,KIN350      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20200113
LA Harbor,CCC000023191,FRENCH 285  ,110200,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000023197,MUSIC  212A ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000031598,THEATER550  ,100600,D,02.00,02.00,N,C,Y,Y,Y,,,20210921
LA Harbor,CCC000032125,BUS005      ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20200121
LA Harbor,CCC000032334,CHEM   385  ,190500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000032547,CH DEV 911  ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20160403
LA Harbor,CCC000032739,NURSING335  ,123010,D,03.00,03.00,N,C,Y,Y,Y,,,20200323
LA Harbor,CCC000032942,CO TECH068  ,070800,D,04.00,04.00,N,C,Y,Y,Y,,,20130318
LA Harbor,CCC000040966,KIN291      ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
LA Harbor,CCC000041063,PHYS ED437  ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
LA Harbor,CCC000041478,ENGLISH021A ,150100,C,01.00,01.00,B,E,B,Y,Y,,,20100401
LA Harbor,CCC000041484,ELECTRN016  ,093400,D,05.00,05.00,N,C,Y,Y,Y,,,20200126
LA Harbor,CCC000462934,EDUC001     ,080100,D,03.00,03.00,N,E,Y,Y,Y,,,20260221
LA Harbor,CCC000653203,VOCED294CE  ,070800,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000643879,VOCED300CE  ,300900,N,00.00,00.00,N,D,Y,I,Y,,,20260201
LA Harbor,CCC000644419,VOCED381CE  ,120510,N,00.00,00.00,N,C,Y,I,A,,,20260201
LA Harbor,CCC000644420,VOCED382CE  ,120510,N,00.00,00.00,N,C,Y,I,A,,,20260201
LA Harbor,CCC000653219,VOCED619CE  ,070200,N,00.00,00.00,N,D,Y,I,Y,,,20260201
LA Harbor,CCC000652604,VOCED701CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000652436,VOCED702CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000652437,VOCED703CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000652438,VOCED704CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000652605,VOCED705CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000652606,VOCED706CE  ,130630,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000653221,VOCED925CE  ,070100,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000644305,VOCED926CE  ,100500,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000654632,VOCED926CE  ,100500,N,00.00,00.00,N,C,Y,I,Y,,,20260201
LA Harbor,CCC000644177,VOCED926CE  ,100500,N,00.00,00.00,N,C,Y,I,Y,,,20260201
