College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Las Positas,CCC000622189,AUTOA3      ,094800,D,04.00,04.00,N,C,Y,Y,Y,,,20260124
Las Positas,CCC000569953,AUTOA4      ,094800,D,04.00,04.00,N,B,Y,Y,Y,,,20260124
Las Positas,CCC000658227,EMS10       ,125100,D,08.00,08.00,N,C,Y,Y,Y,,,20260131
Las Positas,CCC000658228,EMS11       ,125100,D,08.00,08.00,N,C,Y,Y,Y,,,20260131
Las Positas,CCC000658229,EMS91       ,125000,D,02.00,02.00,N,B,Y,Y,Y,,,20260131
Las Positas,CCC000658230,ENG19B      ,060100,D,03.00,03.00,N,E,Y,Y,Y,,,20260131
Las Positas,CCC000658231,ENGR37      ,092400,D,04.00,04.00,N,D,Y,Y,Y,,,20260131
Las Positas,CCC000584361,PHTO72      ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20260131
Las Positas,CCC000556096,CNT 7284    ,070810,D,04.00,04.00,N,E,Y,Y,Y,,,20140618
Las Positas,CCC000556097,KINWTW2     ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20180621
Las Positas,CCC000589362,MATH53B     ,170100,D,01.00,01.00,N,E,A,Y,Y,,,20191027
Las Positas,CCC000589364,CNT7701     ,070800,D,02.00,02.00,N,C,Y,Y,Y,,,20180621
Las Positas,CCC000589405,ESL25       ,493087,D,06.00,06.00,N,E,Y,Y,Y,,,20230408
Las Positas,CCC000589406,KINBK1      ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20180221
Las Positas,CCC000589407,KINBK2      ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20180221
Las Positas,CCC000589408,KINBL1      ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20180221
Las Positas,CCC000589409,MATH110F    ,170100,C,02.00,02.00,B,E,B,Y,Y,,,20191019
Las Positas,CCC000589410,KIN31B      ,083550,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000589411,KINFNE1     ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000589412,KINFNF1     ,083500,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000589413,PCN50       ,210400,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000589415,FST65       ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20180221
Las Positas,CCC000589416,MUS26       ,100500,D,02.00,02.00,N,C,Y,Y,Y,,,20221008
Las Positas,CCC000589418,KIN31D      ,083550,D,02.00,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000589419,MATH107F    ,170100,C,02.00,02.00,B,E,C,Y,Y,,,20191019
Las Positas,CCC000589531,MATH110E    ,170100,C,02.00,02.00,B,E,B,Y,Y,,,20191019
Las Positas,CCC000606100,AJ1         ,210550,D,16.00,16.00,N,C,Y,Y,Y,,,20200207
Las Positas,CCC000606102,BUSN86      ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20200324
Las Positas,CCC000606103,BUSN87      ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20210124
Las Positas,CCC000606106,CIS44       ,070200,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606107,CIS7        ,070710,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Las Positas,CCC000606108,CIS81A      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606109,CIS81B      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606110,CIS81C      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606111,CIS81D      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606112,CIS82A      ,070200,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606113,CIS82B      ,070200,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606114,CIS9002     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606115,ECE10       ,490120,D,04.00,04.00,N,E,Y,Y,Y,,,20200619
Las Positas,CCC000606116,ENGR50      ,093400,D,04.00,04.00,N,C,Y,Y,Y,,,20191019
Las Positas,CCC000606120,FST24       ,213300,D,02.50,02.50,N,B,Y,Y,Y,,,20220901
Las Positas,CCC000606121,FST25       ,213300,D,02.50,02.50,N,B,Y,Y,Y,,,20220901
Las Positas,CCC000606122,GEOL20      ,191400,D,04.00,04.00,N,E,Y,Y,Y,,,20220324
Las Positas,CCC000606125,HUMN2       ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606126,KIN39A      ,083550,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606127,KIN39B      ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606128,KIN42A      ,083550,D,02.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606129,KIN42B      ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606130,KINBK3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606131,KINBK4      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606132,KINBL2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606133,KINBL3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606134,KINBL4      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606135,KINBX3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606136,KINCT1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606140,KINFGS1     ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606141,KINFGS2     ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606142,KINFGS3     ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606143,KINGF4      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606144,KINYO1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230715
Las Positas,CCC000606145,KINYO2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230715
Las Positas,CCC000606146,MATH156     ,170100,C,03.00,03.00,B,E,A,Y,Y,,,20190713
Las Positas,CCC000606147,MATH27      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606148,MATH67      ,170200,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606149,MATH67C     ,170200,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606150,MATH68      ,170200,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606151,MATH68C     ,170200,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606152,POLI26      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606153,THEA12      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606154,THEA54      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20220325
Las Positas,CCC000606155,THEA55      ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20230412
Las Positas,CCC000606184,KIN15       ,127000,D,01.50,01.50,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606185,KIN26       ,127000,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606187,KINAF2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606188,KINBC1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606189,KINBC2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606190,KINBC3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606191,KINBD1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606192,KINBD2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606193,KINBD3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606194,KINBK1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606195,KINBK2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606196,KINBL1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606197,KINBX1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606198,KINCRT      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606199,KINCYCL1    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606200,KINCYCL2    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606202,KINFJW1     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230708
Las Positas,CCC000606203,KINFJW2     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230708
Las Positas,CCC000606204,KINFJW3     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606205,KINFJW4     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240823
Las Positas,CCC000606206,KINFL1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606207,KINFL2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606208,KINFL3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606209,KINGBW1     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230708
Las Positas,CCC000606211,KINHIT1     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606212,KINLAX1     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606213,KINLG       ,083570,D,01.50,01.50,N,C,Y,Y,Y,,,20200619
Las Positas,CCC000606214,KINPL1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230708
Las Positas,CCC000606215,KINPL2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20230707
Las Positas,CCC000606216,KINSW1      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606217,KINSW2      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20240125
Las Positas,CCC000606218,KINSW3      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Las Positas,CCC000606219,KINSW4      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
