College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Long Beach,CCC000657935,ART236      ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20260308
Long Beach,CCC000657946,DANCE12C    ,083520,D,02.00,02.00,N,C,Y,Y,Y,,,20260308
Long Beach,CCC000616160,GEDHSET600  ,150100,N,00.00,00.00,B,E,D,C,Y,,,20250221
Long Beach,CCC000622248,PHIL1       ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20250221
Long Beach,CCC000625346,PHIL1H      ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20250221
Long Beach,CCC000610590,ATCMHS153   ,209900,D,03.00,03.00,N,E,Y,Y,Y,,,20260301
Long Beach,CCC000610591,ATCMHS162   ,210440,D,03.00,03.00,N,B,Y,Y,Y,,,20260301
Long Beach,CCC000024280,ENGL 891AD  ,150600,C,00.50,00.50,B,E,B,Y,Y,,,20100621
Long Beach,CCC000658057,CONST230    ,095290,D,04.00,04.00,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658058,CONST250    ,095290,D,04.00,04.00,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658059,CONST255    ,095290,D,04.00,04.00,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658060,CONST260    ,095210,D,04.00,04.00,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658061,CONST265    ,095290,D,04.00,04.00,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658062,WELD410     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658063,WELD413     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658064,WELD414     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658065,WELD415     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658066,WELD416     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658067,WELD472     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658068,WELD480     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658069,WELD482     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000658070,WELD483     ,095650,D,01.50,01.50,N,C,Y,Y,Y,,,20260127
Long Beach,CCC000395292,ANTHC1001   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000383146,ANTHC1001H  ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000405711,ARTHC1100   ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000394760,ARTHC1100H  ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000390091,ARTHC1200   ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000402836,ARTHC1200H  ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000460986,HISTC1002H  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Long Beach,CCC000653718,READ603     ,152000,N,00.00,00.00,B,E,A,C,Y,,,20250711
Long Beach,CCC000657936,CDEVC1000H  ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657937,COSA65      ,070210,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657938,COSA667     ,070100,N,00.00,00.00,N,C,Y,J,Y,,,20260126
Long Beach,CCC000657939,COSA669     ,070100,N,00.00,00.00,N,C,Y,J,Y,,,20260126
Long Beach,CCC000657940,COSA67      ,070210,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657941,COSA675     ,070100,N,00.00,00.00,N,C,Y,J,Y,,,20260126
Long Beach,CCC000657942,COSA69      ,070210,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657943,COSA75      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657944,COSP220     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657945,COSP250     ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20260126
Long Beach,CCC000657947,ETHST7      ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260126
Long Beach,CCC000657949,IBUS51      ,050800,C,03.00,03.00,B,C,Y,Y,Y,,,20260126
