College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Merced,CCC000366866,AGMA16      ,094700,D,04.00,04.00,N,B,Y,Y,Y,,,20251204
Merced,CCC000359922,AGMA17      ,011600,D,03.00,03.00,N,C,Y,Y,Y,,,20251204
Merced,CCC000652207,MATH95Z     ,170100,C,01.00,01.00,B,E,A,Y,Y,,,20250611
Merced,CCC000535904,AGMA18      ,094700,D,02.00,02.00,N,B,Y,Y,Y,,,20251204
Merced,CCC000619537,AGMA19      ,011600,D,03.00,03.00,N,B,Y,Y,Y,,,20251204
Merced,CCC000628258,AGMA20      ,011600,D,02.00,02.00,N,C,Y,Y,Y,,,20251204
Merced,CCC000648488,WELD01      ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648489,WELD02      ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648490,WELD54      ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648491,WELD55      ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648492,WELD56      ,095650,D,05.00,05.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648493,WELD57      ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000648494,WELD58      ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250203
Merced,CCC000536194,EMER10      ,125100,D,12.50,12.50,N,C,Y,Y,Y,,,20251204
Merced,CCC000536195,EMER11      ,125100,D,01.50,01.50,N,C,Y,Y,Y,,,20251204
Merced,CCC000524388,RADT15B     ,122500,D,05.50,05.50,N,C,Y,Y,Y,,,20260326
Merced,CCC000562622,AGAB30B     ,011200,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Merced,CCC000562621,AGAB30C     ,011200,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Merced,CCC000553356,AGAB31A     ,011200,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Merced,CCC000553355,AGAB31B     ,011200,D,02.00,02.00,N,C,Y,Y,Y,,,20251116
Merced,CCC000363365,COS-50B     ,300700,C,14.00,14.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363374,CE 41C RNC  ,123000,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363395,CE 41D HS   ,210400,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363430,ELCT-71P    ,093410,D,15.00,01.50,N,C,Y,Y,Y,,,20090623
Merced,CCC000363463,CRIM49AM    ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Merced,CCC000363513,FIRE49AE    ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Merced,CCC000363518,PHED-14D1   ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070919
Merced,CCC000363524,OFCT-67     ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363534,ART29A      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20221214
Merced,CCC000363540,REAL-49     ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363541,DRAM-16     ,100600,D,03.00,03.00,N,E,Y,Y,Y,,,20090623
Merced,CCC000363544,MECH-70AI   ,011600,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363545,MECH-70BW   ,011600,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363556,COOP-41BHSA ,210400,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363565,ELCT-40AR   ,093410,D,02.00,02.00,N,C,Y,Y,Y,,,20090623
Merced,CCC000363573,CE 41A MUA  ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Merced,CCC000363598,TRNG-324    ,089900,N,00.00,00.00,N,E,Y,D,Y,0,0,20160120
Merced,CCC000363633,CRIM04      ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20230107
Merced,CCC000363634,SCI-30B2    ,490100,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Merced,CCC000363658,PLSC70D     ,010900,C,01.00,01.00,N,C,Y,Y,Y,,,20191019
Merced,CCC000363670,MECH-70QQ   ,011600,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363676,ANSC-43     ,010200,D,01.00,01.00,N,D,Y,Y,Y,,,20070919
Merced,CCC000363684,PLSC-71R    ,010300,D,01.00,01.00,N,B,Y,Y,Y,,,20070919
Merced,CCC000363716,ANSC70AD    ,010240,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Merced,CCC000363730,DLT-45      ,124000,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000363736,FIRE49U     ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Merced,CCC000363742,DRAM-202D   ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Merced,CCC000363753,FCSC-70N    ,130500,C,01.00,01.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000379836,FCSC-70M    ,130500,C,01.00,01.00,N,E,Y,Y,Y,,,20070919
Merced,CCC000379856,BUS-40      ,050100,D,03.00,03.00,N,D,Y,Y,Y,,,20070919
Merced,CCC000379873,CPSC-70JR   ,070100,D,05.00,00.50,N,C,Y,Y,Y,,,20070919
Merced,CCC000379878,WWT64       ,095800,D,03.00,03.00,N,B,Y,Y,Y,,,20221212
Merced,CCC000379892,NUTR40      ,130630,D,03.00,03.00,N,C,Y,Y,Y,,,20230107
Merced,CCC000379898,COOP-41CITA ,095600,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000379903,MGMT-50J    ,050630,D,05.00,00.50,N,C,Y,Y,Y,,,20080715
Merced,CCC000379911,CE 41D FCC  ,130100,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000379917,ADST-42B    ,210400,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Merced,CCC000379920,HMNG-01A    ,110100,D,25.00,02.50,N,E,Y,Y,Y,,,20070919
