College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Mission,CCC000001117,MUSIC*017   ,100400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Mission,CCC000001941,ART*099     ,100200,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Mission,CCC000001991,CA*028D     ,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Mission,CCC000010367,MGMT*023    ,050630,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Mission,CCC000010437,FJPA911     ,210500,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Mission,CCC000010603,ESL970RW    ,493087,C,05.00,05.00,B,E,C,Y,Y,,,20180216
Mission,CCC000010657,CIS*036     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Mission,CCC000011325,EGR026      ,090100,D,04.00,03.00,N,E,Y,Y,Y,,,20191019
Mission,CCC000011740,MODEL036A   ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Mission,CCC000011802,CHD*092     ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Mission,CCC000023549,RLEST*094B  ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Mission,CCC000023555,WHP*004Q    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20080519
Mission,CCC000023733,MGMT*017    ,050630,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Mission,CCC000024011,RLEST*083A  ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Mission,CCC000031771,LSR900      ,493033,C,00.50,00.50,B,E,C,Y,A,,,20191019
Mission,CCC000032855,GDES*048    ,061430,D,03.00,03.00,N,C,Y,Y,A,,,20070917
Mission,CCC000033038,ENGL093     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
