College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Moorpark,CCC000459511,COUNM01     ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20250501
Moorpark,CCC000620436,COUNM01H    ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20250501
Moorpark,CCC000653806,JOURN14     ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20250714
Moorpark,CCC000435093,COLM01      ,493013,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Moorpark,CCC000430645,COUNM02     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Moorpark,CCC000582006,COUNM05     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Moorpark,CCC000616423,COUNM10     ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20250517
Moorpark,CCC000435066,GISM01      ,220610,D,03.00,03.00,N,D,Y,Y,Y,,,20250517
Moorpark,CCC000652572,DESM125B    ,103000,D,03.00,03.00,N,C,Y,Y,Y,,,20250518
Moorpark,CCC000652573,HISTM124    ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20250518
Moorpark,CCC000652574,ICAM44B     ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20250518
Moorpark,CCC000652575,ICAM45A     ,083550,D,04.00,04.00,N,E,Y,Y,Y,,,20250518
Moorpark,CCC000652576,MAKRM110    ,103000,D,03.00,03.00,N,D,Y,Y,B,,,20250518
Moorpark,CCC000652577,MAKRM902    ,103000,N,00.00,00.00,N,D,Y,I,A,,,20250518
Moorpark,CCC000658651,COUNM901    ,493010,N,00.00,00.00,N,E,Y,J,Y,,,20260215
Moorpark,CCC000433428,COMMM30     ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20250424
Moorpark,CCC000627059,DESM125A    ,103000,D,03.00,03.00,N,C,Y,Y,Y,,,20250424
Moorpark,CCC000603246,NSM35       ,123000,D,01.50,01.50,N,D,Y,Y,Y,,,20250118
Moorpark,CCC000427754,ANATM01     ,041000,D,04.00,04.00,N,E,Y,Y,Y,,,20250215
Moorpark,CCC000650244,ESLM01A     ,493084,D,04.00,04.00,N,E,Y,Y,Y,,,20250215
Moorpark,CCC000650245,ETHSM04     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20250215
Moorpark,CCC000640714,ETHSM60     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260213
Moorpark,CCC000646489,ETHSM70     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260213
Moorpark,CCC000658460,GISM24      ,220610,D,03.00,03.00,N,C,Y,Y,Y,,,20260213
Moorpark,CCC000434625,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20260213
Moorpark,CCC000430362,HISTM133    ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20260213
Moorpark,CCC000655392,POLSM20B    ,140100,D,02.00,02.00,N,E,Y,Y,Y,,,20260213
