College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Mt. San Jacinto,CCC000000631,MATH090B    ,170100,D,03.00,03.00,N,E,B,Y,Y,,,20191019
Mt. San Jacinto,CCC000000822,AUME-076    ,094800,D,02.00,02.00,N,C,A,Y,Y,,,20070917
Mt. San Jacinto,CCC000001156,PE-153      ,083500,D,04.50,01.50,N,E,Y,Y,Y,,,20070917
Mt. San Jacinto,CCC000010048,MCSE-200    ,070100,D,05.00,05.00,N,C,Y,Y,Y,,,20070917
Mt. San Jacinto,CCC000011531,GEOG-149    ,493200,D,04.00,01.00,N,C,Y,Y,A,,,20120309
Mt. San Jacinto,CCC000649038,JOUR111     ,061000,D,03.00,03.00,N,D,Y,Y,Y,,,20250124
Mt. San Jacinto,CCC000649035,DES151      ,103000,D,03.00,03.00,N,C,Y,Y,A,,,20250118
Mt. San Jacinto,CCC000589395,PEIC150A    ,083550,D,03.00,01.00,N,E,Y,Y,Y,,,20250123
Mt. San Jacinto,CCC000022597,FINA-002X   ,050400,N,00.00,00.00,N,C,Y,H,Y,18,18,20160201
Mt. San Jacinto,CCC000022774,LIB-100     ,160100,D,03.00,03.00,N,E,Y,Y,Y,,,20120320
Mt. San Jacinto,CCC000023244,AUME127     ,094800,D,04.00,04.00,N,C,Y,Y,A,,,20191019
Mt. San Jacinto,CCC000023553,MUS-204     ,100400,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
Mt. San Jacinto,CCC000157546,PE132       ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000558430,PEIC139     ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000557803,PEIC142     ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000609857,PHOT530     ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000205253,PHY202      ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000600223,PHY203      ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000290553,PS102       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000004120,PS102H      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000532528,PS106       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000534215,PS106H      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000245396,PS120       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20251225
Mt. San Jacinto,CCC000033973,ART-299J    ,103000,D,03.00,01.00,N,D,Y,Y,A,,,20111220
Mt. San Jacinto,CCC000034106,MCSE-103    ,070100,D,05.00,05.00,N,C,Y,Y,Y,,,20070917
Mt. San Jacinto,CCC000034605,ELEC-101    ,093400,D,04.00,04.00,N,B,Y,Y,Y,,,20070917
Mt. San Jacinto,CCC000035074,ENVS102H    ,030100,D,01.00,01.00,N,E,Y,Y,Y,,,20240106
