College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Napa,CCC000604605,ADS123      ,210440,D,03.00,03.00,N,C,Y,Y,Y,,,20260221
Napa,CCC000604608,ADS193      ,210440,D,03.50,03.50,N,B,Y,Y,Y,,,20260221
Napa,CCC000502848,ANTH145     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260221
Napa,CCC000039362,NURS-120    ,120310,D,11.00,11.00,N,C,Y,Y,Y,,,20070917
Napa,CCC000040561,THEA174     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20240905
Napa,CCC000100645,COMS215     ,070710,D,03.00,03.00,N,D,Y,Y,Y,,,20240905
Napa,CCC000101223,SPAN-103    ,110500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Napa,CCC000163659,PHYE-146    ,083510,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
Napa,CCC000217064,RESP-170    ,121000,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Napa,CCC000264841,PHIL134     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20240905
Napa,CCC000265141,ACN-712     ,100230,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Napa,CCC000265196,ART-131     ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Napa,CCC000265491,ADMJ-143    ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Napa,CCC000265572,BUSI-284    ,051400,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Napa,CCC000306668,MUSI-177    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20140731
Napa,CCC000306924,HOCN680     ,121000,N,00.00,00.00,N,D,Y,I,Y,,,20191019
Napa,CCC000306941,YEPL-955    ,493030,N,00.00,00.00,B,E,Y,E,Y,0,0,20160120
Napa,CCC000307047,AGRI-220    ,010310,D,01.00,01.00,N,B,Y,Y,Y,,,20081202
Napa,CCC000652733,ESLNC1      ,493084,N,00.00,00.00,B,E,C,A,Y,,,20250604
Napa,CCC000652734,ESLNC2      ,493087,N,00.00,00.00,N,E,Y,A,Y,,,20250604
Napa,CCC000307460,MUSI-137    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Napa,CCC000652735,ESLNC3      ,493087,N,00.00,00.00,B,E,A,A,Y,,,20250604
Napa,CCC000652736,HCTM112     ,130630,D,03.00,03.00,N,C,Y,Y,Y,,,20250604
Napa,CCC000343716,SPAN-260    ,110500,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Napa,CCC000344100,BTV-242     ,060420,D,03.00,03.00,N,C,Y,Y,Y,,,20121106
Napa,CCC000032252,BUSI-179    ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Napa,CCC000044465,ACN-601     ,100210,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Napa,CCC000044519,PHIL-130    ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Napa,CCC000050641,HEOC-200    ,129900,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Napa,CCC000050889,MACH-233    ,095630,D,03.50,03.50,N,C,Y,Y,Y,,,20070917
Napa,CCC000051494,PHYE-125    ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Napa,CCC000051923,COMS-110    ,070200,D,03.00,02.00,N,D,Y,Y,Y,,,20070917
