College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Palo Verde,CCC000005024,GEO  105    ,220600,D,03.00,03.00,N,E,Y,Y,Y,,,20080124
Palo Verde,CCC000006292,BCT  132    ,095210,D,03.00,03.00,N,C,Y,Y,Y,,,20080724
Palo Verde,CCC000006388,CIS  70A    ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Palo Verde,CCC000006803,MTH  90     ,170100,C,04.00,04.00,B,E,C,Y,Y,,,20100721
Palo Verde,CCC000007288,CWE  42B    ,051450,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Palo Verde,CCC000007599,FSC  59S    ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Palo Verde,CCC000015269,FSC  59     ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Palo Verde,CCC000015603,NUR  121    ,123030,D,05.75,05.00,N,C,Y,Y,Y,,,20080124
Palo Verde,CCC000015605,FSC  60     ,213310,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Palo Verde,CCC000648143,ANTHC1001L  ,220200,D,01.00,01.00,N,E,Y,Y,Y,,,20260307
Palo Verde,CCC000544541,AUT107      ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20250517
Palo Verde,CCC000544543,AUT108      ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20250517
Palo Verde,CCC000544542,AUT109      ,094800,D,03.00,03.00,N,C,Y,Y,Y,,,20250517
Palo Verde,CCC000411842,CHE101      ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20250517
Palo Verde,CCC000556986,PSY150      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Palo Verde,CCC000602238,PSY203      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
