College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Redwoods,CCC000652245,BUS42       ,050100,D,14.00,00.50,N,C,Y,Y,Y,,,20250517
Redwoods,CCC000652246,CIS42       ,070800,D,14.00,00.50,N,C,Y,Y,Y,,,20250517
Redwoods,CCC000652247,CT42        ,095200,D,14.00,00.50,N,C,Y,Y,Y,,,20250517
Redwoods,CCC000652248,FT121       ,213350,C,13.50,13.50,N,C,Y,Y,Y,,,20250517
Redwoods,CCC000598357,MATH10      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Redwoods,CCC000350704,SOC2        ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250517
Redwoods,CCC000598333,MATH30S     ,170200,D,01.00,01.00,N,E,Y,Y,Y,,,20260207
Redwoods,CCC000571667,PHIL14      ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20260329
Redwoods,CCC000356330,PHIL15      ,151000,D,03.00,03.00,N,E,Y,Y,Y,,,20260329
Redwoods,CCC000553338,AG44        ,010100,D,01.00,01.00,N,C,Y,Y,Y,,,20260110
Redwoods,CCC000373085,BIOL21      ,040200,D,03.00,03.00,N,E,Y,Y,Y,,,20251221
Redwoods,CCC000597749,BUS35       ,050640,D,04.00,04.00,N,D,Y,Y,Y,,,20260110
Redwoods,CCC000378699,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251206
Redwoods,CCC000376476,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251206
Redwoods,CCC000646170,SWHS4       ,210400,D,02.00,02.00,N,C,Y,Y,Y,,,20260206
Redwoods,CCC000525129,MUS 44      ,100400,D,02.00,01.00,N,E,Y,Y,Y,,,20110429
Redwoods,CCC000525130,DRAMA 34    ,100700,D,02.00,01.00,N,E,Y,Y,Y,,,20110429
Redwoods,CCC000525303,MA-141      ,120820,D,01.00,01.00,N,C,Y,Y,B,,,20110621
Redwoods,CCC000525481,DT-30       ,095320,D,04.00,04.00,N,B,Y,Y,B,,,20110621
Redwoods,CCC000541731,AG-19       ,010300,D,03.00,03.00,N,D,Y,Y,Y,,,20130410
Redwoods,CCC000541732,AJ81        ,210550,D,08.00,08.00,N,C,Y,Y,Y,,,20210506
Redwoods,CCC000541733,ANTH6       ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20200125
