College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Bernardino,CCC000427275,ANTHC1001   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
San Bernardino,CCC000650352,ENGL260     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000628719,ANTHRO108   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000612811,ANTHRO109   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000636020,ANTHRO111   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000635970,ANTHRO111H  ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000523556,ANTHRO125   ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000434797,ANTHRO222   ,220200,D,03.00,01.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000635971,ARCH102     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000635972,ARCH103     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000635973,ARCH104     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000635974,ARCH105     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000642880,ARCH106     ,029900,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000649830,ARCH107     ,029900,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000636021,ARCH112     ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000636022,ARCH113     ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000428008,ARCH145     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000609160,ARCH145H    ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000429200,ARCH146     ,020100,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000643088,ENGLC1000   ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000643089,ENGLC1000H  ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000426734,ENGLC1001   ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000432378,ENGLC1001H  ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650355,FTVM120     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20250719
San Bernardino,CCC000651310,FTVM121     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20250719
San Bernardino,CCC000650356,FTVM132     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20250719
San Bernardino,CCC000650357,FTVM234     ,060400,D,03.00,03.00,N,C,Y,Y,Y,,,20250719
San Bernardino,CCC000616066,POLICE001   ,210550,D,01.50,01.50,N,C,Y,Y,Y,,,20250719
San Bernardino,CCC000650358,POLS110     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650359,POLS110H    ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650360,POLS138     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650361,POLS138H    ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650362,POLS139     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650363,POLS139H    ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650364,POLS140     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650365,POLS141     ,221000,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650366,POLS141H    ,221000,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650367,POLS150     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650368,POLS170     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650369,POLS173     ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650370,POLS222     ,220700,D,03.00,01.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000433068,POLSC1000   ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000642936,POLSC1000H  ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650371,PSYC102     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650372,PSYC105     ,200100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650373,PSYC110     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650374,PSYC111     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650375,PSYC112     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650376,PSYC118     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650377,PSYC119     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650378,PSYC141     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650379,PSYC201     ,200100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000427829,PSYCC1000   ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000432021,PSYCC1000H  ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000650380,STAT608     ,170200,N,00.00,00.00,B,E,Y,C,Y,,,20250719
San Bernardino,CCC000427994,STATC1000   ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000642932,STATC1000H  ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000432331,THART222    ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20250719
San Bernardino,CCC000432852,ACCT047     ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000433841,ACCT090     ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000431708,ACCT200     ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000433093,ACCT201     ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000647621,ACCT600     ,050200,N,00.00,00.00,N,D,Y,J,Y,,,20250906
San Bernardino,CCC000427731,ADJUS101    ,210500,D,03.00,03.00,N,D,Y,Y,Y,,,20250906
San Bernardino,CCC000429235,ADJUS102    ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000431700,CIT098      ,051400,D,04.00,01.00,N,B,Y,Y,Y,,,20250906
San Bernardino,CCC000433055,CIT100      ,070100,D,03.00,03.00,N,B,Y,Y,Y,,,20250906
San Bernardino,CCC000650111,WST088      ,095800,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
San Bernardino,CCC000558441,AERO051     ,095000,D,05.00,05.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000535392,AERO051L    ,095000,D,02.00,02.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000432429,AERO052     ,095010,D,06.00,06.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000535393,AERO052L    ,095010,D,05.00,05.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000433831,AERO053     ,095010,D,06.00,06.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000535394,AERO053L    ,095010,D,05.00,05.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000435226,AERO054     ,095020,D,06.00,06.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000535395,AERO054L    ,095020,D,05.00,05.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000427345,AERO055     ,095020,D,06.00,06.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000535396,AERO055L    ,095020,D,05.00,05.00,N,C,Y,Y,Y,,,20250906
San Bernardino,CCC000656855,FTVM104     ,061210,D,03.00,03.00,N,E,Y,Y,Y,,,20251227
San Bernardino,CCC000656856,FTVM162     ,061220,D,03.00,03.00,N,C,Y,Y,Y,,,20251227
San Bernardino,CCC000656857,HEALTH113   ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20251227
San Bernardino,CCC000656853,CS265H      ,070710,D,03.00,03.00,N,C,Y,Y,Y,,,20251227
San Bernardino,CCC000656854,ETHS109     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20251227
San Bernardino,CCC000653962,ART161      ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
San Bernardino,CCC000556624,ART175A     ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20250906
