College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Santiago Canyon,CCC000004904,ACA 079B    ,095280,D,01.00,01.00,N,A,Y,Y,Y,,,20071214
Santiago Canyon,CCC000005208,HUD 19829   ,130500,D,00.50,00.50,N,C,Y,Y,Y,,,20071214
Santiago Canyon,CCC000005763,GEOL-168    ,191400,D,01.00,01.00,N,E,Y,Y,Y,,,20110615
Santiago Canyon,CCC000005924,ACA 089     ,095280,D,02.00,02.00,N,A,Y,Y,Y,,,20071214
Santiago Canyon,CCC000006810,SCI-200     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20110615
Santiago Canyon,CCC000014743,AOE 09819   ,094730,D,03.00,00.20,N,A,Y,Y,Y,,,20071214
Santiago Canyon,CCC000015083,BA-098/17   ,051400,D,01.50,01.50,N,D,Y,Y,Y,,,20110615
Santiago Canyon,CCC000015216,CMPR-198/34 ,070900,D,03.00,03.00,N,D,Y,Y,Y,,,20110615
Santiago Canyon,CCC000224576,BUS121      ,050600,D,03.00,03.00,N,C,Y,Y,Y,,,20251218
Santiago Canyon,CCC000571356,BUS130      ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20251218
Santiago Canyon,CCC000293101,ACA074B     ,095280,D,02.00,02.00,N,A,Y,Y,Y,,,20251218
Santiago Canyon,CCC000569018,ACA074C     ,095280,D,01.50,01.50,N,A,Y,Y,Y,,,20251218
Santiago Canyon,CCC000583151,AME057      ,094500,D,04.50,04.50,N,A,Y,Y,Y,,,20250816
Santiago Canyon,CCC000536869,AIN024      ,095200,D,01.50,01.50,N,A,Y,Y,Y,,,20250815
Santiago Canyon,CCC000536870,AIN025A     ,095200,D,02.00,02.00,N,A,Y,Y,Y,,,20250815
