College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Sierra,CCC000002047,FIRE0155    ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20180404
Sierra,CCC000002108,PHED0808    ,083510,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Sierra,CCC000002689,AAD    0051 ,103000,D,01.00,00.50,N,D,Y,Y,Y,,,20090817
Sierra,CCC000003256,H.ED.   808 ,083700,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Sierra,CCC000003517,ENGLISH 450 ,150100,D,00.00,00.00,N,E,Y,Y,Y,,,20070917
Sierra,CCC000003582,HUM.DEV.018 ,130500,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000003934,C.I.E.  016 ,093400,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000012132,FORESTRY602 ,011400,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Sierra,CCC000012570,ESCI0010    ,193000,D,03.00,03.00,N,E,Y,Y,Y,,,20200306
Sierra,CCC000012657,AAD0030     ,101200,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Sierra,CCC000013038,SKL.DEV.528 ,493032,C,03.00,01.00,B,E,Y,Y,Y,,,20070917
Sierra,CCC000013256,PHIL0012    ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20211028
Sierra,CCC000013281,ESL0500L    ,493086,C,03.00,03.00,B,E,E,Y,Y,,,20191019
Sierra,CCC000013660,BIO.SCI.010L,040100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Sierra,CCC000013813,MUS    0060L,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20090818
Sierra,CCC000013829,HUM.DEV.301 ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Sierra,CCC000507890,MUS0025     ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000132506,MUS0028     ,100400,D,03.00,01.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000597589,MUS0029     ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20250131
Sierra,CCC000317396,MUS0039A    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000549605,MUS0039B    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000549604,MUS0039C    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000549603,MUS0039D    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000181195,MUS0040A    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000316776,MUS0040B    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000242276,MUS0040C    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000036448,MUS0040D    ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563423,MUS0042     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563424,MUS0046     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563133,MUS0047     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563422,MUS0048     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563132,MUS0050     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000128083,MUS0051     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250131
Sierra,CCC000563421,MUS0054     ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000176245,MUS0057A    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000191695,MUS0057B    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000225935,MUS0058A    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000019770,MUS0058B    ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250131
Sierra,CCC000123555,BIOL0056L   ,040100,D,01.00,01.00,N,E,Y,Y,Y,,,20250117
Sierra,CCC000610233,WELD0002A   ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Sierra,CCC000623060,WELD0002B   ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Sierra,CCC000610235,WELD0003B   ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Sierra,CCC000610236,WELD0005A   ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Sierra,CCC000610237,WELD0005B   ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
Sierra,CCC000649316,WMST0005    ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250117
Sierra,CCC000626243,ADVM0001A   ,095340,D,03.00,03.00,N,C,Y,Y,Y,,,20251017
Sierra,CCC000626244,ADVM0001B   ,095340,D,03.00,03.00,N,C,Y,Y,Y,,,20251017
Sierra,CCC000646976,ALH0023     ,120100,D,05.50,05.50,N,C,Y,Y,Y,,,20251213
Sierra,CCC000646977,ALH0024     ,120100,D,05.50,05.50,N,C,Y,Y,Y,,,20251213
Sierra,CCC000016156,E.SCI.  016C,193000,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Sierra,CCC000024820,POLS0004    ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20240406
Sierra,CCC000025177,ART     040C,100200,D,03.00,02.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000025399,FIRE TEC609 ,213300,C,02.50,02.00,N,B,Y,Y,Y,,,20070917
Sierra,CCC000025652,MINING  049D,099900,D,00.50,00.50,N,B,Y,Y,Y,,,20070917
Sierra,CCC000025740,DFST   0005 ,085010,D,03.00,03.00,N,D,Y,Y,Y,,,20090817
Sierra,CCC000031903,ATHL0158    ,083550,D,03.00,01.00,N,E,Y,Y,Y,,,20200407
Sierra,CCC000032247,ENGL0019    ,150700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Sierra,CCC000032286,C.S.    075 ,070730,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000032549,ESCI0300    ,193000,D,04.00,00.50,N,E,Y,Y,Y,,,20140404
Sierra,CCC000032813,MUS    0060G,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20090818
Sierra,CCC000033028,ECON0028    ,220400,D,03.00,01.00,N,E,Y,Y,Y,,,20200222
Sierra,CCC000033032,P.D.    696 ,493010,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Sierra,CCC000008020,FIRE0632    ,213300,C,00.50,00.50,N,D,Y,Y,Y,,,20191019
Sierra,CCC000008451,ART    0012B,100220,D,03.00,02.00,N,E,Y,Y,Y,,,20090817
Sierra,CCC000009309,AG.     145 ,010200,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000009396,FORESTRY002G,011400,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Sierra,CCC000009691,ADM.JUS.065 ,210530,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Sierra,CCC000009748,C.S.    045 ,070710,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000643170,ESL0840L    ,493086,N,00.00,00.00,N,E,Y,A,Y,,,20250116
Sierra,CCC000643171,ESL0842G    ,493084,N,00.00,00.00,N,E,Y,A,Y,,,20250116
Sierra,CCC000573974,SKDV0020    ,493013,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Sierra,CCC000333327,SKDV0028    ,080100,D,03.00,01.00,N,E,Y,Y,Y,,,20250206
Sierra,CCC000020573,NRSR   0019 ,123010,D,11.00,11.00,N,B,Y,Y,Y,,,20090818
Sierra,CCC000632538,THEA0030    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250927
Sierra,CCC000020811,EN.TECH.607 ,095200,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Sierra,CCC000021110,BIOL0028    ,040100,D,03.00,01.00,N,E,Y,Y,Y,,,20210714
Sierra,CCC000021242,MGT.    010 ,050600,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000021329,ENGIN.  004 ,095730,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000021355,PSYC   0012 ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20090818
Sierra,CCC000022088,JPN0001     ,110800,D,04.00,04.00,N,E,Y,Y,Y,,,20200226
Sierra,CCC000022118,BIOL0016V   ,040100,D,02.00,02.00,N,E,Y,Y,Y,,,20210717
Sierra,CCC000030378,BUS.    121B,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Sierra,CCC000161884,MUS0002     ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Sierra,CCC000588177,ALH0003     ,120800,D,02.50,02.50,N,C,Y,Y,Y,,,20251205
Sierra,CCC000608501,ALH0009     ,120800,D,03.00,03.00,N,C,Y,Y,Y,,,20251205
Sierra,CCC000592123,ALH0020     ,120100,D,01.00,01.00,N,C,Y,Y,Y,,,20251205
Sierra,CCC000208416,ANTH0027    ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20251213
Sierra,CCC000003854,ANTH0028    ,220200,D,03.00,01.00,N,E,Y,Y,Y,,,20251213
Sierra,CCC000033531,A.T.    010 ,094800,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
Sierra,CCC000033700,ADMJ0095    ,210500,D,04.00,00.50,N,C,Y,Y,Y,,,20240316
Sierra,CCC000034214,MGT.    061 ,050600,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000035163,PHED0008    ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20191019
Sierra,CCC000035261,GEOG0091B   ,220610,D,01.00,01.00,N,C,Y,Y,Y,,,20210226
Sierra,CCC000035302,ANTHRO. 098A,220200,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Sierra,CCC000042578,BIOL0095    ,040100,D,04.00,00.50,N,E,Y,Y,Y,,,20240316
Sierra,CCC000042598,FIRE0641    ,213300,C,01.50,01.50,N,C,Y,Y,Y,,,20191019
Sierra,CCC000042769,BUS0048     ,050500,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
Sierra,CCC000043181,DRMA   0019B,100600,D,03.00,03.00,N,D,Y,Y,Y,,,20090817
Sierra,CCC000043190,ADM.JUS.400A,210500,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Sierra,CCC000043379,FORESTRY005 ,011400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
