TOP6 with Title,College Name,Award Level,2020-2021,2021-2022,2022-2023,Annual Projected Supply
"010100 - Agriculture Technology and Sciences, General",Allan Hancock,Associate Degree,4,3,5,4
"010100 - Agriculture Technology and Sciences, General",Allan Hancock,Certificate (16<30 semester units),3,3,2,2.67
"010100 - Agriculture Technology and Sciences, General",Butte,Associate Degree,4,2,2,2.67
"010100 - Agriculture Technology and Sciences, General",Cabrillo,Certificate (30<60 semester units),0,1,0,0.5
"010100 - Agriculture Technology and Sciences, General",Cabrillo,Associate Degree,0,2,0,1
"010100 - Agriculture Technology and Sciences, General",Cosumnes River,Certificate (6<18 semester units),0,0,1,1
"010100 - Agriculture Technology and Sciences, General",Feather River,Associate Degree,26,15,0,13.67
"010100 - Agriculture Technology and Sciences, General",Feather River,Associate Degree,0,0,23,23
"010100 - Agriculture Technology and Sciences, General",Feather River,Certificate (6<18 semester units),0,0,1,1
"010100 - Agriculture Technology and Sciences, General",Feather River,Certificate (8<16 semester units),0,0,2,2
"010100 - Agriculture Technology and Sciences, General",Hartnell,Associate Degree,6,10,3,6.33
"010100 - Agriculture Technology and Sciences, General",Hartnell,Certificate (30<60 semester units),0,14,2,8
"010100 - Agriculture Technology and Sciences, General",Hartnell,Certificate (16<30 semester units),6,0,0,2
"010100 - Agriculture Technology and Sciences, General",Imperial,Associate Degree,0,0,1,1
"010100 - Agriculture Technology and Sciences, General",Lassen,Certificate (30<60 semester units),0,1,2,1.5
"010100 - Agriculture Technology and Sciences, General",Lassen,Associate Degree,1,0,1,0.67
"010100 - Agriculture Technology and Sciences, General",Lassen,Associate Degree,0,1,2,1.5
"010100 - Agriculture Technology and Sciences, General",Mendocino,Certificate (30<60 semester units),1,0,1,0.67
"010100 - Agriculture Technology and Sciences, General",Merced,Certificate (30<60 semester units),1,0,0,0.33
"010100 - Agriculture Technology and Sciences, General",Merced,Associate Degree,9,3,5,5.67
"010100 - Agriculture Technology and Sciences, General",Merced,Associate Degree,2,3,1,2
"010100 - Agriculture Technology and Sciences, General",Modesto,Certificate (8<16 semester units),8,15,10,11
"010100 - Agriculture Technology and Sciences, General",Modesto,Associate Degree,4,7,3,4.67
"010100 - Agriculture Technology and Sciences, General",Mt San Antonio,Associate Degree,0,3,0,1.5
"010100 - Agriculture Technology and Sciences, General",Porterville,Associate Degree,9,7,4,6.67
"010100 - Agriculture Technology and Sciences, General",Redwoods,Associate Degree,1,1,8,3.33
"010100 - Agriculture Technology and Sciences, General",Redwoods,Associate Degree,0,0,2,2
"010100 - Agriculture Technology and Sciences, General",Reedley College,Associate Degree,1,1,3,1.67
"010100 - Agriculture Technology and Sciences, General",Reedley College,Certificate (16<30 semester units),0,1,0,0.5
"010100 - Agriculture Technology and Sciences, General",Santa Rosa,Certificate (16<30 semester units),3,1,1,1.67
"010100 - Agriculture Technology and Sciences, General",Santa Rosa,Associate Degree,4,5,5,4.67
"010100 - Agriculture Technology and Sciences, General",Shasta,Associate Degree,2,3,7,4
"010100 - Agriculture Technology and Sciences, General",Shasta,Associate Degree,5,2,5,4
"010100 - Agriculture Technology and Sciences, General",Sierra,Certificate (16<30 semester units),18,16,9,14.33
"010100 - Agriculture Technology and Sciences, General",Sierra,Associate Degree,18,14,10,14
"010100 - Agriculture Technology and Sciences, General",West Hills Coalinga,Certificate (16<30 semester units),0,21,21,21
"010100 - Agriculture Technology and Sciences, General",West Hills Coalinga,Associate Degree,22,21,17,20
"010100 - Agriculture Technology and Sciences, General",Woodland,Associate Degree,3,1,2,2
"010100 - Agriculture Technology and Sciences, General",Yuba,Associate Degree,1,0,1,0.67
010200 - Animal Science,Bakersfield,Associate Degree,2,0,0,0.67
010200 - Animal Science,Bakersfield,Certificate (30<60 semester units),0,2,0,1
010200 - Animal Science,Bakersfield,Associate Degree,12,18,13,14.33
010200 - Animal Science,Bakersfield,Associate Degree for Transfer,12,19,12,14.33
010200 - Animal Science,Feather River,Bachelor's Degree,10,12,19,13.67
010200 - Animal Science,Lassen,Associate Degree for Transfer,0,1,4,2.5
010200 - Animal Science,Merced,Associate Degree for Transfer,0,0,9,9
010200 - Animal Science,Merced,Associate Degree,5,9,3,5.67
010200 - Animal Science,Modesto,Associate Degree,11,13,5,9.67
010200 - Animal Science,Modesto,Associate Degree for Transfer,11,10,12,11
010200 - Animal Science,Moorpark,Certificate (30<60 semester units),43,37,32,37.33
010200 - Animal Science,Moorpark,Associate Degree,29,33,32,31.33
010200 - Animal Science,Mt San Antonio,Certificate (6<18 semester units),17,23,8,16
010200 - Animal Science,Mt San Antonio,Associate Degree,5,6,9,6.67
010200 - Animal Science,Mt San Antonio,Certificate (16<30 semester units),2,4,8,4.67
010200 - Animal Science,Mt San Antonio,Certificate (8<16 semester units),0,0,8,8
010200 - Animal Science,Reedley College,Associate Degree for Transfer,24,20,13,19
010200 - Animal Science,Reedley College,Associate Degree,0,1,1,1
010200 - Animal Science,Reedley College,Certificate (16<30 semester units),1,5,3,3
010200 - Animal Science,San Joaquin Delta,Associate Degree for Transfer,0,2,0,1
010200 - Animal Science,Santa Rosa,Associate Degree for Transfer,0,1,2,1.5
010200 - Animal Science,Santa Rosa,Associate Degree,0,1,1,1
010200 - Animal Science,Sequoias,Associate Degree for Transfer,23,21,14,19.33
010200 - Animal Science,Sequoias,Associate Degree,4,1,4,3
010200 - Animal Science,Sequoias,Certificate (16<30 semester units),4,6,22,10.67
010200 - Animal Science,Shasta,Associate Degree for Transfer,4,10,4,6
010200 - Animal Science,Victor Valley,Certificate (16<30 semester units),0,10,11,10.5
010200 - Animal Science,Victor Valley,Associate Degree for Transfer,5,5,7,5.67
010200 - Animal Science,Woodland,Associate Degree for Transfer,0,1,1,1
010200 - Animal Science,Yuba,Certificate (16<30 semester units),0,0,2,2
010200 - Animal Science,Yuba,Certificate (8<16 semester units),0,13,3,8
010210 - Veterinary Technician (Licensed),Allan Hancock,Certificate (16<30 semester units),8,3,6,5.67
010210 - Veterinary Technician (Licensed),Cosumnes River,Associate Degree,1,15,9,8.33
010210 - Veterinary Technician (Licensed),Cosumnes River,Certificate (30<60 semester units),0,6,10,8
010210 - Veterinary Technician (Licensed),Foothill,Certificate (8<16 semester units),0,4,8,6
010210 - Veterinary Technician (Licensed),Foothill,Associate Degree,26,26,28,26.67
010210 - Veterinary Technician (Licensed),LA Pierce,Associate Degree,25,23,34,27.33
010210 - Veterinary Technician (Licensed),Modesto,Certificate (8<16 semester units),20,0,0,6.67
010210 - Veterinary Technician (Licensed),Modesto,Certificate (16<30 semester units),13,38,28,26.33
010210 - Veterinary Technician (Licensed),Modesto,Associate Degree,18,25,22,21.67
010210 - Veterinary Technician (Licensed),Mt San Antonio,Associate Degree,11,15,52,26
010210 - Veterinary Technician (Licensed),San Diego Mesa,Associate Degree,20,20,12,17.33
010210 - Veterinary Technician (Licensed),Santa Rosa,Certificate (16<30 semester units),26,37,21,28
010210 - Veterinary Technician (Licensed),Ventura,Associate Degree,0,0,16,16
010210 - Veterinary Technician (Licensed),Ventura,Certificate (16<30 semester units),0,39,19,29
010210 - Veterinary Technician (Licensed),Yuba,Associate Degree,16,10,22,16
"010220 - Artificial Inseminator (Licensed)                                          ",Modesto,Certificate (8<16 semester units),0,2,1,1.5
"010220 - Artificial Inseminator (Licensed)                                          ",Modesto,Certificate (16<30 semester units),1,6,4,3.67
010230 - Dairy Science,Modesto,Associate Degree,3,7,2,4
010230 - Dairy Science,Sequoias,Certificate (6<18 semester units),0,0,4,4
010240 - Equine Science,Cosumnes River,Associate Degree,2,1,0,1
010240 - Equine Science,Feather River,Certificate (30<60 semester units),2,3,2,2.33
010240 - Equine Science,Feather River,Associate Degree,0,0,11,11
