,,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020
,,Median Wage 2 Years Before Award,Median Wage 2 Years After Award,Median Wage 5 Years After Award,Total Awards
Accounting-050200,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$34,203","$51,082","$64,029","1,448"
,Chancellor's Office Approved Certificates Recipient                        ,"$32,822","$50,434","$63,897","1,090"
,Locally Approved Certificates Recipient                                    ,"$33,096","$54,470","$66,956",452
Administration of Justice-210500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,631","$40,524","$55,643","1,879"
,Chancellor's Office Approved Certificates Recipient                        ,"$25,831","$55,311","$70,728",347
,Locally Approved Certificates Recipient                                    ,"$105,187","$115,847","$119,045","2,422"
Administrative Medical Assisting-120820,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,286","$38,287","$49,443",47
,Chancellor's Office Approved Certificates Recipient                        ,"$22,047","$37,048","$47,209",155
Aeronautical and Aviation Technology-095000,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,890","$66,061","$82,951",59
,Chancellor's Office Approved Certificates Recipient                        ,"$21,824","$66,172","$83,022",107
Agricultural Power Equipment Technology-011600,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,373","$63,565","$71,618",18
,Chancellor's Office Approved Certificates Recipient                        ,"$20,674","$53,522","$66,752",122
"Agriculture Business, Sales and Service-011200",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$27,658","$44,054","$72,484",46
,Chancellor's Office Approved Certificates Recipient                        ,"$23,992","$50,448","$67,616",16
"Agriculture Technology and Sciences, General-010100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$13,028","$37,388","$55,191",54
Air Traffic Control-302030,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$24,360","$34,550","$40,989",32
Aircraft Fabrication-095050,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$34,185","$67,113","$72,489",20
,Locally Approved Certificates Recipient                                    ,"$33,856","$68,311","$77,296",18
Alcohol and Controlled Substances-210440,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$21,999","$40,588","$53,599",220
,Chancellor's Office Approved Certificates Recipient                        ,"$27,327","$43,715","$57,902",463
,Locally Approved Certificates Recipient                                    ,"$32,217","$41,264","$47,455",80
Alternative Fuels and Advanced Transportation Technology-094840,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$32,256","$73,943","$74,451",29
American Studies-220120,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$33,714","$32,310","$50,602",53
Animal Science-010200,,,,,
