soc,sector_id,coe_skill_level,title
17-2061,adm,Above Middle Skill,Computer Hardware Engineers
17-2071,adm,Above Middle Skill,Electrical Engineers
17-2112,adm,Above Middle Skill,Industrial Engineers
17-2131,adm,Above Middle Skill,Materials Engineers
17-2141,adm,Above Middle Skill,Mechanical Engineers
17-3012,adm,Middle Skill,Electrical and Electronics Drafters
17-3013,adm,Middle Skill,Mechanical Drafters
17-3019,adm,Middle Skill,"Drafters, All Other"
17-3023,adm,Middle Skill,Electrical and Electronic Engineering Technologists and Technicians
17-3024,adm,Middle Skill,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3026,adm,Middle Skill,Industrial Engineering Technologists and Technicians
17-3027,adm,Middle Skill,Mechanical Engineering Technologists and Technicians
17-3028,adm,Middle Skill,Calibration Technologists and Technicians
17-3029,adm,Middle Skill,"Engineering Technologists and Technicians, Except Drafters, All Other"
19-2032,adm,Above Middle Skill,Materials Scientists
19-5011,adm,Above Middle Skill,Occupational Health and Safety Specialists
19-5012,adm,Middle Skill,Occupational Health and Safety Technicians
27-1021,adm,Above Middle Skill,Commercial and Industrial Designers
27-1027,adm,Above Middle Skill,Set and Exhibit Designers
43-5111,adm,Below Middle Skill,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
49-2011,adm,Middle Skill,"Computer, Automated Teller, and Office Machine Repairers"
49-2092,adm,Middle Skill,"Electric Motor, Power Tool, and Related Repairers"
49-2094,adm,Middle Skill,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
49-9012,adm,Middle Skill,"Control and Valve Installers and Repairers, Except Mechanical Door"
49-9031,adm,Middle Skill,Home Appliance Repairers
49-9041,adm,Middle Skill,Industrial Machinery Mechanics
49-9043,adm,Middle Skill,"Maintenance Workers, Machinery"
49-9044,adm,Middle Skill,Millwrights
49-9063,adm,Middle Skill,Musical Instrument Repairers and Tuners
49-9064,adm,Middle Skill,Watch and Clock Repairers
49-9069,adm,Middle Skill,"Precision Instrument and Equipment Repairers, All Other"
49-9091,adm,Below Middle Skill,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9094,adm,Middle Skill,Locksmiths and Safe Repairers
51-1011,adm,Middle Skill,First-Line Supervisors of Production and Operating Workers
51-2021,adm,Below Middle Skill,"Coil Winders, Tapers, and Finishers"
51-2028,adm,Middle Skill,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
51-2031,adm,Below Middle Skill,Engine and Other Machine Assemblers
51-2041,adm,Below Middle Skill,Structural Metal Fabricators and Fitters
51-2051,adm,Below Middle Skill,Fiberglass Laminators and Fabricators
51-2061,adm,Below Middle Skill,Timing Device Assemblers and Adjusters
51-2098,adm,Below Middle Skill,Miscellaneous Assemblers and Fabricators
51-3022,adm,Below Middle Skill,"Meat, Poultry, and Fish Cutters and Trimmers"
51-3023,adm,Below Middle Skill,Slaughterers and Meat Packers
51-3091,adm,Below Middle Skill,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092,adm,Below Middle Skill,Food Batchmakers
51-3093,adm,Below Middle Skill,Food Cooking Machine Operators and Tenders
51-3099,adm,Below Middle Skill,"Food Processing Workers, All Other"
