sector_id,soc,title
adm,17-3012,Electrical and Electronics Drafters
adm,17-3013,Mechanical Drafters
adm,17-3019,"Drafters, All Other"
adm,17-3023,Electrical and Electronic Engineering Technologists and Technicians
adm,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
adm,17-3026,Industrial Engineering Technologists and Technicians
adm,17-3027,Mechanical Engineering Technologists and Technicians
adm,17-3028,Calibration Technologists and Technicians
adm,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
adm,19-5012,Occupational Health and Safety Technicians
adm,49-2011,"Computer, Automated Teller, and Office Machine Repairers"
adm,49-2092,"Electric Motor, Power Tool, and Related Repairers"
adm,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
adm,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
adm,49-9031,Home Appliance Repairers
adm,49-9041,Industrial Machinery Mechanics
adm,49-9043,"Maintenance Workers, Machinery"
adm,49-9044,Millwrights
adm,49-9063,Musical Instrument Repairers and Tuners
adm,49-9064,Watch and Clock Repairers
adm,49-9069,"Precision Instrument and Equipment Repairers, All Other"
adm,49-9094,Locksmiths and Safe Repairers
adm,51-1011,First-Line Supervisors of Production and Operating Workers
adm,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
adm,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4041,Machinists
adm,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
adm,51-4111,Tool and Die Makers
adm,51-4121,"Welders, Cutters, Solderers, and Brazers"
adm,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
adm,51-4199,"Metal Workers and Plastic Workers, All Other"
adm,51-5111,Prepress Technicians and Workers
adm,51-5112,Printing Press Operators
adm,51-7031,"Model Makers, Wood"
adm,51-7032,"Patternmakers, Wood"
adm,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
adm,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
adm,51-7099,"Woodworkers, All Other"
adm,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
adm,51-9071,Jewelers and Precious Stone and Metal Workers
adm,51-9083,Ophthalmic Laboratory Technicians
adm,51-9141,Semiconductor Processing Technicians
adm,51-9161,Computer Numerically Controlled Tool Operators
adm,51-9162,Computer Numerically Controlled Tool Programmers
adm,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
agwet,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
agwet,17-3025,Environmental Engineering Technologists and Technicians
agwet,19-4012,Agricultural Technicians
agwet,19-4013,Food Science Technicians
agwet,19-4071,Forest and Conservation Technicians
agwet,27-1023,Floral Designers
agwet,29-2056,Veterinary Technologists and Technicians
agwet,31-9096,Veterinary Assistants and Laboratory Animal Caretakers
agwet,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
agwet,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
agwet,39-2011,Animal Trainers
agwet,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
agwet,45-2011,Agricultural Inspectors
agwet,45-4011,Forest and Conservation Workers
agwet,47-4041,Hazardous Materials Removal Workers
agwet,49-3041,Farm Equipment Mechanics and Service Technicians
atl,11-3071,"Transportation, Storage, and Distribution Managers"
atl,13-1081,Logisticians
atl,17-3021,Aerospace Engineering and Operations Technologists and Technicians
atl,43-5011,Cargo and Freight Agents
atl,43-5061,"Production, Planning, and Expediting Clerks"
atl,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
atl,49-2091,Avionics Technicians
atl,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
atl,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
atl,49-3011,Aircraft Mechanics and Service Technicians
atl,49-3021,Automotive Body and Related Repairers
atl,49-3023,Automotive Service Technicians and Mechanics
atl,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
atl,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
atl,49-3043,Rail Car Repairers
atl,49-3051,Motorboat Mechanics and Service Technicians
atl,49-3052,Motorcycle Mechanics
atl,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics
atl,49-3092,Recreational Vehicle Service Technicians
atl,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
atl,53-1041,Aircraft Cargo Handling Supervisors
atl,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
atl,53-2012,Commercial Pilots
atl,53-2021,Air Traffic Controllers
atl,53-2022,Airfield Operations Specialists
atl,53-3032,Heavy and Tractor-Trailer Truck Drivers
atl,53-3051,"Bus Drivers, School"
atl,53-3052,"Bus Drivers, Transit and Intercity"
atl,53-3053,Shuttle Drivers and Chauffeurs
atl,53-4011,Locomotive Engineers
atl,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
atl,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
atl,53-4031,Railroad Conductors and Yardmasters
atl,53-4041,Subway and Streetcar Operators
atl,53-4099,"Rail Transportation Workers, All Other"
atl,53-5021,"Captains, Mates, and Pilots of Water Vessels"
atl,53-5022,Motorboat Operators
atl,53-5031,Ship Engineers
atl,53-6051,Transportation Inspectors
atl,53-7021,Crane and Tower Operators
biotech,19-4021,Biological Technicians
biotech,19-4031,Chemical Technicians
biotech,19-4099,"Life, Physical, and Social Science Technicians, All Other"
biotech,31-9097,Phlebotomists
biotech,49-9062,Medical Equipment Repairers
biotech,51-8091,Chemical Plant and System Operators
biotech,51-9011,Chemical Equipment Operators and Tenders
business,11-1021,General and Operations Managers
business,11-3012,Administrative Services Managers
business,11-3013,Facilities Managers
business,11-9141,"Property, Real Estate, and Community Association Managers"
business,11-9171,Funeral Home Managers
business,13-1028,Buyers and Purchasing Agents
business,13-1031,"Claims Adjusters, Examiners, and Investigators"
business,13-1032,"Insurance Appraisers, Auto Damage"
business,13-1051,Cost Estimators
business,13-2028,Property Appraisers and Assessors
business,13-2082,Tax Preparers
business,23-2093,"Title Examiners, Abstractors, and Searchers"
business,39-4011,Embalmers
business,39-4031,"Morticians, Undertakers, and Funeral Arrangers"
business,39-5011,Barbers
business,39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
business,39-5091,"Makeup Artists, Theatrical and Performance"
business,39-5092,Manicurists and Pedicurists
business,39-5094,Skincare Specialists
business,41-1012,First-Line Supervisors of Non-Retail Sales Workers
business,41-3011,Advertising Sales Agents
business,41-3021,Insurance Sales Agents
business,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
business,41-9021,Real Estate Brokers
business,41-9022,Real Estate Sales Agents
business,41-9099,"Sales and Related Workers, All Other"
business,43-1011,First-Line Supervisors of Office and Administrative Support Workers
business,43-3011,Bill and Account Collectors
business,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
business,43-3051,Payroll and Timekeeping Clerks
business,43-3061,Procurement Clerks
business,43-3071,Tellers
business,43-4011,Brokerage Clerks
business,43-4041,"Credit Authorizers, Checkers, and Clerks"
business,43-4051,Customer Service Representatives
business,43-4071,File Clerks
business,43-4131,Loan Interviewers and Clerks
business,43-4141,New Accounts Clerks
business,43-4151,Order Clerks
business,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
business,43-4171,Receptionists and Information Clerks
business,43-6011,Executive Secretaries and Executive Administrative Assistants
business,43-6012,Legal Secretaries and Administrative Assistants
business,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
business,43-9041,Insurance Claims and Policy Processing Clerks
business,43-9061,"Office Clerks, General"
business,43-9111,Statistical Assistants
ecu,17-3011,Architectural and Civil Drafters
ecu,17-3022,Civil Engineering Technologists and Technicians
ecu,17-3031,Surveying and Mapping Technicians
ecu,19-4042,"Environmental Science and Protection Technicians, Including Health"
ecu,19-4043,"Geological Technicians, Except Hydrologic Technicians"
