College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Alameda,CCC000346206,DENTL225    ,124010,D,03.00,03.00,N,C,Y,Y,Y,,,20250620
Alameda,CCC000376010,DENTL227    ,124010,D,02.00,02.00,N,C,Y,Y,Y,,,20250620
Alameda,CCC000508224,DENTL228A   ,124010,D,02.00,02.00,N,B,Y,Y,Y,,,20250620
Alameda,CCC000508225,DENTL228B   ,124010,D,05.00,05.00,N,B,Y,Y,Y,,,20250620
Alameda,CCC000368511,DENTL229    ,124010,D,01.50,01.50,N,C,Y,Y,Y,,,20250620
Alameda,CCC000511227,DENTL230    ,124010,D,00.50,00.50,N,C,Y,Y,Y,,,20250620
Alameda,CCC000360979,CIS  031    ,070100,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Alameda,CCC000360992,ENGL 257    ,493030,C,04.00,01.00,B,E,B,Y,Y,,,20080806
Alameda,CCC000361004,AMT  061A   ,095010,D,08.50,08.50,N,C,Y,Y,Y,,,20070919
Alameda,CCC000361013,AVIAM070B   ,095000,D,07.00,07.00,N,B,Y,Y,Y,,,20070919
Alameda,CCC000361020,SP/ED048    ,080200,D,09.00,00.50,N,C,Y,Y,Y,,,20070919
Alameda,CCC000361139,ADAM234     ,130310,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Alameda,CCC000361172,BUS  233A   ,051400,D,02.00,02.00,N,D,Y,Y,Y,,,20070919
Alameda,CCC000361183,MATH012     ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20191210
Alameda,CCC000361205,DENTL226    ,124010,D,02.50,02.50,N,C,Y,Y,Y,,,20070919
Alameda,CCC000361229,BUS  207A   ,051400,D,05.00,03.00,N,C,Y,Y,Y,,,20070919
Alameda,CCC000361239,ENGL 030B   ,150300,D,05.00,03.00,N,E,Y,Y,Y,,,20070919
Alameda,CCC000361323,PHIL010     ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Alameda,CCC000377456,MATH 204A   ,170100,D,05.00,05.00,N,E,A,Y,Y,,,20070919
Alameda,CCC000377487,ATECH348AD  ,094800,C,00.50,00.50,N,C,Y,Y,Y,,,20070919
Alameda,CCC000377547,COUN224     ,493010,D,03.00,02.00,N,E,Y,Y,Y,,,20191019
Alameda,CCC000377587,ENGL 017B   ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Alameda,CCC000377591,MATH002     ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20191206
Alameda,CCC000377605,SPAN001C    ,110500,D,05.00,05.00,N,E,Y,Y,Y,,,20191019
Alameda,CCC000377615,APPR482     ,094800,C,04.00,04.00,N,A,Y,Y,Y,,,20191019
Alameda,CCC000377632,AVIAM060E   ,095000,D,07.00,07.00,N,B,Y,Y,Y,,,20070919
Alameda,CCC000377674,ESL  256B   ,493084,C,05.00,05.00,B,E,D,Y,Y,,,20100324
