College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Antelope Valley,CCC000004257,FTEC 139    ,213310,D,03.00,03.00,N,D,Y,Y,Y,,,20080619
Antelope Valley,CCC000004372,CNST TEC 61C,095200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000005332,BIOL102     ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20230823
Antelope Valley,CCC000005369,FTEC 149    ,213310,D,00.50,00.50,N,D,Y,Y,Y,,,20080619
Antelope Valley,CCC000007020,FTEC199     ,213300,D,04.00,01.00,N,C,Y,Y,Y,,,20191019
Antelope Valley,CCC000007865,WELD V-D    ,095650,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
Antelope Valley,CCC000014120,OT 103L     ,051400,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000015016,ESL 045     ,493084,C,03.00,03.00,B,E,E,Y,Y,,,20100621
Antelope Valley,CCC000015119,OT 105L     ,051400,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000289191,BIOL104     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250720
Antelope Valley,CCC000648535,BIOL199     ,040100,D,08.00,01.00,N,E,Y,Y,Y,,,20250720
Antelope Valley,CCC000648536,BIOL206     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250720
Antelope Valley,CCC000630437,BIOL304     ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20250720
Antelope Valley,CCC000641001,MGT202      ,050500,D,03.00,03.00,N,C,Y,Y,Y,,,20251026
Antelope Valley,CCC000216275,MKTG101     ,050900,D,03.00,03.00,N,D,Y,Y,Y,,,20251026
Antelope Valley,CCC000629893,AFMT320     ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000629894,AFMT330     ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000629895,AFMT340     ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000635649,AFMT341     ,095000,D,06.00,06.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000629897,AFMT345     ,095000,D,06.00,06.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000002871,PSYCH 43D   ,200100,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
Antelope Valley,CCC000622233,MUS131      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251026
Antelope Valley,CCC000003631,WE 98R4     ,493200,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000622234,MUS132      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251026
Antelope Valley,CCC000012036,OT 146      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000012180,ENGR 116    ,092400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000012249,CA 111L     ,070210,D,00.00,00.00,N,D,Y,Y,Y,,,20080619
Antelope Valley,CCC000012498,OT 101L     ,051400,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000012545,KIN 230     ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20120731
Antelope Valley,CCC000013556,MGT 123     ,050600,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000013780,OT 102L     ,051400,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000013800,ESL 035     ,493087,C,05.00,05.00,B,E,F,Y,Y,,,20100621
Antelope Valley,CCC000634717,NS201A      ,123010,D,03.00,03.00,N,D,Y,Y,Y,,,20251026
Antelope Valley,CCC000560253,NS202A      ,123010,D,05.50,05.50,N,D,Y,Y,Y,,,20251026
Antelope Valley,CCC000302430,MATH150     ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20251115
Antelope Valley,CCC000633839,MATH150H    ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20251115
Antelope Valley,CCC000640908,THA115C     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251115
Antelope Valley,CCC000640909,THA116C     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20251115
Antelope Valley,CCC000015899,OT 107L     ,051400,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000648620,ABDY900     ,094900,N,00.00,00.00,N,A,Y,J,B,,,20250612
Antelope Valley,CCC000648621,AUTO900     ,094800,N,00.00,00.00,N,C,Y,I,B,,,20250612
Antelope Valley,CCC000016422,AGRI 120    ,010900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000654671,BIP996      ,070210,N,00.00,00.00,N,D,Y,J,Y,,,20251028
Antelope Valley,CCC000026175,MKTG 199    ,050900,D,04.00,01.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000238040,COMM217     ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000215663,ECON110     ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000337640,ECONC2001   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000633574,ECONC2001H  ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000308012,ECONC2002   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000633573,ECONC2002H  ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000522292,ELTE199     ,093400,D,08.00,01.00,N,C,Y,Y,Y,,,20251107
Antelope Valley,CCC000190025,ENGL221     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000109707,ENGL222     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000325991,ENGL225     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000546905,ENGL227     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000547086,ENGL230     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000547577,ENGL231     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000325484,ENGL235     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000547087,ENGL242     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000547089,ENGL253     ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20251107
Antelope Valley,CCC000654776,AFAB110     ,095000,D,03.00,03.00,N,D,Y,Y,Y,,,20251109
Antelope Valley,CCC000654777,AFAB115     ,095000,D,08.00,08.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000654778,AFAB120     ,095000,D,07.00,07.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000654779,AFAB130     ,095000,D,04.00,04.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000654780,AFAB140     ,095000,D,02.00,02.00,N,D,Y,Y,Y,,,20251109
Antelope Valley,CCC000654781,AFAB150     ,095000,D,07.00,07.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000634213,VN123       ,123020,D,06.75,06.75,N,C,Y,Y,Y,,,20251115
Antelope Valley,CCC000654782,AFAB210     ,095000,D,04.00,04.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000654783,AFAB220     ,095000,D,07.00,07.00,N,C,Y,Y,B,,,20251109
Antelope Valley,CCC000385452,HIST118     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000054696,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000633561,HISTC1001H  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000084281,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000633931,HISTC1002H  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000634753,JOUR121     ,060200,D,03.00,03.00,N,C,Y,Y,Y,,,20251109
Antelope Valley,CCC000555609,KINT100     ,127000,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000640994,KINT115     ,083500,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000332705,LIB107      ,160100,D,03.00,03.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000334337,LIB110      ,160100,D,01.00,01.00,N,E,Y,Y,Y,,,20251109
Antelope Valley,CCC000000128,FSCI 233    ,213300,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Antelope Valley,CCC000000801,FSCI 198C   ,213300,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Antelope Valley,CCC000011110,ELTE 222    ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000011199,OT 142      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Antelope Valley,CCC000011324,OT 53B      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
