College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Cerro Coso,CCC000002019,BSAD 89GD618,050600,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Cerro Coso,CCC000002250,CSCI 69WD746,070210,D,01.00,00.50,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000002325,FIREC69DR   ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000002357,HIST8A 980  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000002462,MUSCC173    ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20100614
Cerro Coso,CCC000002510,MUSIC99YB357,100400,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000003269,MUSC 49D 617,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000003362,GS 99AS214  ,170100,C,00.00,00.00,B,E,Y,Y,Y,,,20100706
Cerro Coso,CCC000003619,EQSC 69AP572,010240,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000012126,CS 49N 116  ,070800,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Cerro Coso,CCC000012149,ART 48F 894 ,100200,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000012213,SOCIC210    ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20240925
Cerro Coso,CCC000012525,GEOL 049R328,191400,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000012603,PE 43B 311  ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000013122,PSER99GE948 ,493062,C,00.50,00.50,B,E,A,Y,Y,,,20070917
Cerro Coso,CCC000013217,PHSCC66     ,193000,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000013298,BSADC201    ,050100,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000013672,CS 49AC136  ,070710,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000013727,FIREC6      ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000643148,AEROC104X   ,095010,D,07.50,07.50,N,B,Y,Y,Y,,,20250110
Cerro Coso,CCC000322310,LATNC102    ,110900,D,04.00,04.00,N,E,Y,Y,Y,,,20251017
Cerro Coso,CCC000015842,HIST 26 592 ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000016105,CGMMC69TP   ,061440,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000016130,DRFTE60B 533,095300,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000016252,PE 50C 627  ,083550,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000016283,CHDVC199I   ,130500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000024499,HISTC17AH   ,220500,D,04.00,04.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000024500,DRMAC049    ,493012,C,01.00,01.00,N,E,Y,Y,Y,,,20160523
Cerro Coso,CCC000024734,ART 89FS666 ,101100,D,01.00,00.50,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000025219,RCRMC89MM   ,083600,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000025299,ADMJC099Z   ,210500,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000025319,ADMJ69ST139 ,210500,D,08.00,08.00,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000025582,CS 89NE297  ,070210,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Cerro Coso,CCC000025973,GNST 99BK586,493072,C,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000529054,BIOLC145    ,030200,D,04.00,04.00,N,E,Y,Y,Y,,,20260118
Cerro Coso,CCC000656214,BSADC070    ,050100,D,03.00,03.00,N,C,Y,Y,Y,,,20251221
Cerro Coso,CCC000656215,BSADC072    ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20251221
Cerro Coso,CCC000656216,COLLC102    ,493013,D,02.00,02.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000656134,ENGLC1002   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000656135,ENGLC1003H  ,150100,D,05.00,05.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000656217,HCRSC055    ,123030,C,05.50,05.50,N,C,Y,Y,Y,,,20251221
Cerro Coso,CCC000656136,ITC105X     ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20251221
Cerro Coso,CCC000656137,ITC176X     ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20251221
Cerro Coso,CCC000656138,ITC275X     ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20251221
Cerro Coso,CCC000656139,KINSC108    ,127000,D,01.00,01.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000316010,MATHC141    ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000323321,MATHC142    ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000608440,MATHC251    ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000226745,MATHC255    ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000504279,MATHC257    ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20251221
Cerro Coso,CCC000034405,POLSC1      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000034837,MATH 89A 930,170100,C,00.00,00.00,B,E,Y,Y,Y,,,20100706
Cerro Coso,CCC000034951,CSCIC89OS   ,070100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000035358,DRFTE61B 617,095300,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000035372,CGMMC50     ,061460,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Cerro Coso,CCC000043451,ARTC198B    ,100230,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000043748,DRMAC98A    ,100700,C,02.00,00.50,N,E,Y,Y,Y,,,20070917
Cerro Coso,CCC000043824,ET 69BE174  ,093400,D,01.50,01.50,N,B,Y,Y,Y,,,20070917
Cerro Coso,CCC000043954,GNST 97 495 ,150100,C,00.00,00.00,B,E,Y,Y,Y,,,20100706
Cerro Coso,CCC000044022,BIOLC69CP   ,040800,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
