College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Crafton Hills,CCC000657997,DANCE115B   ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260126
Crafton Hills,CCC000657998,DANCE116A   ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260126
Crafton Hills,CCC000657999,DANCE116B   ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260126
Crafton Hills,CCC000658000,DANCE117A   ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260126
Crafton Hills,CCC000658001,DANCE117B   ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260126
Crafton Hills,CCC000647528,CNAN650     ,120510,N,00.00,00.00,N,C,Y,I,Y,,,20250126
Crafton Hills,CCC000647529,CNAN651     ,120510,N,00.00,00.00,N,C,Y,I,Y,,,20250126
Crafton Hills,CCC000642957,MULTI214    ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20260318
Crafton Hills,CCC000430102,CDEV295     ,130500,D,03.00,03.00,N,B,Y,Y,Y,,,20260314
Crafton Hills,CCC000427715,SPEECH 121  ,150600,D,03.00,03.00,N,E, ,Y,X,,,20070919
Crafton Hills,CCC000427716,B&OT 050B   ,051400,D,03.00,01.00,N,D,Y,Y,Y,,,20080917
Crafton Hills,CCC000427721,FIRET 095C  ,213300,D,04.00,00.25,N,C,Y,Y,Y,,,20080917
Crafton Hills,CCC000427725,PE-I 105C   ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20080917
Crafton Hills,CCC000427730,FIRET-225CX3,213300,D,04.00,00.25,N,C,Y,Y,Y,,,20080917
Crafton Hills,CCC000427732,ART124B     ,100200,D,03.00,01.50,N,E,Y,Y,Y,,,20191019
Crafton Hills,CCC000427751,GEOG-119C   ,220600,D,01.00,00.25,N,E,Y,Y,Y,,,20080917
Crafton Hills,CCC000427758,RADIOL 109  ,122500,D,01.25,01.25,N,C,Y,Y,Y,,,20080917
Crafton Hills,CCC000427766,HIST135     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Crafton Hills,CCC000427773,HIST161     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Crafton Hills,CCC000427780,RADIOL-110  ,122500,D,01.25,01.25,N,C,Y,Y,Y,,,20070919
Crafton Hills,CCC000427784,PE/I-200EX3 ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20080917
Crafton Hills,CCC000427793,B&OT 109    ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20080917
