College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Diablo Valley,CCC000002481,CIS-042P    ,070210,C,00.30,00.30,N,D,Y,Y,Y,,,20100324
Diablo Valley,CCC000003720,LS-150D     ,160100,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000003781,ASTRO-200   ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000004005,PLUMB-150B  ,095230,D,02.00,02.00,N,A,Y,Y,Y,,,20100225
Diablo Valley,CCC000004197,FTVE132     ,060400,D,03.00,03.00,N,B,Y,Y,Y,,,20200825
Diablo Valley,CCC000004629,ART-150XX   ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000004840,FILM-120D   ,061200,D,01.00,01.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000004938,CNT-239     ,070810,D,03.00,02.00,N,B,Y,Y,Y,,,20070917
Diablo Valley,CCC000004977,HIST122     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20200725
Diablo Valley,CCC000005012,CNT-150P    ,070810,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Diablo Valley,CCC000005393,ELTRN-202   ,093400,D,08.00,08.00,N,B,Y,Y,Y,,,20070917
Diablo Valley,CCC000005465,COMSC-240   ,070710,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Diablo Valley,CCC000012281,CNT-150A9   ,070810,D,02.00,02.00,N,D,Y,Y,Y,,,20100225
Diablo Valley,CCC000012334,ARTDM-150R  ,061400,D,01.00,01.00,N,D,Y,Y,A,,,20100225
Diablo Valley,CCC000012724,PETHE-270   ,083560,D,03.00,03.00,N,C,Y,Y,Y,,,20100225
Diablo Valley,CCC000012782,ART-150BC   ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000012886,COLQY-120V12,150600,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000013114,ART-150S    ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000013141,HORT-176    ,010910,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Diablo Valley,CCC000013319,COUNS-100   ,493013,C,04.00,00.30,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000014070,GEOG-128    ,220610,D,03.00,03.00,N,B,Y,Y,B,,,20100225
Diablo Valley,CCC000014552,HIST135     ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20231008
Diablo Valley,CCC000014589,FILM-130A   ,061200,D,01.00,01.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000014823,ARTDM-150E  ,061400,D,03.00,03.00,N,D,Y,Y,A,,,20100225
Diablo Valley,CCC000015327,CULN-150D   ,130630,D,01.00,01.00,N,C,Y,Y,Y,,,20100225
Diablo Valley,CCC000015645,ART-150F    ,100200,D,01.50,01.50,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000000109,FILM-120E   ,061200,D,01.00,01.00,N,E,Y,Y,Y,,,20100225
Diablo Valley,CCC000000148,CIS-041M    ,070210,C,00.30,00.30,N,D,Y,Y,Y,,,20100324
Diablo Valley,CCC000000253,APDES-298   ,130300,D,03.00,00.10,N,C,Y,Y,Y,,,20070917
Diablo Valley,CCC000000457,BUSIM-070D  ,051400,C,00.50,00.50,N,D,Y,Y,Y,,,20100324
Diablo Valley,CCC000001028,CIS-041Y    ,070210,C,00.30,00.30,N,D,Y,Y,Y,,,20100324
Diablo Valley,CCC000010192,CNT-261     ,070810,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Diablo Valley,CCC000010253,PE-150A     ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000010335,PETHE-240G  ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Diablo Valley,CCC000010634,CIS-030P    ,070210,C,00.30,00.30,N,D,Y,Y,Y,,,20100324
