College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Hartnell,CCC000109809,PE-223      ,083500,D,00.30,00.30,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000109854,ART-34      ,100900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000109962,AHT-102     ,010210,D,04.50,03.00,N,C,Y,Y,Y,,,20080625
Hartnell,CCC000110587,MUS-51B     ,100400,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000110605,PHY4B       ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000110902,SOC-25      ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000111106,THA-139.052 ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000111112,PHO-170     ,101100,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000170621,PE-3.515    ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20120508
Hartnell,CCC000170710,CSS-6       ,070100,D,04.00,00.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000170977,CON-83      ,095210,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000171077,THA-45      ,100700,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000171294,MEC-126     ,094500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000171411,ENG-186     ,150100,D,01.00,01.00,N,E,A,Y,Y,,,20100324
Hartnell,CCC000171613,PE-123      ,083500,D,00.30,00.30,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000224165,MIL-61A     ,095250,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Hartnell,CCC000224363,BIO48       ,040100,D,03.00,03.00,N,E,Y,Y,Y,,,20230830
Hartnell,CCC000224898,ENG-121L    ,150100,C,01.00,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000271738,MUS234      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000272012,APP-224     ,095220,C,05.00,05.00,N,A,Y,Y,Y,,,20070917
Hartnell,CCC000312266,CON-51C     ,095210,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Hartnell,CCC000312508,SPA-260     ,110500,C,03.00,03.00,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000312748,AUT-154     ,094700,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000312896,PETH-13A    ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20120726
Hartnell,CCC000313051,HIS4A       ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000347027,EPH302      ,101100,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Hartnell,CCC000347043,THA-124     ,100700,D,03.00,00.50,N,E,Y,Y,Y,,,20070919
Hartnell,CCC000347235,UPH131      ,130300,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Hartnell,CCC000031665,CIS-4       ,070100,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000031968,ENG-45      ,150100,D,03.00,01.00,N,E,Y,Y,Y,,,20100324
Hartnell,CCC000032449,DRA-63      ,095300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000041394,THA-134     ,100700,D,03.00,00.50,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000041640,BUS-204     ,051400,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000041761,AUC-70B     ,094900,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000042099,ABT90       ,010100,D,03.00,03.00,N,C,Y,Y,Y,,,20221210
Hartnell,CCC000042199,MEC-99I     ,094500,D,08.00,01.00,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000042262,DRA-54      ,095300,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000042371,ECS-303     ,070100,N,00.00,00.00,N,D,Y,H,Y,0,0,20160120
Hartnell,CCC000050244,PE-1.129    ,083510,D,01.50,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000050912,JFS-209     ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000051708,THA-92C     ,100700,D,04.00,00.50,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000059078,LBT-57      ,160200,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000059270,THA-13      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000059384,AGR-114     ,010300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000060253,NRN-246     ,123010,C,02.50,02.50,N,B,Y,Y,Y,,,20070917
Hartnell,CCC000060326,BIO11       ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000060758,CIS-111     ,070100,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000067958,BIO-140     ,040100,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000068015,ART-160     ,101300,D,00.50,00.50,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000069414,AST-45      ,191100,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000076499,CIS-150.33  ,070100,D,01.50,01.50,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000076580,ECE-33      ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000076664,ADJ-110     ,210500,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000076863,AIT-176     ,094500,D,03.00,03.00,N,C,Y,Y,Y,,,20160616
Hartnell,CCC000077462,PETH-14B    ,083500,D,02.00,02.00,N,E,Y,Y,Y,,,20120726
Hartnell,CCC000077736,NRN433      ,123010,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
Hartnell,CCC000077846,MAT-123L1   ,170100,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000085006,ADJ2        ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Hartnell,CCC000085632,COU-226     ,493012,C,01.50,01.50,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000086113,ENG-60      ,150100,D,03.00,01.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000086125,NRN442      ,123010,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
Hartnell,CCC000008314,SPE-18      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000008757,HES-110C    ,120500,D,01.30,01.30,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000008862,MEC-83      ,094500,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000009238,PE-15       ,083500,D,04.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000009582,ENG48       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000456346,ART100      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000499631,ART101      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000504576,ART102      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000507868,ART103      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000296186,ART12A      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000055166,ART3        ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000243603,ART6A       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000338539,ART6B       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000177536,ART6C       ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250208
Hartnell,CCC000449296,CID25       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20250208
Hartnell,CCC000519253,CID27       ,070100,D,04.00,04.00,N,C,Y,Y,Y,,,20250208
Hartnell,CCC000582843,CID64       ,061430,D,04.00,04.00,N,C,Y,Y,Y,,,20250208
Hartnell,CCC000021129,ESL-126     ,493086,C,01.00,01.00,B,E,F,Y,Y,,,20100708
Hartnell,CCC000021138,MUS341      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20180914
Hartnell,CCC000021139,NRN-22      ,123010,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
Hartnell,CCC000030388,COU-81      ,493011,D,03.00,02.00,N,E,Y,Y,Y,,,20080701
Hartnell,CCC000030403,ECE-39.001  ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000030565,ESL-145A    ,493084,C,02.50,02.50,B,E,D,Y,Y,,,20100708
Hartnell,CCC000363442,WLD99I      ,095650,D,08.00,01.00,N,D,Y,Y,Y,,,20070919
Hartnell,CCC000363496,EAR301      ,100100,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Hartnell,CCC000363538,COU225      ,493011,C,02.00,00.50,N,E,Y,Y,Y,,,20070919
Hartnell,CCC000379849,PHO99I      ,100200,D,08.00,01.00,N,D,Y,Y,Y,,,20070919
Hartnell,CCC000379988,BUS1A1      ,050200,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Hartnell,CCC000380107,DRA-72      ,095300,D,04.00,03.00,N,B,Y,Y,Y,,,20160608
Hartnell,CCC000380175,SPE1B       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Hartnell,CCC000507867,MFGT71      ,011600,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Hartnell,CCC000507869,CID29       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20241206
Hartnell,CCC000507870,CSS-60B     ,061420,D,04.00,04.00,N,E,Y,Y,Y,,,20090602
Hartnell,CCC000507872,ECE24       ,130520,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Hartnell,CCC000507873,EDU-110     ,493072,D,02.50,02.50,N,E,Y,Y,Y,,,20090602
Hartnell,CCC000507874,EDU111      ,493072,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507875,HIS46B      ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507876,HIS5B       ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507877,MUS235      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507878,NRN-227     ,123010,D,03.00,01.00,N,D,Y,Y,Y,,,20090602
Hartnell,CCC000507879,NVN-226     ,123010,D,03.00,01.00,N,D,Y,Y,Y,,,20090602
Hartnell,CCC000507880,PE-1.244    ,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20090602
Hartnell,CCC000507881,PSY42       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507882,PSY8        ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507883,TAC11       ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507892,ESL-310     ,493086,N,00.00,00.00,B,E,F,A,Y,90,90,20160120
Hartnell,CCC000507921,ESL-152     ,493086,C,03.00,03.00,B,E,C,Y,Y,,,20100323
Hartnell,CCC000507985,AHT-104     ,010210,D,04.50,04.50,N,B,Y,Y,Y,,,20090609
Hartnell,CCC000507986,AHT-105     ,010210,D,04.50,04.50,N,C,Y,Y,Y,,,20090609
Hartnell,CCC000507987,AHT-111     ,010210,D,03.50,03.50,N,B,Y,Y,Y,,,20090609
Hartnell,CCC000507988,AHT-112     ,010210,D,04.50,04.50,N,B,Y,Y,Y,,,20090609
Hartnell,CCC000507989,AUC-174C    ,094900,D,03.00,03.00,N,C,Y,Y,Y,,,20090609
Hartnell,CCC000507990,AUT-153     ,094700,D,03.00,03.00,N,C,Y,Y,Y,,,20090609
Hartnell,CCC000507991,AUT-154     ,094700,D,04.00,04.00,N,C,Y,Y,Y,,,20090609
Hartnell,CCC000507992,AUT-155     ,094700,D,03.00,03.00,N,C,Y,Y,Y,,,20090609
Hartnell,CCC000507993,BIO20       ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Hartnell,CCC000507994,ESL-126     ,493086,C,03.00,03.00,B,E,F,Y,Y,,,20100323
Hartnell,CCC000507995,ESL-246     ,493086,C,03.00,03.00,B,E,D,Y,Y,,,20141106
Hartnell,CCC000507996,LSK126      ,493032,C,01.50,01.50,B,E,Y,Y,Y,,,20191019
Hartnell,CCC000507997,PE-1.235    ,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20090609
Hartnell,CCC000508126,ART-85      ,061430,D,03.00,03.00,N,D,Y,Y,Y,,,20160330
Hartnell,CCC000004180,EFD-302     ,130600,N,00.00,00.00,N,D,Y,H,Y,0,0,20160120
Hartnell,CCC000004190,ANT1        ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000005131,CIS-239.003 ,070100,C,04.00,00.30,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000005606,FSC-2A      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000006886,FRN-39.001  ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000014471,MIL-76      ,095250,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
Hartnell,CCC000014935,AUT-50B     ,094800,D,02.00,02.00,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000035534,THA-131     ,100700,D,04.00,00.50,N,E,Y,Y,Y,,,20070917
Hartnell,CCC000036209,CON-84      ,095210,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000036252,JFS-152     ,213300,D,01.00,00.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000036462,AST1L       ,191100,D,01.00,01.00,N,E,Y,Y,Y,,,20220426
Hartnell,CCC000036957,EMS-303     ,100400,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Hartnell,CCC000037113,GEL-99      ,191400,D,08.00,01.00,N,D,Y,Y,Y,,,20070917
Hartnell,CCC000044503,JFS-7C      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000044771,JAJ-15      ,210500,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000044994,ECE-105     ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000045051,AGM-70      ,011630,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Hartnell,CCC000046002,TAC7        ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20211203
