College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
LA Pierce,CCC000004410,ELECTRN048B ,093400,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
LA Pierce,CCC000004603,PSYCH002    ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
LA Pierce,CCC000004676,ART701      ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20220616
LA Pierce,CCC000004773,HEALTH007   ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20191009
LA Pierce,CCC000004813,COSCI572    ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
LA Pierce,CCC000004817,SPANISH002  ,110500,D,05.00,05.00,N,E,Y,Y,Y,,,20230115
LA Pierce,CCC000004964,FINANCE001  ,050400,D,03.00,03.00,N,D,Y,Y,Y,,,20220115
LA Pierce,CCC000005943,ENGLISH205  ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20240529
LA Pierce,CCC000006486,IND TEK173  ,095600,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
LA Pierce,CCC000006730,POLSCI019   ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
LA Pierce,CCC000007611,POLSCI385   ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20191017
LA Pierce,CCC000007844,MUSIC745    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20231004
LA Pierce,CCC000007864,ENGLISH102  ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20220821
LA Pierce,CCC000007889,MATH   235  ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20070917
LA Pierce,CCC000007926,HUMAN  002  ,159900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
LA Pierce,CCC000014135,BUS    285  ,050500,D,02.00,02.00,N,B,Y,Y,Y,,,20070917
LA Pierce,CCC000657499,ECONC2001   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260301
LA Pierce,CCC000657500,ECONC2002   ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20260301
LA Pierce,CCC000657501,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20260301
