College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
LA Trade,CCC000004445,KINMAJ108   ,127000,D,03.00,03.00,N,E,Y,Y,Y,,,20200220
LA Trade,CCC000004566,COMPLAN010C ,219900,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000004581,AUTOCOR226  ,094900,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000004887,MATH236     ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000005322,PHOTOFF130  ,093600,D,08.00,08.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000005411,HEALTH050   ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000005488,LRNSKIL010  ,170100,C,03.00,03.00,B,E,C,Y,Y,,,20100308
LA Trade,CCC000005779,FINANCE185  ,050400,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000006013,ART185      ,100200,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000006180,COINFO730   ,070200,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000006469,FASHDSN120  ,130310,D,04.00,04.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000006500,HEALTH006   ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000006925,PROFBKG132  ,130630,D,06.00,06.00,N,C,Y,Y,Y,,,20240127
LA Trade,CCC000007137,LABRST103   ,051600,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000007351,ECONMT168   ,095220,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000007355,REF A/C185  ,094600,D,01.00,01.00,N,B,Y,Y,Y,,,20130319
LA Trade,CCC000007424,LABRST004   ,051600,D,03.00,03.00,N,D,Y,Y,Y,,,20200119
LA Trade,CCC000007761,THEATER100  ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20200216
LA Trade,CCC000007833,ESL    003C ,493086,D,03.00,03.00,N,E,E,Y,Y,,,20130319
LA Trade,CCC000007884,PHYSED295   ,083580,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000013992,JOURNAL105  ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000014105,CLNART142   ,130630,D,06.00,06.00,N,B,Y,Y,Y,,,20191019
LA Trade,CCC000014335,TAILRNG228  ,130300,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000014759,LABRST119   ,051600,D,01.00,01.00,N,B,Y,Y,Y,,,20191019
LA Trade,CCC000015178,CONELTK135  ,093500,D,06.00,06.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000015366,REFAC111    ,094600,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000015535,MSCNC132    ,095630,D,05.00,05.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000647345,FLMPRD131   ,061220,D,03.00,03.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000018838,MGMT013     ,050640,D,03.00,03.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000009758,POLSC1000   ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250306
LA Trade,CCC000021480,PSYCC1000   ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250306
LA Trade,CCC000185869,RESTMGT100  ,130700,D,03.00,03.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000071870,STATC1000   ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250306
LA Trade,CCC000601810,STATC1000E  ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250306
LA Trade,CCC000527081,TAILRNG250  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000527080,TAILRNG251  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000527079,TAILRNG252  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000527078,TAILRNG253  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000527028,TAILRNG255  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000527029,TAILRNG256  ,130330,D,02.00,02.00,N,C,Y,Y,Y,,,20250306
LA Trade,CCC000002308,VOCART102   ,103000,D,04.00,04.00,N,D,Y,Y,Y,,,20191019
LA Trade,CCC000002397,CBMLAP704   ,095250,D,04.00,04.00,N,A,Y,Y,Y,,,20191019
LA Trade,CCC000002615,ENGLISH215  ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20200216
LA Trade,CCC000002746,PERSDEV020F ,493010,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000003377,CLNART141   ,130630,D,06.00,06.00,N,B,Y,Y,Y,,,20200123
LA Trade,CCC000003865,TAILRNG227  ,130300,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000012444,FASHDSN136  ,130310,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000012581,COINFO790   ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000012691,ETNTLGY232  ,093400,D,04.00,04.00,N,B,Y,Y,Y,,,20191019
LA Trade,CCC000012755,SPEECH130   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
LA Trade,CCC000013497,PLUMBNG141  ,095230,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000013729,CBMLAP705   ,095250,D,04.00,04.00,N,A,Y,Y,Y,,,20191019
LA Trade,CCC000015889,REALES007   ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
LA Trade,CCC000016012,AUTOCOR227  ,094900,D,03.00,03.00,N,B,Y,Y,Y,,,20191019
LA Trade,CCC000016047,DEVCOM022Y  ,152000,C,02.00,02.00,B,E,C,Y,Y,,,20191019
LA Trade,CCC000016155,INTBUS001   ,050800,D,03.00,03.00,N,D,Y,Y,Y,,,20191019
