College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Lake Tahoe,CCC000648775,WLD131BZ    ,089900,D,07.25,07.25,N,D,Y,Y,Y,,,20250110
Lake Tahoe,CCC000547371,PEF135L     ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000547370,PEF135M     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000605560,PEF136E     ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000543657,PEF140A     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000543658,PEF140B     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000605561,PEF140C     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000605615,PEF140D     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000547368,PEF140E     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000547367,PEF140F     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000457145,PEF143B     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000452915,PEF550      ,083510,N,00.00,00.00,N,E,Y,H,Y,,,20250405
Lake Tahoe,CCC000554311,PEF551      ,083510,N,00.00,00.00,N,E,Y,H,Y,,,20250405
Lake Tahoe,CCC000377651,PHI104      ,150900,D,04.00,04.00,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000591873,PHY208      ,190200,D,06.00,06.00,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000366323,ENG207      ,150700,D,04.00,04.00,N,E,Y,Y,Y,,,20250118
Lake Tahoe,CCC000658591,HEA191AK    ,089900,N,00.00,00.00,N,C,Y,D,Y,27,36,20260222
Lake Tahoe,CCC000547373,PEF135J     ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000547372,PEF135K     ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20250405
Lake Tahoe,CCC000615083,CRJ156      ,210500,D,01.75,01.75,N,C,Y,Y,Y,,,20250116
Lake Tahoe,CCC000367062,ENG209      ,150700,D,04.00,04.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000360147,PHI205      ,150900,D,04.00,04.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000547025,PHS117      ,191900,D,05.00,05.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000591870,PHY107      ,190200,D,06.00,06.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000591871,PHY108      ,190200,D,06.00,06.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000375365,REL103      ,151000,D,04.00,04.00,N,E,Y,Y,Y,,,20250116
Lake Tahoe,CCC000604469,WLD240      ,089900,D,04.50,04.50,N,C,Y,Y,Y,,,20250116
Lake Tahoe,CCC000605804,PEF145A     ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20251115
Lake Tahoe,CCC000605805,PEF145B     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20251115
Lake Tahoe,CCC000605806,PEF145C     ,083510,D,01.25,01.25,N,E,Y,Y,Y,,,20251115
Lake Tahoe,CCC000604598,PEF552      ,083510,N,00.00,00.00,N,E,Y,H,Y,,,20251115
Lake Tahoe,CCC000351160,SPA110      ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20251115
Lake Tahoe,CCC000655813,SPA131CP    ,110500,D,00.50,00.50,N,E,Y,Y,Y,,,20251213
Lake Tahoe,CCC000655814,SPA131CQ    ,110500,D,00.50,00.50,N,E,Y,Y,Y,,,20251213
Lake Tahoe,CCC000346922,ART132AX    ,061400,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000346923,PED133X     ,083510,D,01.50,01.50,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000346947,SP 132V     ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000346967,FIR131Q     ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000346996,BUS231      ,050600,D,04.00,01.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347016,THE131G     ,100700,D,01.00,01.00,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347047,CPS191AM    ,070100,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347049,ADJ101      ,210500,D,04.00,04.00,N,D,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347103,BUS191R     ,050600,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347107,BUS135      ,059900,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347120,RES155      ,051100,D,04.00,04.00,N,C,Y,Y,Y,,,20240410
Lake Tahoe,CCC000347141,DAN131E     ,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347174,ART139D     ,100200,D,02.00,02.00,N,E,Y,Y,Y,,,20190713
Lake Tahoe,CCC000347176,SPA132E     ,110500,D,02.50,02.50,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347188,CRJ131D     ,210500,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347194,ENG195H     ,493021,C,02.00,02.00,B,E,C,Y,Y,,,20070919
Lake Tahoe,CCC000347195,RES132      ,051100,D,06.00,01.00,N,C,Y,Y,Y,,,20191019
Lake Tahoe,CCC000347200,HEA131NM    ,124010,D,01.25,01.25,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347204,GES191M     ,493012,D,02.00,02.00,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347215,BUS112      ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347275,SPA156E     ,110500,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Lake Tahoe,CCC000347276,BUS256      ,050600,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Lake Tahoe,CCC000347293,PED131FM    ,083510,D,00.25,00.25,N,E,Y,Y,Y,,,20070919
Lake Tahoe,CCC000658350,WLD108AA    ,089900,D,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658351,WLD108BA    ,089900,C,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658384,WLD108CA    ,089900,C,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658385,WLD108DA    ,089900,C,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658386,WLD109AA    ,089900,D,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658387,WLD109BA    ,089900,C,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658388,WLD109CA    ,089900,C,01.75,01.75,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000658389,WLD211A     ,089900,D,06.00,06.00,N,D,Y,Y,Y,,,20260217
Lake Tahoe,CCC000440455,ECE125      ,130500,D,04.00,04.00,N,C,Y,Y,Y,,,20251114
Lake Tahoe,CCC000353478,ECE203      ,130580,D,04.00,04.00,N,C,Y,Y,Y,,,20251114
Lake Tahoe,CCC000372457,ECE204      ,130580,D,04.00,04.00,N,C,Y,Y,Y,,,20251114
Lake Tahoe,CCC000347260,ENG206      ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000372576,ENG208A     ,150700,D,04.00,04.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000355048,ENG211      ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000654774,FIR191AB    ,213350,N,00.00,00.00,N,C,Y,I,B,,,20251114
Lake Tahoe,CCC000616210,GEL110L     ,191400,D,01.00,01.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547015,PEF120A     ,083510,D,00.75,00.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547016,PEF120B     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547017,PEF120C     ,083510,D,01.25,01.25,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000546226,PEF121A     ,083510,D,00.75,00.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000546227,PEF121B     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547018,PEF121C     ,083510,D,01.25,01.25,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547394,PEF123A     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547393,PEF123B     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547392,PEF123C     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547391,PEF123D     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547390,PEF123E     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000547389,PEF123F     ,083510,D,01.75,01.75,N,E,Y,Y,Y,,,20251114
Lake Tahoe,CCC000605801,PEF144A     ,083510,D,00.50,00.50,N,E,Y,Y,Y,,,20251114
