College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Laney,CCC000345354,WELD211C    ,095650,D,03.00,03.00,N,B,Y,Y,Y,,,20260101
Laney,CCC000373541,WELD211D    ,095650,D,03.00,03.00,N,B,Y,Y,Y,,,20260101
Laney,CCC000602750,WELD230     ,095650,D,02.00,02.00,N,C,Y,Y,Y,,,20260101
Laney,CCC000536334,WELD231A    ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20260101
Laney,CCC000638821,WELD231B    ,095650,D,03.00,03.00,N,C,Y,Y,Y,,,20260101
Laney,CCC000636059,MUSICCM003B ,100500,D,02.00,02.00,N,B,Y,Y,A,,,20251225
Laney,CCC000636060,MUSICCM004A ,100500,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000636061,MUSICCM004B ,100500,D,03.00,03.00,N,B,Y,Y,A,,,20251225
Laney,CCC000600788,PHOTO021    ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000567055,PHOTO025    ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000380443,PHOTO030A   ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000370805,PHOTO030B   ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000361347,PHOTO030C   ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000594783,PHOTO071    ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000594884,PHOTO072    ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000605818,PHOTO074A   ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000605819,PHOTO074B   ,101200,D,03.00,03.00,N,C,Y,Y,Y,,,20251225
Laney,CCC000605820,PHOTO075A   ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000605821,PHOTO075B   ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000605822,PHOTO076A   ,101200,D,03.00,03.00,N,B,Y,Y,Y,,,20251225
Laney,CCC000622148,ART078      ,100220,D,03.00,03.00,N,E,Y,Y,Y,,,20251219
Laney,CCC000373038,ART079      ,100220,D,02.00,02.00,N,E,Y,Y,Y,,,20251219
Laney,CCC000629344,ART080      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20251219
Laney,CCC000629345,ART081      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20251219
Laney,CCC000364648,ART082      ,100230,D,03.00,03.00,N,E,Y,Y,Y,,,20251219
