College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Monterey,CCC000004327,PHED96.4    ,083500,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004371,MUSI370D    ,100400,C,01.50,01.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004421,PARK296.29  ,011510,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000004474,ART83A      ,100910,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004571,PFIT12      ,083510,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004583,MATE396.2A  ,192000,C,02.00,02.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000004714,LETP231.15  ,210550,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000004834,MUSI296.1   ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004875,ART184.10   ,100910,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000004935,DANC96.1    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000005007,PERS461.45  ,130100,N,00.00,00.00,N,C,Y,H,Y,0,0,20160120
Monterey,CCC000005038,COOP96.1    ,493200,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000005129,SPCH50      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000005273,ENSL420     ,493087,N,00.00,00.00,B,E,Y,A,Y,0,0,20160120
Monterey,CCC000005436,BUSC124     ,070210,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000005586,DANC15.4    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000006025,CHDV99.1    ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000006028,THEA103     ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20100126
Monterey,CCC000006139,PHOT96.3    ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000006144,LETP144B    ,210550,D,11.00,11.00,N,C,Y,Y,Y,,,20191019
Monterey,CCC000006187,INTD96.2    ,130200,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000006561,FIRE296.7   ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000007213,NURS90      ,123010,D,04.00,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000007856,DRAM296.1   ,061200,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000013836,GENT416.13  ,493062,N,00.00,00.00,B,E,Y,C,Y,0,0,20160120
Monterey,CCC000013842,ART47       ,061460,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000013967,BUSI54      ,050970,D,03.00,03.00,N,D,Y,Y,Y,,,20180328
Monterey,CCC000014021,DRAM 975.0  ,100700,N,00.00,00.00,N,E,Y,H,Y,0,0,20160120
Monterey,CCC000014345,HIST371B    ,220500,C,01.50,00.50,N,E,Y,Y,Y,,,20070917
Monterey,CCC000014362,ART96.5     ,100910,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Monterey,CCC000014797,LETP232.10  ,210550,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000015232,LETP240.12  ,210550,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Monterey,CCC000015412,CSIS198     ,070810,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Monterey,CCC000648991,COUN400     ,493010,N,00.00,00.00,N,E,Y,J,Y,,,20250111
Monterey,CCC000648992,CSCI10A     ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Monterey,CCC000648524,CSCI10B     ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Monterey,CCC000648993,CSCI10C     ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Monterey,CCC000648994,CSCI114     ,070600,D,01.00,01.00,N,E,Y,Y,Y,,,20250111
Monterey,CCC000648871,FPTC128C    ,213300,D,01.50,00.50,N,C,Y,Y,Y,,,20250111
