College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Moreno Valley,CCC000520412,ENGL4       ,150100,D,02.00,02.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000620353,ARTH9       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Moreno Valley,CCC000610456,ENGL48      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000599973,ENGL7       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000610457,ENGL9       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000610933,ESL848      ,493087,N,00.00,00.00,N,E,C,A,Y,,,20250112
Moreno Valley,CCC000648920,FITS3       ,213350,D,12.50,12.50,N,C,Y,Y,Y,,,20250112
Moreno Valley,CCC000610939,GUI848      ,493013,N,00.00,00.00,N,E,Y,J,Y,,,20250112
Moreno Valley,CCC000520591,JOU7        ,060200,D,03.00,03.00,N,D,Y,Y,Y,,,20250112
Moreno Valley,CCC000610940,KINA62      ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000560823,KINA75B     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520595,MAG51       ,050630,D,03.00,03.00,N,D,Y,Y,Y,,,20250112
Moreno Valley,CCC000520596,MAG56       ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Moreno Valley,CCC000545763,MUS32A      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000545764,MUS32B      ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000531123,MUS36       ,100400,D,01.50,01.50,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000620285,ARTHC1100   ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Moreno Valley,CCC000520654,MUS58       ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520722,POLS11      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520724,POLS2       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000620532,POLS22      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520725,POLS2H      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000552556,POLS3       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520726,POLS4       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520727,POLS4H      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000552555,POLS5       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520728,POLS6       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000545767,POLS8       ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000607540,PSYC2       ,209900,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000648883,FITCOHA     ,213300,D,00.25,00.25,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000648888,FITISP2A    ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000648889,FITISP2B    ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000648890,FITISP2C    ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000648891,FITISP2D    ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000520030,ADJ1        ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250108
Moreno Valley,CCC000520034,ADJ3        ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250108
Moreno Valley,CCC000520099,ADJS1A      ,210500,D,04.00,04.00,N,C,Y,Y,Y,,,20250108
Moreno Valley,CCC000648892,FITS130     ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000620102,ALR4        ,152000,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
Moreno Valley,CCC000648862,FITS131     ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000520787,COMM3       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
Moreno Valley,CCC000520790,COMM7       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
Moreno Valley,CCC000520792,COMM9H      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
Moreno Valley,CCC000648863,FITS131B    ,213350,D,00.25,00.25,N,C,Y,Y,Y,,,20250110
Moreno Valley,CCC000596953,ADM1        ,061400,D,03.00,03.00,N,D,Y,Y,Y,,,20250112
Moreno Valley,CCC000571141,DEH14       ,124020,D,03.00,03.00,N,C,Y,Y,Y,,,20251211
Moreno Valley,CCC000597894,ADM63A      ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Moreno Valley,CCC000610450,ADM67       ,061440,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Moreno Valley,CCC000640640,ADM77B      ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Moreno Valley,CCC000520784,COMM12      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520785,COMM13      ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000523314,COMM2       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520789,COMM6       ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000620301,ENGL10      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520399,ENGL11      ,150700,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520400,ENGL14      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520401,ENGL15      ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520305,DEH15       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20251211
Moreno Valley,CCC000620403,ENGL18      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000655675,ADM67       ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20251212
Moreno Valley,CCC000655676,BUS200      ,050500,D,14.00,01.00,N,C,Y,Y,Y,,,20251212
Moreno Valley,CCC000520291,DEA30       ,124010,D,02.00,02.00,N,C,Y,Y,Y,,,20250207
Moreno Valley,CCC000520293,DEA32       ,124010,D,01.00,01.00,N,C,Y,Y,Y,,,20250207
Moreno Valley,CCC000620300,DEA41       ,124010,D,02.00,02.00,N,C,Y,Y,Y,,,20250207
Moreno Valley,CCC000628158,FIT17       ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250207
Moreno Valley,CCC000520444,FIT2        ,213300,D,03.00,03.00,N,C,Y,Y,Y,,,20250207
Moreno Valley,CCC000520445,FIT3        ,213300,D,03.00,03.00,N,D,Y,Y,Y,,,20250207
Moreno Valley,CCC000520447,FIT5        ,213300,D,03.00,03.00,N,D,Y,Y,Y,,,20250207
Moreno Valley,CCC000610460,KINA81C     ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20250206
Moreno Valley,CCC000520624,MDA58B      ,120820,D,03.00,03.00,N,B,Y,Y,Y,,,20250206
Moreno Valley,CCC000648342,EMS80       ,125100,D,04.00,04.00,N,C,Y,Y,Y,,,20250201
Moreno Valley,CCC000599966,DEA40B      ,124010,D,02.00,02.00,N,C,Y,Y,Y,,,20250206
Moreno Valley,CCC000599967,DEA40C      ,124010,D,06.00,06.00,N,C,Y,Y,Y,,,20250206
Moreno Valley,CCC000520731,PSYC33      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520374,ECON5       ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Moreno Valley,CCC000520732,PSYC35      ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000620535,PSYC35H     ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000579575,PSYC48      ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000534801,PSYC50      ,200100,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000523770,PSYC8       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520733,PSYC9       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Moreno Valley,CCC000520375,ECON6       ,220400,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
