College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Mt San Antonio,CCC000524133,ACCS33      ,493032,C,03.00,03.00,N,E,Y,Y,Y,,,20251224
Mt San Antonio,CCC000005600,VOC BSO1B   ,051400,N,00.00,00.00,N,D,Y,I,Y,0,0,20160120
Mt San Antonio,CCC000657339,CISN73A     ,070800,D,03.00,03.00,N,C,Y,Y,Y,,,20260116
Mt San Antonio,CCC000627794,GEOG15      ,220610,D,03.00,03.00,N,C,Y,Y,Y,,,20260122
Mt San Antonio,CCC000627881,GEOG16      ,220610,D,03.00,03.00,N,B,Y,Y,Y,,,20260122
Mt San Antonio,CCC000601868,BUSA76      ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000515441,BUSA81      ,050200,D,04.00,01.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000637466,ACCSN33     ,493032,N,00.00,00.00,N,E,Y,E,Y,,,20250718
Mt San Antonio,CCC000637467,ACCSN34     ,493032,N,00.00,00.00,N,E,Y,E,Y,,,20250718
Mt San Antonio,CCC000414243,AD1         ,210440,D,03.00,03.00,N,D,Y,Y,Y,,,20250718
Mt San Antonio,CCC000610682,AD82A       ,210440,D,02.00,02.00,N,B,Y,Y,Y,,,20250718
Mt San Antonio,CCC000635536,AD82B       ,210440,D,02.00,02.00,N,B,Y,Y,Y,,,20250718
Mt San Antonio,CCC000408388,ADJU68      ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000544587,ADJU90      ,210500,C,04.00,01.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000629057,AERO260     ,302020,C,04.00,01.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000398809,AGHE54      ,010210,D,03.00,03.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000650235,AGHE60      ,010210,D,04.00,04.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000550536,AGHE61      ,010210,D,04.00,04.00,N,B,Y,Y,Y,,,20250718
Mt San Antonio,CCC000605347,AGHE62A     ,010210,D,03.00,03.00,N,B,Y,Y,Y,,,20250718
Mt San Antonio,CCC000404391,ENGR8       ,090100,D,04.00,04.00,N,E,Y,Y,Y,,,20251220
Mt San Antonio,CCC000593140,FASH9       ,130310,D,03.00,03.00,N,D,Y,Y,Y,,,20251220
Mt San Antonio,CCC000502791,ARAB1       ,111200,D,04.00,04.00,N,E,Y,Y,Y,,,20250718
Mt San Antonio,CCC000560275,ARCH102     ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000560272,ARCH122     ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000524336,ARCH142     ,020100,D,04.00,04.00,N,C,Y,Y,Y,,,20250718
Mt San Antonio,CCC000560476,ARCH145     ,020100,D,03.00,03.00,N,C,Y,Y,Y,,,20250718
