College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Norco,CCC000593067,ENGL91      ,150100,C,02.00,02.00,N,E,A,Y,Y,,,20250118
Norco,CCC000648931,MAT111      ,170100,C,02.00,02.00,N,E,Y,Y,Y,,,20250118
Norco,CCC000519906,KIN30       ,083570,D,03.00,03.00,N,D,Y,Y,Y,,,20250116
Norco,CCC000648938,PSYC148     ,200100,C,02.00,02.00,N,E,Y,Y,Y,,,20250116
Norco,CCC000639366,DFT63       ,095300,D,03.00,03.00,N,D,Y,Y,Y,,,20251202
Norco,CCC000519783,HISTC1001   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Norco,CCC000519784,HISTC1001H  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Norco,CCC000519785,HISTC1002   ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Norco,CCC000519786,HISTC1002H  ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20251202
Norco,CCC000620747,GEG30D      ,220600,D,01.00,01.00,N,E,Y,Y,Y,,,20250405
Norco,CCC000619992,ARTH6H      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000619993,ARTH7       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000519935,PHY4A       ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20260128
Norco,CCC000642458,THE36       ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20260128
Norco,CCC000641667,ARTH31      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000619969,ARTH4       ,100100,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000619971,ARTH6       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000645218,ARTH60      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20260212
Norco,CCC000519840,MATH1C      ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20260129
Norco,CCC000657961,MKT200      ,050900,D,14.00,01.00,N,C,Y,Y,Y,,,20260129
Norco,CCC000550596,PHY4B       ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20260129
Norco,CCC000519937,PHY4C       ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20260129
Norco,CCC000657962,RLE200      ,051100,D,14.00,01.00,N,C,Y,Y,Y,,,20260129
Norco,CCC000564645,HUM9        ,150300,D,03.00,03.00,N,E,Y,Y,Y,,,20240104
Norco,CCC000581418,ENE23       ,095300,D,03.00,03.00,N,B,Y,Y,Y,,,20220119
Norco,CCC000581419,EAR30       ,130500,D,04.00,04.00,N,B,Y,Y,Y,,,20230114
Norco,CCC000581420,CIS-69      ,079900,D,03.00,03.00,N,B,Y,Y,Y,,,20170315
Norco,CCC000581421,CIS-67      ,061430,D,03.00,03.00,N,C,Y,Y,Y,,,20170315
Norco,CCC000581422,CIS-17C     ,070710,D,03.00,03.00,N,B,Y,Y,Y,,,20170315
Norco,CCC000581423,CIS-68      ,079900,D,03.00,03.00,N,D,Y,Y,Y,,,20170315
Norco,CCC000581558,ART48A      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20191006
