College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Riverside,CCC000004277,GRT-86      ,093600,D,04.00,03.00,N,B,Y,Y,Y,,,20070917
Riverside,CCC000004553,PHP-D39     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20070917
Riverside,CCC000004961,FIT-C30     ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Riverside,CCC000005440,SOC-101     ,220800,C,01.00,01.00,N,E,Y,Y,Y,,,20070917
Riverside,CCC000005628,MUS-7       ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Riverside,CCC000006552,LIB1        ,160100,D,01.00,01.00,N,E,Y,Y,Y,,,20220413
Riverside,CCC000006603,ADJ-A35A    ,210550,D,01.50,01.50,N,B,Y,Y,Y,,,20070917
Riverside,CCC000006882,CIS26A      ,070810,D,04.00,04.00,N,C,Y,Y,Y,,,20191019
Riverside,CCC000006988,CON-210     ,095720,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Riverside,CCC000007277,ADJ-A43A    ,210550,D,00.50,00.50,N,B,Y,Y,Y,,,20070917
Riverside,CCC000007365,HMS-8       ,210400,D,03.00,03.00,N,D,Y,Y,Y,,,20070917
Riverside,CCC000007484,KINA47      ,083510,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Riverside,CCC000007540,CHE-2ALN    ,190500,D,00.00,00.00,N,D,Y,Y,Y,,,20070917
Riverside,CCC000014448,EDU-224     ,080100,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Riverside,CCC000014558,DEN-72A     ,124030,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Riverside,CCC000014986,FIT-D6      ,213310,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Riverside,CCC000015456,GRT-70B     ,093600,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Riverside,CCC000015571,ART-95      ,100200,C,00.50,00.50,N,E,Y,Y,Y,,,20070917
Riverside,CCC000648923,ADM83       ,061400,D,03.00,03.00,N,C,Y,Y,Y,,,20250118
Riverside,CCC000643133,BAk69       ,130630,D,02.00,02.00,N,C,Y,Y,Y,,,20250116
Riverside,CCC000596266,BAK46       ,130630,D,08.50,08.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000596998,BAK47       ,130630,D,08.50,08.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000642776,BAK65       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000642777,BAK66       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643134,BAK67       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643135,BAK68       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643136,BAK70       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643137,BAK71       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643138,BAK72       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643139,BAK73       ,130630,D,01.50,01.50,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643140,BAK74       ,130630,D,02.00,02.00,N,C,Y,Y,Y,,,20250116
Riverside,CCC000643246,BAK80       ,130630,D,02.00,02.00,N,B,Y,Y,Y,,,20250116
Riverside,CCC000643247,BAK81       ,130630,D,02.00,02.00,N,B,Y,Y,Y,,,20250116
Riverside,CCC000643248,BAK82       ,130630,D,02.00,02.00,N,B,Y,Y,Y,,,20250116
Riverside,CCC000643249,BAK83       ,130630,D,02.00,02.00,N,B,Y,Y,Y,,,20250116
Riverside,CCC000643250,BAK84       ,130630,D,02.00,02.00,N,B,Y,Y,Y,,,20250116
Riverside,CCC000610301,AIR75       ,094610,D,03.00,03.00,N,C,Y,Y,Y,,,20250118
Riverside,CCC000621394,ALR4        ,152000,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000613074,ARA11H      ,111200,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000521871,ARA8        ,111200,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000235877,ART22       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000441141,ART31       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000341604,ASL1        ,085000,D,04.00,04.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000620950,AUT8A       ,094800,D,04.00,04.00,N,C,Y,Y,Y,,,20250118
Riverside,CCC000155042,MUS40       ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250130
Riverside,CCC000626828,BIO9        ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20250118
Riverside,CCC000618631,CAT846      ,070210,N,00.00,00.00,N,C,Y,I,Y,,,20250118
Riverside,CCC000649179,CAT898A     ,051400,N,00.00,00.00,N,D,Y,J,Y,,,20250118
Riverside,CCC000649180,CAT898B     ,051400,N,00.00,00.00,N,C,Y,J,Y,,,20250118
Riverside,CCC000521481,CIS26F      ,070810,D,04.00,04.00,N,D,Y,Y,Y,,,20250118
