College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Diego Miramar,CCC000647851,FIPT354B    ,213300,D,00.20,00.20,N,C,Y,Y,Y,,,20250124
San Diego Miramar,CCC000647852,FIPT354C    ,213300,D,00.20,00.20,N,C,Y,Y,Y,,,20250124
San Diego Miramar,CCC000647853,FIPT354D    ,213300,D,00.20,00.20,N,C,Y,Y,Y,,,20250124
San Diego Miramar,CCC000647854,FIPT354E    ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250124
San Diego Miramar,CCC000571365,FIPT340     ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20251221
San Diego Miramar,CCC000564545,MUSI209D    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Diego Miramar,CCC000564546,MUSI209C    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Diego Miramar,CCC000564547,MUSI209B    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Diego Miramar,CCC000564548,MUSI209A    ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
San Diego Miramar,CCC000564549,FIPT363     ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20210527
San Diego Miramar,CCC000597989,ENGL31      ,150100,C,02.00,02.00,B,E,A,Y,Y,,,20200306
San Diego Miramar,CCC000597990,SUST101     ,030200,D,03.00,03.00,N,E,Y,Y,Y,,,20220420
San Diego Miramar,CCC000598019,BUSE115     ,050500,D,03.00,03.00,N,C,Y,Y,Y,,,20220526
San Diego Miramar,CCC000598213,AVIM103A    ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20220525
San Diego Miramar,CCC000598214,AVIM103B    ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20220525
San Diego Miramar,CCC000598215,AVIM103C    ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20181103
