College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Jose City,CCC000016865,GER-091A    ,110300,D,03.00,03.00,N,E,Y,Y,Y,,,20080513
San Jose City,CCC000017442,MS-104      ,050630,D,03.00,03.00,N,D,Y,Y,Y,,,20080513
San Jose City,CCC000018643,ART-062A    ,100200,D,02.00,02.00,N,E,Y,Y,Y,,,20080513
San Jose City,CCC000018824,CA-040B     ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20080513
San Jose City,CCC000018833,MS-116      ,050630,D,03.00,03.00,N,B,Y,Y,Y,,,20080513
San Jose City,CCC000020043,MKTG-121    ,050900,D,02.00,02.00,N,C,Y,Y,Y,,,20080513
San Jose City,CCC000020336,ECE-190A    ,130500,D,01.00,01.00,N,C,Y,Y,Y,,,20080513
San Jose City,CCC000020553,ART-100B    ,100200,D,01.50,01.50,N,E,Y,Y,Y,,,20080513
San Jose City,CCC000026449,CHEM-001L   ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20080513
San Jose City,CCC000026517,MusicMUSIC08,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20200621
San Jose City,CCC000026780,AlcoholandDr,210440,D,08.00,01.00,N,C,Y,Y,Y,,,20191019
San Jose City,CCC000026792,SpanishSPAN0,110500,D,05.00,05.00,N,E,Y,Y,Y,,,20220220
San Jose City,CCC000028300,MusicMUSIC09,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20230122
San Jose City,CCC000029700,ComputerInfo,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
San Jose City,CCC000651925,MathematicsM,170100,C,02.00,02.00,N,E,A,Y,Y,,,20250423
San Jose City,CCC000581494,AccountingAC,050200,D,05.00,05.00,N,C,Y,Y,Y,,,20260305
San Jose City,CCC000581600,AccountingAC,050200,D,05.00,05.00,N,C,Y,Y,Y,,,20260305
San Jose City,CCC000147995,AccountingAC,050200,D,09.00,00.50,N,C,Y,Y,Y,,,20260305
San Jose City,CCC000658368,BusinessBUS1,050900,D,03.00,03.00,N,C,Y,Y,Y,,,20260217
San Jose City,CCC000658369,EstheticsEST,300700,C,03.00,03.00,N,B,Y,Y,Y,,,20260217
San Jose City,CCC000658370,LearningSkil,493011,D,03.00,03.00,N,E,Y,Y,Y,,,20260217
San Jose City,CCC000145818,DanceDANCE01,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000534923,DanceDANCE01,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000534924,DanceDANCE01,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000536789,DanceDANCE01,100800,D,01.00,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000542299,DanceDANCE01,100800,D,01.00,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000542300,DanceDANCE01,100800,D,01.00,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000549991,DanceDANCE01,100800,D,01.50,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000549990,DanceDANCE01,100800,D,01.50,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000550158,DanceDANCE01,100800,D,01.50,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000550157,DanceDANCE01,100800,D,01.50,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000550507,DanceDANCE01,100800,D,01.50,00.50,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000635395,DanceDANCE01,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260314
San Jose City,CCC000635396,DanceDANCE01,100800,D,02.00,02.00,N,E,Y,Y,Y,,,20260314
