College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Santa Ana,CCC000621861,ACCT124     ,050210,D,02.00,02.00,N,C,Y,Y,Y,,,20250112
Santa Ana,CCC000385534,PHYS109     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000394324,PHYS210     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000385718,PHYS211     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000420728,PHYS217     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000400694,PHYS227     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000423937,PHYS237     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000413107,PHYS279     ,190200,D,04.00,04.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000398502,SPAN195A    ,110500,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000525879,WMNS102     ,220110,D,03.00,03.00,N,E,Y,Y,Y,,,20250112
Santa Ana,CCC000649245,PARA497     ,140200,D,02.00,02.00,N,B,Y,Y,Y,,,20250118
Santa Ana,CCC000649246,PARA499     ,140200,D,04.00,01.00,N,B,Y,Y,Y,,,20250118
Santa Ana,CCC000546624,MUS009B     ,100400,D,00.30,00.30,N,E,Y,Y,Y,,,20250215
Santa Ana,CCC000546625,MUS009C     ,100400,D,00.30,00.30,N,E,Y,Y,Y,,,20250215
Santa Ana,CCC000546626,MUS009D     ,100400,D,00.30,00.30,N,E,Y,Y,Y,,,20250215
Santa Ana,CCC000546604,DNCE109C    ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250116
Santa Ana,CCC000397075,DNCE118     ,100800,D,01.00,01.00,N,E,Y,Y,Y,,,20250116
Santa Ana,CCC000648088,ACCT205     ,050200,D,04.00,04.00,N,C,Y,Y,Y,,,20250116
Santa Ana,CCC000390136,COMMC1000   ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000609674,COMMC1000H  ,150600,D,03.00,03.00,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000527626,DNCE009A    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000579538,DNCE009B    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000526475,DNCE009C    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000579537,DNCE009D    ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000398980,DNCE100     ,100800,D,03.00,03.00,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000390430,ENGLC1000H  ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000408415,ENGLC1001   ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Santa Ana,CCC000393344,ENGLC1001H  ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
