College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Santa Monica,CCC000413484,CIS38       ,070100,D,03.00,03.00,N,D,Y,Y,Y,,,20260124
Santa Monica,CCC000438222,CIS39       ,050200,D,03.00,03.00,N,D,Y,Y,Y,,,20260124
Santa Monica,CCC000405728,FRENCH3     ,110200,D,05.00,05.00,N,E,Y,Y,Y,,,20260124
Santa Monica,CCC000525971,SMM3        ,030300,D,03.00,03.00,N,C,Y,Y,Y,,,20251004
Santa Monica,CCC000525970,SMM4        ,030300,D,03.00,03.00,N,C,Y,Y,Y,,,20251004
Santa Monica,CCC000409161,FRENCH4     ,110200,D,05.00,05.00,N,E,Y,Y,Y,,,20260124
Santa Monica,CCC000387816,CIS30       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Santa Monica,CCC000396027,CIS4        ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20250404
Santa Monica,CCC000637469,ART900      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000637470,ART902      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000637471,ART904      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000637804,ART906      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000637805,ART910      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000616258,ARC40       ,020100,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000386274,CIS1        ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000394207,CIS32       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000403797,CIS35A      ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000604692,CIS35B      ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000574181,CIS37       ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000649143,GEOG9       ,193000,D,03.00,03.00,N,E,Y,Y,Y,,,20250117
Santa Monica,CCC000649144,GEOL9       ,193000,D,03.00,03.00,N,E,Y,Y,Y,,,20250117
Santa Monica,CCC000617950,IARC20      ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000391777,IARC30      ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000407564,IARC40      ,130200,D,03.00,03.00,N,C,Y,Y,Y,,,20260124
Santa Monica,CCC000438290,KOREAN3     ,111700,D,05.00,05.00,N,E,Y,Y,Y,,,20260124
Santa Monica,CCC000392376,MCRBIO1     ,040100,D,05.00,05.00,N,E,Y,Y,Y,,,20260124
Santa Monica,CCC000652366,ART902      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
Santa Monica,CCC000652367,ART904      ,109900,N,00.00,00.00,N,C,Y,I,Y,,,20250517
