College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Santa Rosa,CCC000002081,BOT86.40    ,051400,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000002211,AJ370       ,210500,C,01.00,01.00,N,B,Y,Y,Y,,,20180616
Santa Rosa,CCC000002248,LL507       ,083700,N,00.00,00.00,N,E,Y,H,Y,90,90,20240523
Santa Rosa,CCC000002317,CHLD76.15   ,130500,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000002378,MA64        ,120800,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000002908,DNA55       ,124010,D,12.00,12.00,N,B,Y,Y,Y,,,20070917
Santa Rosa,CCC000002957,APED305.03  ,095210,C,01.00,01.00,N,A,Y,Y,Y,,,20070917
Santa Rosa,CCC000003174,FASHN51.2   ,130320,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000003203,AG280.30    ,010210,D,01.00,01.00,N,D,Y,Y,Y,,,20070917
Santa Rosa,CCC000003465,BOTANY64    ,040100,D,02.00,01.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000003819,FIRE399.12  ,213350,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000003822,FIRE299.62  ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000003869,CHLD362.62  ,130500,C,02.00,02.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000003988,BOT310.6    ,050100,C,00.50,00.50,N,D,Y,Y,Y,,,20070917
Santa Rosa,CCC000004437,ENGL100A    ,150100,D,03.00,03.00,N,E,A,Y,Y,,,20101225
Santa Rosa,CCC000004451,CFS99I      ,130630,D,08.00,00.50,N,C,Y,Y,Y,,,20160714
Santa Rosa,CCC000023954,STATC1000   ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250824
Santa Rosa,CCC000005052,FASH102     ,130310,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000005448,SOCS48.14   ,220100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000005479,BOT85.4B    ,051410,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000005621,WINE113     ,010400,D,01.50,01.50,N,C,Y,Y,Y,,,20200611
Santa Rosa,CCC000005951,BMG78.108   ,070100,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000011920,ENGR1       ,090100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000012135,EMC299.11   ,125000,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000012171,CONS395B    ,095700,C,03.00,03.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000012199,FASH170B    ,130310,D,03.00,01.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000012381,DRD350      ,493032,C,03.00,03.00,B,E,Y,Y,Y,,,20100406
Santa Rosa,CCC000012653,MEDIA42     ,060100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000012751,FDNT10      ,130600,D,03.00,03.00,N,D,Y,Y,Y,,,20160804
Santa Rosa,CCC000012837,BMG78.88    ,050630,D,03.00,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000012984,CHLD76.25   ,130500,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000013042,SOCS48.11   ,220100,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000013233,PHIL20      ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20230602
Santa Rosa,CCC000013584,BOT299.12   ,051410,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000013721,APGR62      ,095360,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000013743,POLS25      ,220700,D,03.00,03.00,N,E,Y,Y,Y,,,20230312
Santa Rosa,CCC000013984,KINES2      ,083500,D,03.00,02.00,N,E,Y,Y,Y,,,20120718
Santa Rosa,CCC000014028,APED305.13  ,095210,C,01.00,01.00,N,A,Y,Y,Y,,,20070917
Santa Rosa,CCC000014095,MUS55       ,100500,D,03.00,01.00,N,D,Y,Y,Y,,,20070917
Santa Rosa,CCC000014512,NR78.C      ,120310,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000014688,CHLD362.72  ,130500,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000014872,THAR10A     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20200717
Santa Rosa,CCC000014899,BMG63.3     ,050600,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000014914,THAR13A     ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20240302
Santa Rosa,CCC000014958,CUL252.4    ,130630,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000015036,FASH56B     ,130320,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Santa Rosa,CCC000015351,BIO81.7     ,040100,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
Santa Rosa,CCC000015352,LL501       ,100200,N,00.00,00.00,N,E,Y,H,Y,54,54,20240523
Santa Rosa,CCC000640001,KFIT9       ,083500,D,01.50,01.50,N,E,Y,Y,Y,,,20250227
Santa Rosa,CCC000640002,KFIT91      ,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20250227
Santa Rosa,CCC000640003,KFIT92      ,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20250227
Santa Rosa,CCC000640004,KFIT93      ,083500,D,01.50,01.00,N,E,Y,Y,Y,,,20250227
Santa Rosa,CCC000637084,AJ390       ,210500,C,01.00,01.00,N,C,Y,Y,A,,,20251012
Santa Rosa,CCC000637085,AJ391       ,210500,C,00.50,00.50,N,C,Y,Y,A,,,20251012
Santa Rosa,CCC000571308,ELEC54A     ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20260217
Santa Rosa,CCC000572240,ELEC54B     ,093400,D,03.00,03.00,N,C,Y,Y,Y,,,20260217
Santa Rosa,CCC000232885,CHEM12B     ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000612841,CHEM303     ,190500,C,00.50,00.50,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000605395,CHEM3A      ,190500,D,03.00,03.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000605396,CHEM3AL     ,190500,D,02.00,02.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000175763,CHEM3B      ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000177002,CHEM42      ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000319715,CHEM49      ,190500,D,03.00,01.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000020842,CHEM60      ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000599190,CHEM7       ,190500,D,01.00,01.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000235148,CHEM8       ,190500,D,05.00,05.00,N,E,Y,Y,Y,,,20260115
Santa Rosa,CCC000250591,ENGL12      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20260211
Santa Rosa,CCC000572163,ENGL14      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20260211
