College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Ventura,CCC000008939,EIN01O      ,100200,N,00.00,00.00,N,D,Y,H,Y,0,0,20160106
Ventura,CCC000009163,HEC V89D    ,130300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ventura,CCC000009470,EIN03H      ,100400,N,00.00,00.00,N,E,Y,H,Y,0,0,20160106
Ventura,CCC000009728,CD 89MS     ,210710,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ventura,CCC000009741,ESLV53A     ,493085,C,03.50,03.50,B,E,C,Y,Y,,,20191019
Ventura,CCC000658040,SPANN170B   ,493072,N,00.00,00.00,N,E,Y,J,Y,,,20260128
Ventura,CCC000658041,SPANV60B    ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20260128
Ventura,CCC000658042,SPANV70B    ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20260128
Ventura,CCC000658043,STATV44E    ,170100,D,06.00,06.00,N,E,Y,Y,Y,,,20260128
Ventura,CCC000658044,WELN120     ,095650,N,00.00,00.00,N,B,Y,I,Y,,,20260128
Ventura,CCC000658045,WSV01       ,011500,D,03.00,03.00,N,D,Y,Y,Y,,,20260128
Ventura,CCC000658046,WSV30       ,095800,D,03.00,03.00,N,B,Y,Y,Y,,,20260128
Ventura,CCC000019107,BIOLV14     ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20260129
Ventura,CCC000648185,CDV75       ,122000,D,03.00,03.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000652547,CDV77       ,122000,D,03.00,03.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000653180,CDV78       ,122000,D,02.00,02.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000653181,CDV79       ,122000,D,02.00,02.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000648111,CDV80L      ,122000,D,02.00,02.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000615060,CHSTV03     ,220300,D,03.00,03.00,N,E,Y,Y,Y,,,20260129
Ventura,CCC000053080,CTV30       ,095700,D,03.00,03.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000635857,CTV43       ,095700,D,02.00,02.00,N,C,Y,Y,Y,,,20260129
Ventura,CCC000650010,ENGLN100J   ,150100,N,00.00,00.00,B,E,A,C,Y,,,20250129
Ventura,CCC000650011,ICAV09      ,083550,D,04.00,04.00,N,E,Y,Y,Y,,,20250129
Ventura,CCC000650012,KINV88      ,127000,D,03.00,03.00,N,E,Y,Y,Y,,,20250129
Ventura,CCC000020577,NS 02BL     ,123010,D,00.00,00.00,N,B,Y,Y,Y,,,20070917
Ventura,CCC000020956,MM V76      ,061410,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Ventura,CCC000021852,CISV57      ,079900,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Ventura,CCC000324752,ANTHV03     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
Ventura,CCC000641596,ANTHV35L    ,210540,D,01.00,01.00,N,C,Y,Y,Y,,,20250821
Ventura,CCC000396908,ARTV13A     ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
Ventura,CCC000591685,ARTV15A     ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
Ventura,CCC000598602,ARTV16A     ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250821
