College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Victor Valley,CCC000004323,BOT26C      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
Victor Valley,CCC000004480,ACOMED35L   ,493009,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Victor Valley,CCC000005252,FIRE-10D    ,213300,C,01.50,01.50,N,D,Y,Y,Y,,,20070917
Victor Valley,CCC000006160,ELCT75      ,092400,D,01.00,01.00,N,D,Y,Y,Y,,,20191019
Victor Valley,CCC000006267,AJ-90       ,210500,D,04.00,04.00,N,C,Y,Y,Y,,,20070917
Victor Valley,CCC000006760,NURS101D    ,123010,C,01.00,01.00,N,B,Y,Y,Y,,,20070917
Victor Valley,CCC000007004,ADMJUST101  ,210500,C,03.00,03.00,N,C,Y,Y,Y,,,20070917
Victor Valley,CCC000647391,WEEPSYC138A ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20250720
Victor Valley,CCC000647392,WEEPSYC138B ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20250720
Victor Valley,CCC000647393,WEEPSYC138D ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20250720
Victor Valley,CCC000007738,CHEM55      ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Victor Valley,CCC000007961,CIS80       ,070710,D,04.00,04.00,N,D,Y,Y,Y,,,20191019
Victor Valley,CCC000014548,FIRE-4B     ,213300,C,01.00,01.00,N,C,Y,Y,Y,,,20070917
Victor Valley,CCC000014825,SPEECH27    ,150600,D,03.00,02.00,N,E,Y,Y,Y,,,20070917
Victor Valley,CCC000014830,ACOM35K     ,493009,N,00.00,00.00,B,E,Y,C,Y,,,20191019
Victor Valley,CCC000014944,ACOMED24I   ,130100,N,00.00,00.00,N,D,Y,G,Y,0,0,20160120
Victor Valley,CCC000014997,HIST145     ,220500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Victor Valley,CCC000015220,ACOMED35AZ  ,493009,N,00.00,00.00,B,E,Y,C,Y,0,0,20160120
Victor Valley,CCC000015249,CIDG-64     ,095300,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
Victor Valley,CCC000644450,RespiratoryT,121000,C,03.00,03.00,N,C,Y,Y,Y,,,20250720
Victor Valley,CCC000648367,KIN138C     ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20250517
Victor Valley,CCC000648373,SOC138D     ,493200,D,08.00,01.00,N,C,Y,Y,Y,,,20250517
Victor Valley,CCC000647385,WEENURS138a ,123000,D,08.00,01.00,N,C,Y,Y,Y,,,20250517
Victor Valley,CCC000297430,ENGL-104H   ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250326
Victor Valley,CCC000600060,ENGL-81     ,150100,D,02.00,02.00,N,E,Y,Y,Y,,,20250326
Victor Valley,CCC000629015,BADM80      ,050400,D,01.00,01.00,N,C,Y,Y,Y,,,20250424
