College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
West Valley,CCC000004424,THEA044A    ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
West Valley,CCC000004490,CA*055      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20130830
West Valley,CCC000004509,JPNS*051A   ,110800,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
West Valley,CCC000004617,CHS*03D1    ,130570,C,00.50,00.50,N,C,Y,Y,Y,,,20070917
West Valley,CCC000005309,CTR*S56B2   ,051430,D,00.50,00.50,N,B,Y,Y,Y,,,20070917
West Valley,CCC000005786,TYPNG*060A  ,051400,D,01.50,01.50,N,C,Y,Y,Y,,,20070917
West Valley,CCC000005942,HTECH*061   ,120800,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
West Valley,CCC000006332,CA*049      ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20130830
West Valley,CCC000007058,CA*098D     ,070100,D,01.00,01.00,N,C,Y,Y,Y,,,20130830
West Valley,CCC000007229,SPECH*060A  ,493033,C,00.50,00.50,B,E,Y,Y,Y,,,20070917
West Valley,CCC000621454,PARA024A    ,140200,D,01.50,01.50,N,D,Y,Y,Y,,,20260129
West Valley,CCC000007429,COUNS*024D  ,493011,D,01.50,01.50,N,E,Y,Y,Y,,,20070917
West Valley,CCC000007776,COM ED 3148 ,050600,N,00.00,00.00,N,D,Y,I,Y,0,0,20160120
West Valley,CCC000013838,CA*015      ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000014246,ARCH*093    ,020100,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000014571,CONST*054   ,095700,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000014745,MA*091      ,120800,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000015493,MGMT*102    ,050630,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000002209,DM/IS*021B  ,061430,D,04.00,04.00,N,C,Y,Y,Y,,,20140409
West Valley,CCC000002808,FM*008      ,130330,D,03.00,03.00,N,B,Y,Y,Y,,,20070917
West Valley,CCC000002992,COUN005     ,493010,D,03.00,03.00,N,E,Y,Y,Y,,,20240202
West Valley,CCC000003349,CTR*054A    ,051430,D,01.00,01.00,N,B,Y,Y,Y,,,20070917
West Valley,CCC000003382,LS*937C     ,493030,C,01.00,01.00,B,E,Y,Y,Y,,,20070917
West Valley,CCC000012100,ADMJ026     ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20241025
West Valley,CCC000012543,SWED*051A   ,119900,D,03.00,03.00,N,E,Y,Y,Y,,,20070917
West Valley,CCC000012700,MA*056B     ,120810,D,02.50,02.50,N,C,Y,Y,Y,,,20070917
West Valley,CCC000012855,DM/IS*020A  ,061430,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000013199,CA*090E     ,070100,D,01.00,01.00,N,C,Y,Y,Y,,,20130830
West Valley,CCC000013316,CTR*035L    ,051430,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000013378,FM*003      ,130330,D,03.00,03.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000013448,PHOTO*110   ,101100,D,02.00,02.00,N,E,Y,Y,Y,,,20070917
West Valley,CCC000015759,CTR*52D     ,051430,D,01.00,01.00,N,B,Y,Y,Y,,,20130831
West Valley,CCC000015776,CA*031A     ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070917
West Valley,CCC000015885,ACCTG*059   ,050200,D,03.00,03.00,N,B,Y,Y,Y,,,20130830
West Valley,CCC000015962,MATH*010    ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20130928
West Valley,CCC000015968,ENGL*180A   ,493021,C,00.50,00.50,B,E,Y,Y,Y,,,20070917
West Valley,CCC000016119,CTR*S56A1   ,051430,D,00.50,00.50,N,B,Y,Y,Y,,,20070917
West Valley,CCC000016126,DM/IS*014D  ,061460,D,04.00,04.00,N,C,Y,Y,Y,,,20140409
West Valley,CCC000016279,MATH*102L   ,493041,C,00.00,00.00,B,E,C,Y,Y,,,20070917
West Valley,CCC000024517,CTR*004     ,051430,D,00.50,00.50,N,C,Y,Y,Y,,,20070917
