Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
CVML,11-1011,Chief Executives,Bachelor's degree,3410,0.05748551,270,80,165770
CA,11-1011,Chief Executives,Bachelor's degree,51530,0.034651095,3820,94,194830
SCC,11-1011,Chief Executives,Bachelor's degree,1160,0.030303585,80,83,172840
LA,11-1011,Chief Executives,Bachelor's degree,12510,0.01267426,860,97,201570
SD/I,11-1011,Chief Executives,Bachelor's degree,4680,0.022619142,330,104,215690
Bay,11-1011,Chief Executives,Bachelor's degree,12820,0.031793538,950,113,235330
OC,11-1011,Chief Executives,Bachelor's degree,4660,0.012451435,320,96,199260
IE/D,11-1011,Chief Executives,Bachelor's degree,3470,0.061053757,280,78,163270
GS,11-1011,Chief Executives,Bachelor's degree,4740,0.042093826,360,74,154420
FN,11-1011,Chief Executives,Bachelor's degree,890,0.043024972,70,63,130330
Bay,11-1021,General and Operations Managers,Bachelor's degree,74420,0.052952542,6910,70,145270
OC,11-1021,General and Operations Managers,Bachelor's degree,30710,0.03749155,2740,61,126160
CA,11-1021,General and Operations Managers,Bachelor's degree,306650,0.059157309,28900,60,124320
SCC,11-1021,General and Operations Managers,Bachelor's degree,8340,0.052068918,770,50,104500
LA,11-1021,General and Operations Managers,Bachelor's degree,73660,0.027420855,6380,61,126840
SD/I,11-1021,General and Operations Managers,Bachelor's degree,27390,0.051282928,2530,75,155830
IE/D,11-1021,General and Operations Managers,Bachelor's degree,24110,0.087441305,2430,50,104290
GS,11-1021,General and Operations Managers,Bachelor's degree,19750,0.074304075,1930,57,118030
FN,11-1021,General and Operations Managers,Bachelor's degree,5430,0.057284193,510,47,97910
CVML,11-1021,General and Operations Managers,Bachelor's degree,22320,0.084286089,2240,49,101990
Bay,11-1031,Legislators,Bachelor's degree,630,0.044220939,50,22,46750
FN,11-1031,Legislators,Bachelor's degree,180,0.040098598,20,26,54390
CVML,11-1031,Legislators,Bachelor's degree,430,0.02225033,40,25,52210
OC,11-1031,Legislators,Bachelor's degree,140,0.056482979,10,18,37610
LA,11-1031,Legislators,Bachelor's degree,550,0.053643165,50,20,41830
IE/D,11-1031,Legislators,Bachelor's degree,280,0.12085489,30,30,62570
SCC,11-1031,Legislators,Bachelor's degree,90,0.114598012,10,32,67250
GS,11-1031,Legislators,Bachelor's degree,380,0.075995436,30,52,108340
CA,11-1031,Legislators,Bachelor's degree,3270,0.054157395,290,26,53940
SD/I,11-1031,Legislators,Bachelor's degree,450,0.039611907,40,35,73710
CA,11-2011,Advertising and Promotions Managers,Bachelor's degree,2940,0.01345329,260,68,141130
SCC,11-2011,Advertising and Promotions Managers,Bachelor's degree,20,-0.013345763,0,58,121430
FN,11-2011,Advertising and Promotions Managers,Bachelor's degree,40,-0.045954668,0,71,148280
IE/D,11-2011,Advertising and Promotions Managers,Bachelor's degree,120,0.061324291,10,47,98680
GS,11-2011,Advertising and Promotions Managers,Bachelor's degree,130,0.013307552,10,61,126890
SD/I,11-2011,Advertising and Promotions Managers,Bachelor's degree,200,-0.017165137,20,63,130070
LA,11-2011,Advertising and Promotions Managers,Bachelor's degree,990,0.010199477,90,71,148230
OC,11-2011,Advertising and Promotions Managers,Bachelor's degree,260,-0.036052745,20,65,135280
